0: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13, 9], [14, 16, 6], [3, 8, 1], [18, 4, 15]]
1: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13, 9], [14, 16, 6], [3, 8, 1], [18, 4, 15]]
2: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13, 9], [14, 16, 6], [3, 8, 1], [18, 4, 15]]
3: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13, 9], [14, 16, 6], [3, 8, 1], [18, 4, 15]]
4: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13, 9], [14, 16, 6], [3, 8, 1], [18, 4, 15]]
5: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13], [9, 14, 16, 6], [3, 8, 1], [18, 4, 15]]
6: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13], [14, 16, 6, 9], [3, 8, 1], [18, 4, 15]]
7: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13], [9, 14, 16, 6], [3, 8, 1], [18, 4, 15]]
8: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13], [9, 14, 16, 6], [3, 8, 1], [18, 4, 15]]
9: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13], [9, 14, 16, 6], [3, 8, 1], [18, 4, 15]]
10: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13], [14, 16, 6, 9], [3, 8, 1], [18, 4, 15]]
11: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13], [9, 14, 16, 6], [3, 8, 1], [18, 4, 15]]
12: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13], [14, 16, 6, 9], [3, 8, 1], [18, 4, 15]]
13: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13], [14, 16, 6, 9], [3, 8, 1], [18, 4, 15]]
14: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13], [9, 14, 16, 6], [3, 8, 1], [18, 4, 15]]
15: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13], [9, 14, 16, 6], [3, 8, 1], [18, 4, 15]]
16: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13], [9, 14, 16, 6], [3, 8, 1], [18, 4, 15]]
17: [[19, 17, 20, 2], [7, 5, 10], [12, 11, 13, 9], [14, 16, 6], [3, 8, 1], [18, 4, 15]]
18: [[19, 17, 20, 2], [7, 5, 10], [12, 11, 13, 9], [14, 16, 6], [3, 8, 1], [18, 4, 15]]
19: [[19, 17, 20, 2], [7, 5, 10], [12, 11, 13, 9], [14, 16, 6], [3, 8, 1], [18, 4, 15]]
20: [[19, 17, 20, 2], [7, 5, 10], [12, 11, 13, 9], [14, 16, 6], [3, 8, 1], [18, 4, 15]]
21: [[19, 17, 20, 2], [7, 5, 10], [12, 11, 13, 9], [14, 16, 6], [3, 8, 1], [18, 4, 15]]
22: [[19, 17, 20, 2], [7, 5, 10], [12, 11, 13, 9], [14, 16, 6], [3, 8, 1], [18, 4, 15]]
23: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13, 14], [16, 6, 9], [3, 8, 1], [18, 4, 15]]
24: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13, 14], [16, 6, 9], [3, 8, 1], [18, 4, 15]]
25: [[19, 17, 20], [2, 7, 5, 10], [12, 11, 13, 14], [16, 6, 9], [3, 8, 1], [18, 4, 15]]
26: [[19, 17, 20, 2], [7, 5, 10], [12, 11, 13], [14, 16, 6, 9], [3, 8, 1], [18, 4, 15]]
27: [[19, 17, 20, 2], [7, 5, 10], [12, 11, 13], [9, 14, 16, 6], [3, 8, 1], [18, 4, 15]]
28: [[19, 17, 20, 2], [7, 5, 10], [12, 11, 13], [9, 14, 16, 6], [3, 8, 1], [18, 4, 15]]
29: [[19, 17, 20], [2, 7, 5], [10, 12, 11, 13], [9, 14, 16, 6], [3, 8, 1], [18, 4, 15]]
30: [[19, 17, 20], [2, 7, 5], [10, 12, 11, 13], [14, 16, 6, 9], [3, 8, 1], [18, 4, 15]]
31: [[19, 17, 20], [2, 7, 5], [10, 12, 11, 13], [14, 16, 6, 9], [3, 8, 1], [18, 4, 15]]
32: [[19, 17, 20], [2, 7, 5], [10, 12, 11, 13], [14, 16, 6, 9], [3, 8, 1], [18, 4, 15]]
33: [[19, 17, 20], [2, 7, 5], [10, 12, 11, 13], [9, 14, 16, 6], [3, 8, 1], [18, 4, 15]]
34: [[19, 17, 20], [2, 7, 5], [10, 12, 11, 13], [9, 14, 16, 6], [3, 8, 1], [18, 4, 15]]
35: [[19, 17, 20], [2, 7, 5], [10, 12, 11, 13], [9, 14, 16, 6], [3, 8, 1], [18, 4, 15]]
36: [[19, 17, 20], [2, 7, 5], [10, 12, 11, 13], [14, 16, 6], [9, 3, 8, 1], [18, 4, 15]]
37: [[19, 17, 20, 2], [7, 5, 10], [12, 11, 13, 14], [16, 6, 9], [3, 8, 1], [18, 4, 15]]
38: [[19, 17, 20, 2], [7, 5, 10, 12], [11, 13, 9], [14, 16, 6], [3, 8, 1], [18, 4, 15]]
39: [[19, 17, 20, 2], [7, 5, 10, 12], [11, 13, 9], [14, 16, 6], [3, 8, 1], [18, 4, 15]]
40: [[19, 17, 20, 2], [7, 5, 10, 12], [11, 13, 9], [14, 16, 6], [3, 8, 1], [18, 4, 15]]
41: [[19, 17, 20, 2], [7, 5, 10, 12], [11, 13, 9], [14, 16, 6], [3, 8, 1], [18, 4, 15]]
