0: [[18, 16, 3, 4], [13, 2, 9, 6, 1], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22, 5], [23, 21, 24]]
1: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
2: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
3: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
4: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
5: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
6: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
7: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
8: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
9: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
10: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
11: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
12: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
13: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
14: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
15: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
16: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
17: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
18: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
19: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
20: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
21: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
22: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
23: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
24: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
25: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
26: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
27: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
28: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
29: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
30: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
31: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
32: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
33: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
34: [[18, 16, 3, 4], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
35: [[18, 16, 3], [1, 13, 2, 9, 6, 5], [14, 7, 11, 10, 8], [12, 15, 17, 19, 20, 22, 4], [23, 21, 24]]
36: [[3, 18, 4, 16], [1, 13, 2, 9, 6, 5], [14, 7, 11], [10, 8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
37: [[3, 18, 4, 16], [1, 13, 2, 9, 6, 5], [14, 7, 11], [10, 8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
38: [[18, 16, 1, 3, 4], [13, 2, 9, 6, 5], [14, 7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
39: [[3, 18, 4, 16], [1, 13, 2, 9, 6], [5, 14, 7, 11], [10, 8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
40: [[18, 16, 1, 3], [13, 2, 9, 6, 5, 14, 4], [7, 11, 10], [8, 12, 15, 17, 19, 20, 22], [23, 21, 24]]
41: [[3, 18, 4, 16], [1, 13, 2, 9, 6], [5, 14, 7, 11], [10, 8, 12, 15, 17, 19, 20], [22, 23, 21, 24]]
42: [[3, 18, 4, 16], [1, 13, 2, 9, 6], [5, 14, 7, 11], [10, 8, 12, 15, 17, 19, 20], [22, 23, 21, 24]]
