0: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
1: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
2: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
3: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
4: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
5: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
6: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
7: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
8: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
9: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 15, 4, 16], [19, 17, 18, 20]]
10: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
11: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
12: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
13: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
14: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
15: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 15, 4, 16], [19, 17, 18, 20]]
16: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
17: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
18: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
19: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 15, 4], [19, 17, 18, 20]]
20: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
21: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
22: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
23: [[7, 3, 1], [2, 8, 5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
24: [[7, 3, 1], [2, 8, 5, 10, 9], [11, 13, 12], [6, 14, 15, 4, 16], [19, 17, 18, 20]]
25: [[7, 3, 1], [2, 8, 5, 10, 9], [11, 13, 12], [6, 14, 15, 4, 16], [19, 17, 18, 20]]
26: [[7, 3, 1], [2, 8, 5, 10, 9], [11, 13, 12], [6, 14, 15, 4, 16], [19, 17, 18, 20]]
27: [[7, 3, 1], [2, 8, 5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
28: [[7, 3, 1], [2, 8, 5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
29: [[7, 3, 1], [2, 8, 5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
30: [[7, 3, 1], [2, 8, 5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
31: [[7, 3, 1], [2, 8, 5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
32: [[7, 3, 1], [2, 8, 5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
33: [[7, 3, 1], [2, 8, 5, 10, 9], [11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
34: [[7, 3, 1], [2, 8, 5], [10, 9, 11, 13, 12], [6, 14, 15, 4, 16], [19, 17, 18, 20]]
35: [[7, 3, 1], [2, 8, 5], [10, 9, 11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
36: [[7, 3, 1], [2, 8, 5], [10, 9, 11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
37: [[7, 3, 1], [2, 8, 5], [10, 11, 13, 12, 9], [14, 16, 15, 6, 4], [19, 17, 18, 20]]
38: [[7, 3, 1], [2, 8, 5], [10, 9, 11, 13, 12], [6, 14, 16, 4, 15], [19, 17, 18, 20]]
39: [[7, 3, 1], [2, 8, 5], [10, 9, 11, 13, 12], [6, 14, 4, 15, 16], [19, 17, 18, 20]]
40: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 17, 15, 4], [19, 16, 18, 20]]
41: [[7, 3, 1, 2, 8], [5, 10, 9], [11, 13, 12], [6, 14, 17, 4, 15], [19, 16, 18, 20]]
