0: [[1, 3, 8], [5, 7, 10, 2], [14, 6, 4], [9, 13, 11, 12], [15, 16], [18, 19, 20, 17]]
1: [[1, 3, 8], [5, 7, 10, 2], [14, 4, 6], [9, 13, 11, 12], [15, 16], [18, 19, 20, 17]]
2: [[1, 3, 8], [5, 7, 10, 2], [14, 4, 6], [9, 13, 11, 12], [15, 16], [18, 19, 20, 17]]
3: [[1, 3, 8], [5, 7, 10, 2], [14, 4, 6], [9, 13, 11, 12], [15, 16], [18, 19, 20, 17]]
4: [[1, 3, 8], [5, 7, 10], [14, 4, 2, 6], [9, 13, 11, 12], [15, 16], [18, 19, 20, 17]]
5: [[1, 3, 8], [5, 7, 10, 2], [14, 4, 6], [9, 13, 11, 12], [15, 16, 18, 19], [20, 17]]
6: [[1, 3, 8], [7, 5, 10], [6, 14, 4], [2, 9], [13, 11, 12], [15, 16, 18, 19, 20, 17]]
7: [[1, 3, 8], [5, 7, 2], [10, 14, 6, 4], [9, 13], [11, 12], [15, 16], [18, 19, 20, 17]]
8: [[1, 3, 8], [5, 7, 10], [6, 2, 4], [12, 9, 13, 11, 14], [15, 16], [18, 19, 20, 17]]
9: [[1, 3, 8], [5, 7, 10], [2, 14, 6], [4, 9, 13], [11, 12], [15, 16], [18, 19, 20, 17]]
10: [[1, 3, 8], [5, 7, 10], [2, 14, 6], [4, 9, 13], [11, 12], [15, 16], [18, 19, 20, 17]]
11: [[1, 8, 3], [5, 7, 10], [14, 6, 2], [4, 9, 13], [11, 12], [15, 16], [18, 19, 20, 17]]
12: [[1, 3, 8], [5, 7, 10], [2, 14, 4], [6, 9, 13], [11, 12], [15, 16], [18, 19, 20, 17]]
13: [[1, 3, 8], [5, 7], [10, 6], [14, 4, 2], [9, 13, 11, 12], [15, 16], [18, 19, 20, 17]]
14: [[1, 3, 8], [7, 5, 10], [6, 14, 4], [2, 9, 13], [11, 12], [15, 16, 18], [19, 20, 17]]
15: [[1, 3, 8], [5, 7, 10, 2], [6, 14, 4], [9, 15, 11, 12], [13, 16], [18, 19, 20, 17]]
16: [[1, 3, 8], [7, 5, 10], [2, 14, 4], [6, 9], [13, 11, 12], [15, 16, 18, 19, 20, 17]]
17: [[1, 3, 8], [5, 7, 10], [2, 14, 4], [6, 9], [13, 11, 12], [15, 16, 18], [19, 20, 17]]
18: [[1, 3, 8], [5, 7], [10, 2], [14, 4, 6], [9, 13, 11], [12, 15, 16, 18], [19, 20, 17]]
19: [[1, 3, 8], [5, 7, 10], [2, 14, 6], [4, 9, 15], [11, 12, 13, 16], [18, 19, 20, 17]]
20: [[1, 3, 8], [5, 7, 10, 2], [14, 4, 6], [9, 13, 11], [12, 15], [16, 18], [19, 20, 17]]
21: [[1, 8, 3], [5, 7, 10, 2], [14, 6, 4], [9, 13], [11, 12, 15], [16, 18, 19], [20, 17]]
22: [[1, 8, 3], [5, 7, 10, 2], [14, 6, 4], [9, 13], [11, 12, 15], [16, 18, 19], [20, 17]]
23: [[1, 3, 8], [7, 5, 10], [6, 14], [4, 2, 9], [13, 11, 12, 15, 16, 18], [19, 20, 17]]
24: [[1, 3, 8], [5, 7, 10], [2, 14, 6], [4, 9, 13], [11, 12, 15], [16, 18, 19, 20, 17]]
25: [[1, 3, 8], [5, 7, 2], [14, 6, 10, 4], [9, 13, 11], [12, 15, 16], [18, 19], [20, 17]]
26: [[1, 3, 8], [5, 7, 10], [2, 14, 4], [6, 9], [13, 11, 12, 15], [16, 18, 19, 20, 17]]
27: [[1, 3], [8, 5, 7, 10], [2, 14, 9, 13, 11, 6, 4], [12, 15, 16, 18, 19, 20, 17]]
28: [[1, 3, 8], [5, 7, 2, 10], [14, 6], [4, 9, 15, 11], [12, 13], [16, 18, 19, 20], [17]]
29: [[1, 3], [8, 5], [7, 2, 10], [14, 4, 6, 9, 13], [11, 12, 15, 16], [18, 19, 20, 17]]
30: [[1, 3, 8], [5, 7, 2], [14, 6, 4, 10], [9, 15, 11, 12, 13, 16, 18, 19, 20, 17]]
31: [[1, 3, 8, 5], [7, 10, 2, 14], [4, 6], [9, 13, 11, 12], [15, 16, 18, 19, 20, 17]]
32: [[1, 3, 8], [5, 7, 10], [6, 14], [4, 2, 9, 13], [11, 12, 15, 16, 18, 19, 20], [17]]
33: [[1, 3, 8], [14, 5], [7, 2, 10], [4, 6, 9], [13, 11, 12], [15, 16, 18, 19], [20, 17]]
34: [[1, 2, 10], [14, 5, 7], [3, 8, 4], [6, 9, 13], [11, 12, 15, 16], [18, 19, 20, 17]]
35: [[1, 3, 8, 7], [5, 10, 2, 14], [6, 4], [9, 13, 11], [12, 15, 16, 18], [19, 20, 17]]
36: [[1, 3, 8], [5, 7], [10, 6, 14, 4], [2, 9, 13, 11, 12, 15, 16, 18, 19, 20, 17]]
37: [[1, 3, 8], [7, 5, 10], [2, 14], [6, 4, 9], [13, 11], [12, 15], [16, 18, 19, 20, 17]]
38: [[1, 3], [8, 7, 5, 10], [2, 14, 6, 4, 9, 13, 11, 12, 15, 16, 18, 19, 20, 17]]
39: [[1, 3], [8, 5], [7, 10, 2, 14], [6, 4, 9, 13, 11, 12, 15, 16, 18, 19, 20, 17]]
