0: [[1, 8, 3], [7, 5, 10, 2], [12, 11, 9], [4, 13], [6, 15, 14, 16], [20, 19, 17, 18]]
1: [[1, 8, 3], [7, 2, 10], [11, 9, 12], [13, 4, 6, 5], [15, 14, 16], [20, 19, 17, 18]]
2: [[1, 8, 3], [7, 5, 10], [12, 4, 13, 11, 6, 2, 9], [15, 14, 16], [20, 19, 17, 18]]
3: [[1, 8, 3], [7, 5, 10], [2, 12, 11], [4, 9, 13], [6, 15, 14, 16], [20, 19, 17, 18]]
4: [[1, 8, 3], [7, 5, 10], [2, 4], [11, 6], [12, 13, 9], [15, 14, 16], [20, 19, 17, 18]]
5: [[1, 8, 3], [7, 5, 10], [2, 6, 9], [12, 4, 13], [11, 15, 14, 16], [20, 19, 17, 18]]
6: [[1, 8, 3], [7, 5, 10], [2, 6, 9], [12, 4, 13], [11, 15, 14, 16], [20, 19, 17, 18]]
7: [[1, 8, 3], [7, 5, 10], [2, 12], [11, 9, 4, 13], [6, 15, 14, 16], [20, 19, 17, 18]]
8: [[1, 8, 3], [7, 5, 10], [11, 6, 2], [4, 12, 13, 9], [15, 14, 16], [20, 19, 17, 18]]
9: [[1, 8, 3], [7, 5, 10], [2, 6], [9, 12], [4, 13, 11], [15, 14, 16], [20, 19, 17, 18]]
10: [[1, 8, 3], [7, 5, 10], [11, 2, 12], [9, 6, 13, 4], [15, 14, 16], [20, 19, 17, 18]]
11: [[1, 8, 3], [5, 7], [10, 2, 12, 11], [4, 9, 13], [6, 15, 14, 16], [20, 19, 17, 18]]
12: [[1, 8, 3], [7], [5, 6, 10, 2], [9, 13, 4, 11], [12, 15, 14, 16], [20, 19, 17, 18]]
13: [[1, 8, 3], [7, 5, 6, 10], [4, 14, 2, 11], [9, 12, 15, 13], [16, 20, 19, 17, 18]]
14: [[1, 8, 3], [7, 5, 10], [2, 12, 11], [9, 6, 4], [13, 15, 14, 16], [20, 19, 17, 18]]
15: [[1, 8, 3], [7, 5, 10], [2, 4, 11], [12, 9, 6], [13, 15, 14, 16], [20, 19, 17, 18]]
16: [[1, 8, 3], [7, 5, 10], [6, 2, 11], [9, 4, 13, 12], [15, 14, 16, 20, 19, 17, 18]]
17: [[1, 8, 3], [7, 5, 10], [2, 12, 11], [9, 6, 4, 13], [15, 14, 16, 20], [19, 17, 18]]
18: [[1, 8, 3], [5, 10], [14, 7, 2], [4, 9, 13, 6], [15, 11, 16, 12], [20, 19, 17, 18]]
19: [[1, 8, 3], [7, 5, 10], [6, 4, 9], [11, 2, 14], [12, 15, 13, 16], [20, 19, 17, 18]]
20: [[1, 8, 3], [7, 5, 10, 2], [12, 11, 6, 4, 13, 9, 15, 14, 16, 20, 19, 17, 18]]
21: [[1, 8, 3], [7, 2, 10], [6, 12, 11, 4], [9, 13, 5], [15, 14, 16, 20, 19, 17, 18]]
22: [[1, 8, 3], [7, 5, 10, 2], [12, 11, 9, 4], [13, 6, 15, 14, 16, 20, 19, 17, 18]]
23: [[1, 8, 3, 7], [5, 10, 2], [4, 11, 12], [9, 6, 13], [15, 14, 16], [20, 19, 17, 18]]
24: [[1, 8, 3], [7, 5, 10], [2, 12, 11], [4, 6, 13, 14, 15], [9, 16, 20, 19, 17, 18]]
25: [[1, 8, 3], [7, 5, 10], [6, 4, 11, 2], [9, 13, 14, 15, 12, 16, 20, 19, 17, 18]]
26: [[1, 8, 3], [5, 6, 10, 4], [11, 7, 2, 9], [14, 12, 15, 13, 16, 20, 19, 17, 18]]
27: [[1, 8, 3], [7, 5, 10], [2, 11, 4], [6, 9, 13, 14, 15, 12, 16, 20, 19, 17, 18]]
28: [[1, 8], [3, 7, 5, 10], [2, 12, 11], [9, 4, 13], [6, 15, 14, 16], [20, 19, 17, 18]]
29: [[1, 8, 3], [7, 4, 10], [14, 2, 9], [12, 5, 13], [6, 15, 11, 16], [20, 19, 17, 18]]
30: [[1, 8, 3, 7], [5, 2, 10, 12], [11, 9, 6], [13, 4, 15, 14], [16, 20, 19, 17, 18]]
31: [[1, 8, 3], [7, 2, 10], [6, 9, 11, 4], [12, 13, 5, 15], [14, 16, 20, 19, 17, 18]]
32: [[1, 8, 3, 7, 2], [10, 12], [11, 6, 9, 5], [15, 4, 13, 14], [16, 20, 19, 17, 18]]
33: [[1, 8, 3], [7, 5, 10], [11, 12, 2, 4], [6, 13, 9, 15], [14, 16, 20, 19], [17, 18]]
34: [[1, 8], [3, 7], [5, 10, 2], [4, 11, 13], [6, 9, 12], [15, 14, 16], [20, 19, 17, 18]]
35: [[1, 8, 3], [5], [4, 2, 7, 10], [11, 12, 9], [13, 6, 15], [14, 16, 20], [19, 17, 18]]
36: [[1, 8, 3, 7], [5, 10, 2, 4], [11, 12, 9, 13, 6, 15, 14, 16, 20, 19, 17, 18]]
37: [[1, 8, 3], [5], [2, 7, 10], [13, 9, 4], [11, 15, 6], [14, 12, 16, 20], [19, 17, 18]]
38: [[1, 8, 3], [7, 4, 14], [2, 12, 11, 13], [5, 6, 9, 15], [10, 16, 20], [19, 17, 18]]
39: [[1, 8, 3], [5, 6], [10, 4, 14], [11, 2, 7], [13, 9], [15, 12], [16, 20, 19, 17], [18]]
