0: [[22, 15, 8], [6, 3, 9], [10, 2], [7, 11], [14, 12, 5, 13, 4], [19, 20, 17, 1], [16, 18], [21, 23, 24]]
1: [[22], [15, 6, 8, 5], [3, 9], [1, 10, 2], [7, 11], [13, 14, 12, 19, 4], [20, 17], [16, 18], [21, 23, 24]]
2: [[22], [15, 6, 8, 5], [3, 9, 1, 4], [10, 2], [7, 11], [13, 14], [12, 19, 20, 17], [16, 18], [21, 23, 24]]
3: [[22], [15, 6, 8, 5], [3, 9], [1, 10, 2], [7, 11, 13], [14, 12, 19, 4], [20, 17], [16, 18], [21, 23, 24]]
4: [[22, 8], [5, 15, 4], [3, 9, 1, 6], [10, 2], [7, 11, 13], [14, 12, 19, 20, 17, 16, 18], [21, 23, 24]]
5: [[22], [15, 6, 8], [3, 9], [1, 10, 2], [7, 11, 13], [14, 12, 4, 5], [19, 20, 17], [16, 18], [21, 23, 24]]
6: [[22, 8], [15, 6, 4, 5], [3, 9], [1, 10, 2], [7, 11], [13, 14, 12], [19, 20, 17], [16, 18], [21, 23, 24]]
7: [[22, 8], [15, 6, 4, 5], [3, 9], [1, 10, 2], [7, 11], [13, 14, 12], [19, 20, 17], [16, 18], [21, 23, 24]]
8: [[22, 8], [15, 6, 3, 4, 5], [9, 1], [10, 2], [7, 11, 13], [14, 12, 19, 20], [17, 16, 18], [21, 23, 24]]
9: [[22], [15, 6, 8, 5], [3, 9], [1, 10, 2], [7, 11], [13, 14, 12, 4], [19, 20], [17, 16, 18], [21, 23, 24]]
10: [[22], [15, 6, 8, 5], [3, 9], [1, 10, 2], [7, 11], [13, 14, 12, 4], [19, 20], [17, 16, 18], [21, 23, 24]]
11: [[22, 8], [15, 6, 4, 5], [3, 9, 1], [10, 2], [7, 11], [13, 14], [12, 19, 20], [17, 16, 18], [21, 23, 24]]
12: [[22], [15, 6, 4, 5], [3, 9, 1], [10, 2, 7], [11, 13, 14, 8], [12, 19, 20], [17, 16, 18], [21, 23, 24]]
13: [[22], [15], [6, 3, 4, 5], [9, 1], [10, 2, 7], [11, 13, 14, 8], [12, 19, 20], [17, 16, 18], [21, 23, 24]]
14: [[22, 8, 4, 5], [15, 6, 3], [9, 1], [10, 2, 7], [11, 13], [14, 12], [19, 20, 17], [16, 18], [21, 23, 24]]
15: [[22], [15, 6, 8, 5], [3, 9], [1, 10, 4], [2, 7, 11], [13, 14, 12], [19, 20], [17, 16, 18], [21, 23, 24]]
16: [[22], [15, 6, 8, 5], [3, 9], [1, 10, 2], [7, 11], [13, 14, 12, 4], [19, 20, 17], [16, 18, 21], [23, 24]]
17: [[22, 8], [15], [6, 3, 9], [1, 10, 2], [7, 11], [13, 14, 12, 4, 5], [19, 20, 17], [16, 18, 21], [23, 24]]
18: [[22], [15, 6, 3, 8], [9, 1, 10], [2, 7], [11, 13, 14], [12, 19, 20, 4, 5], [17, 16, 18], [21, 23, 24]]
