0: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
1: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
2: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
3: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
4: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
5: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
6: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
7: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
8: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
9: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
10: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
11: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
12: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
13: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
14: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
15: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
16: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
17: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
18: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
19: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
20: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
21: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
22: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
23: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
24: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
25: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
26: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
27: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
28: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
29: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
30: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
31: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
32: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
33: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
34: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
35: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
36: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
37: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
38: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
39: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
40: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
41: [[1, 8, 5, 2], [3, 11], [14, 13, 15, 4], [10, 7, 16, 6, 9], [12, 20, 17, 19, 18]]
