0: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
1: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 6, 4], [11, 15, 12, 16, 9], [20, 19, 18, 17]]
2: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 6, 4], [15, 11, 12, 16, 9], [20, 19, 18, 17]]
3: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
4: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
5: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 6, 4], [11, 15, 12, 16, 9], [20, 19, 18, 17]]
6: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
7: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 6, 4], [11, 12, 15, 16, 9], [20, 19, 18, 17]]
8: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
9: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
10: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
11: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 4, 6], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
12: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
13: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
14: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 4, 6], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
15: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
16: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 6, 4], [15, 17, 11, 12, 9], [20, 19, 18, 16]]
17: [[13, 1, 3, 8], [2, 5, 7], [10, 14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
18: [[13, 1, 3, 8], [2, 5, 7], [10, 14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
19: [[13, 1, 3, 8], [2, 5, 7], [10, 14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
20: [[13, 1, 3, 8], [2, 5, 7], [10, 14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
21: [[13, 1, 3, 8], [2, 5, 7], [10, 14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
22: [[13, 1, 3, 8], [2, 5, 7], [10, 14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
23: [[13, 1, 3, 8, 2], [5, 7, 10], [14, 11, 6, 4], [12, 15, 16, 9], [20, 19, 18, 17]]
24: [[13, 1, 3, 8, 2], [5, 7, 10], [14, 4, 6, 11], [15, 12, 16, 9], [20, 19, 18, 17]]
25: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 12, 4], [11, 15, 16, 6, 9], [20, 19, 18, 17]]
26: [[13, 1, 3, 8], [2, 5, 7, 10], [14, 12, 4], [11, 15, 16, 6, 9], [20, 19, 18, 17]]
27: [[13, 1, 3, 8, 2], [5, 7, 10], [14, 11, 12, 4], [15, 16, 6, 9], [20, 19, 18, 17]]
28: [[13, 1, 3], [8, 2, 5, 7], [10, 14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
29: [[13, 1, 3], [8, 2, 5, 7], [10, 14, 6, 4], [11, 15, 12, 16, 9], [20, 19, 18, 17]]
30: [[13, 1, 3], [8, 2, 5, 7], [10, 14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
31: [[13, 1, 3], [8, 2, 5, 7], [10, 14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
32: [[13, 1, 3], [8, 2, 5, 7], [10, 14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
33: [[13, 1, 3], [8, 2, 5, 7], [10, 14, 6, 4], [12, 11, 15, 16, 9], [20, 19, 18, 17]]
34: [[13, 1, 3, 8, 2], [5, 7, 10], [14, 6, 4, 12], [11, 15, 16, 9], [20, 19, 18, 17]]
35: [[13, 1, 3, 8, 2], [5, 7, 10], [14, 6, 4, 12], [11, 15, 16, 9], [20, 19, 18, 17]]
36: [[13, 1, 3, 8, 2], [5, 7, 10], [14, 12, 6, 4], [11, 15, 16, 9], [20, 19, 18, 17]]
37: [[13, 1, 3, 8, 2], [5, 7, 10], [14, 12, 6, 4], [11, 15, 16, 9], [20, 19, 18, 17]]
38: [[13, 1, 3, 8, 2], [5, 7, 10], [14, 6, 4, 12], [11, 15, 16, 9], [20, 19, 18, 17]]
39: [[13, 1, 3], [8, 2, 5, 7], [10, 14, 12, 6, 4], [11, 15, 16, 9], [20, 19, 18, 17]]
40: [[13, 1, 3], [8, 2, 5, 7], [10, 14, 4, 11], [12, 6, 15, 16, 9], [20, 19, 18, 17]]
41: [[13, 1, 3, 8, 2], [5, 7, 10, 14], [6, 4, 11, 12], [15, 16, 9], [20, 19, 18, 17]]
