0: [[37, 17, 3, 4, 15, 9], [5, 8, 1, 22, 6, 13], [20, 2], [24, 29], [35, 12], [10, 14, 26], [31, 30, 34], [7, 16, 18, 33, 32, 19, 23, 36, 11], [25, 21, 27, 28]]
1: [[37, 17, 3, 4, 15, 9], [5, 8, 1, 22, 6, 13], [20, 2], [24, 29], [35, 12], [10, 14, 26], [31, 30, 34], [7, 16, 18, 33, 32, 19, 23, 36, 11], [25, 21, 27, 28]]
2: [[37, 17, 3, 4], [15, 9, 5, 8], [1, 22, 6], [13, 20, 2], [24, 29, 35], [12, 10, 14, 26], [31, 30, 34, 7], [16, 18, 33, 32], [19, 23, 36, 11], [25, 21, 27, 28]]
3: [[37, 17, 3, 4], [15, 9, 5, 8], [1, 22, 6], [13, 20], [2, 24, 29, 35], [12, 10, 14, 26], [31, 30, 34, 7], [16, 18], [33, 32, 19], [23, 36, 11], [25, 21, 27, 28]]
4: [[37, 17, 3, 4], [15, 9, 5, 8], [1, 22, 6, 13], [20, 2], [24, 29, 35], [12, 10, 14], [26, 31, 30], [34, 7, 16, 18, 33], [32, 19, 23, 36], [11, 25, 21, 27, 28]]
5: [[37, 17, 3, 4], [15, 9, 5, 8, 1], [22, 6, 13], [20, 2, 24, 29, 35], [12, 10, 14, 26], [31, 30, 34, 7], [16, 18, 33, 32], [19, 23, 36, 11], [25, 21, 27, 28]]
6: [[37, 17, 3, 4, 15, 9], [5, 8, 1, 22, 6, 13], [20, 2, 24, 29], [35, 12, 10, 14], [26, 31, 30, 34], [7, 16, 18, 33], [32, 19, 23, 36], [11, 25, 21, 27, 28]]
7: [[37, 17, 3], [4, 15, 9], [5, 8, 1], [22, 6, 13, 20], [2, 24, 29, 35], [12, 10, 14, 26], [31, 30, 34], [7, 16, 18, 33], [32, 19, 23, 36], [11, 25, 21, 27, 28]]
8: [[37, 17, 3, 4], [15, 9, 5], [8, 1, 22], [6, 13], [20, 2, 24, 29, 35, 12], [10, 14, 26, 31, 30, 34], [7, 16, 18, 33, 32, 19, 23, 36, 11], [25, 21, 27, 28]]
9: [[37, 17, 3, 4], [15, 9, 5, 8], [1, 22, 6, 13], [20, 2, 24, 29, 35], [12, 10, 14, 26], [31, 30, 34, 7], [16, 18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
10: [[37, 17, 3, 4], [15, 9, 5, 8], [1, 22], [6, 13], [20, 2, 24], [29, 35], [12, 10, 14, 26], [31, 30, 34], [7, 16, 18, 33], [32, 19, 23, 36, 11], [25, 21, 27, 28]]
11: [[37, 17, 3, 4], [15, 9, 5, 8], [1, 22, 6, 13], [20, 2, 24], [29, 35, 12, 10], [14, 26], [31, 30, 34], [7, 16, 18], [33], [32, 19, 23, 36], [11, 25, 21, 27, 28]]
12: [[37, 17], [3, 4, 15, 9], [5, 8, 1], [22, 6, 13, 20], [2, 24, 29, 35], [12, 10, 14, 26], [31, 30, 34, 7], [16, 18, 33, 32, 19], [23, 36, 11], [25, 21, 27, 28]]
13: [[37, 17, 3, 4], [15, 9, 5], [8, 1], [22, 6, 13], [20, 2], [24, 29, 35], [12, 10, 14, 26], [31, 30, 34, 7], [16, 18, 33, 32], [19, 23, 36, 11], [25, 21, 27, 28]]
14: [[37, 17, 3, 4], [15, 9, 5], [8, 1], [22, 6, 13], [20], [2, 24, 29, 35], [12, 10, 14], [26, 31, 30, 34], [7, 16, 18, 33], [32, 19, 23, 36], [11, 25, 21, 27, 28]]
15: [[37, 17, 3, 4], [15, 9, 5, 8], [1, 22, 6], [13, 20, 2, 24], [29, 35], [12, 10, 14], [26], [31, 30, 34, 7], [16, 18, 33], [32], [19, 23, 36, 11], [25, 21, 27, 28]]
16: [[37, 17], [3, 4, 15, 9, 5], [8, 1, 22, 6, 13], [20, 2, 24, 29, 35], [12, 10, 14, 26], [31, 30, 34, 7], [16, 18, 33, 32, 19], [23, 36, 11], [25, 21, 27, 28]]
17: [[37, 17], [3, 4, 15, 9, 5], [8, 1, 22, 6, 13], [20, 2, 24, 29, 35], [12, 10, 14, 26], [31, 30, 34, 7], [16, 18, 33, 32], [19, 23, 36, 11], [25, 21, 27, 28]]
18: [[37, 17, 3, 4], [15, 9, 5, 8], [1, 22, 6, 13], [20, 2, 24], [29, 35, 12, 10, 14], [26, 31, 30], [34, 7], [16, 18], [33, 32, 19], [23, 36, 11], [25, 21, 27, 28]]
19: [[37, 17, 3, 4, 15], [9, 5, 8], [1, 22, 6, 13, 20], [2, 24, 29, 35], [12, 10, 14, 26], [31, 30, 34, 7], [16, 18, 33, 32], [19, 23, 36, 11, 25, 21, 27, 28]]
20: [[37, 17, 3, 4], [15, 9, 5, 8], [1, 22, 6, 13], [20, 2, 24, 29], [35, 12, 10, 14], [26, 31, 30], [34, 7, 16], [18, 33, 32], [19, 23, 36, 11], [25, 21, 27, 28]]
21: [[37, 17, 3, 4, 15, 9], [5, 8, 1, 22, 6, 13], [20, 2, 24], [29, 35, 12, 10, 14], [26, 31, 30, 34], [7, 16, 18, 33], [32, 19, 23, 36], [11, 25, 21, 27], [28]]
22: [[37, 17], [3, 4, 15], [9, 5, 8, 1], [22, 6, 13, 20], [2, 24, 29, 35], [12, 10, 14, 26], [31, 30], [34, 7, 16, 18], [33, 32], [19, 23, 36, 11], [25, 21, 27, 28]]
23: [[37, 17, 3], [4, 15, 9], [5, 8, 1], [22, 6, 13], [20, 2, 24, 29], [35, 12, 10, 14], [26, 31, 30, 34], [7, 16, 18, 33], [32, 19, 23, 36], [11], [25, 21, 27, 28]]
24: [[37, 17, 3, 4], [15, 9, 5, 8], [1, 22, 6, 13], [20, 2, 24, 29], [35, 12, 10, 14], [26, 31, 30, 34], [7, 16, 18, 33], [32, 19, 23, 36, 11, 25], [21, 27, 28]]
25: [[37, 17, 3, 4, 15, 9], [5, 8, 1], [22, 6, 13, 20], [2, 24, 29], [35, 12, 10, 14], [26, 31, 30, 34, 7, 16, 18, 33, 32, 19, 23], [36, 11, 25, 21, 27], [28]]
26: [[37, 17], [3, 4, 15, 9], [5, 8, 1, 22], [6, 13, 20, 2], [24, 29], [35, 12, 10, 14], [26, 31, 30], [34, 7, 16], [18, 33, 32, 19], [23, 36, 11], [25, 21, 27, 28]]
27: [[37, 17], [3, 4, 15, 9], [5, 8, 1, 22], [6, 13, 20, 2], [24, 29], [35, 12, 10, 14], [26, 31, 30], [34, 7, 16], [18, 33, 32, 19], [23, 36, 11], [25, 21, 27, 28]]
28: [[37, 17, 3, 4, 15], [9, 5, 8, 1], [22, 6], [13, 20, 2, 24, 29, 35], [12, 10, 14], [26, 31, 30], [34, 7, 16, 18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
29: [[37, 17, 3, 4], [15, 9, 5, 8], [1, 22, 6, 13, 20], [2, 24, 29, 35], [12, 10, 14], [26, 31, 30, 34, 7], [16, 18, 33, 32], [19, 23], [36, 11, 25], [21, 27, 28]]
30: [[37, 17], [3, 4, 15, 9], [5, 8, 1], [22, 6, 13, 20], [2, 24, 29, 35], [12, 10, 14, 26], [31, 30, 34, 7], [16, 18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
31: [[37, 17, 3], [4, 15, 9, 5], [8, 1, 22, 6], [13, 20], [2, 24, 29, 35], [12, 10, 14], [26, 31], [30, 34, 7], [16, 18, 33, 32], [19, 23, 36, 11], [25, 21, 27, 28]]
32: [[37, 17, 3], [4, 15, 9, 5, 8], [1, 22, 6, 13], [20, 2, 24, 29], [35, 12, 10, 14, 26], [31, 30, 34], [7, 16, 18, 33], [32, 19, 23, 36, 11, 25, 21, 27, 28]]
33: [[37, 17, 3], [4, 15], [9, 5, 8], [1, 22, 6], [13, 20], [2, 24], [29, 35], [12, 10, 14], [26, 31, 30, 34], [7, 16, 18, 33], [32, 19, 23, 36], [11, 25, 21, 27, 28]]
34: [[37, 17, 3, 4, 15, 9, 5], [8, 1], [22, 6], [13, 20, 2], [24, 29, 35], [12, 10], [14, 26], [31, 30, 34, 7, 16], [18, 33, 32], [19, 23, 36, 11], [25, 21, 27, 28]]
35: [[37, 17, 3], [4, 15, 9], [5, 8, 1], [22, 6, 13], [20, 2, 24], [29, 35, 12], [10, 14], [26, 31, 30], [34], [7, 16, 18, 33], [32, 19, 23], [36, 11], [25, 21, 27, 28]]
36: [[37, 17, 3], [4, 15, 9, 5], [8, 1, 22, 6], [13, 20, 2], [24, 29, 35, 12], [10, 14], [26, 31, 30, 34, 7], [16, 18, 33, 32, 19], [23, 36, 11, 25], [21, 27, 28]]
37: [[37, 17, 3], [4, 15, 9, 5], [8, 1, 22], [6, 13, 20], [2, 24, 29, 35], [12, 10, 14, 26], [31, 30, 34, 7], [16, 18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
38: [[37, 17, 3, 4], [15, 9, 5, 8], [1, 22, 6, 13], [20, 2, 24, 29], [35, 12, 10, 14], [26, 31, 30], [34, 7, 16], [18, 33, 32, 19], [23, 36, 11, 25], [21, 27, 28]]
