0: [[6, 1, 13, 4, 3], [14, 2, 11, 7, 10], [8, 9, 15], [12, 20, 17, 19, 16, 18, 5], [21, 23, 22, 24]]
1: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
2: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
3: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
4: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
5: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
6: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
7: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
8: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
9: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
10: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
11: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
12: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
13: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
14: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
15: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
16: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
17: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
18: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
19: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
20: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
21: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
22: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
23: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
24: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
25: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
26: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
27: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
28: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
29: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
30: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
31: [[4, 5, 3, 6], [1, 14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
32: [[4, 5, 3, 6], [1, 14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
33: [[4, 5, 3, 6], [1, 14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
34: [[4, 5, 3, 6], [1, 14, 2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
35: [[5, 6, 1, 14, 4], [2, 11, 7, 10], [13, 8, 9, 15], [12, 20, 17, 19, 16, 18, 3], [21, 23, 22, 24]]
36: [[5, 6, 1, 14, 4], [2, 11, 7, 10, 13], [8, 9, 15], [12, 20, 17, 19, 16, 18, 3], [21, 23, 22, 24]]
37: [[5, 6, 1, 4], [14, 2, 11, 7, 10, 13], [8, 9, 15, 12], [20, 17, 19, 16, 18, 3], [21, 23, 22, 24]]
38: [[5, 6, 1, 4], [14, 2, 11, 7, 10, 13], [8, 9, 15, 12], [20, 17, 19, 16, 18, 3], [21, 23, 22, 24]]
39: [[5, 3, 1, 4, 6], [14, 2, 11, 7], [10, 13, 8, 9, 15], [12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
40: [[5, 6, 1, 14, 4, 3], [2, 11, 7, 10, 13], [8, 9], [15, 12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
41: [[5, 6, 1, 14, 4], [2, 11, 7, 10, 13], [8, 9, 15, 12], [20, 17, 19, 16, 18, 3], [21, 23, 22, 24]]
42: [[5, 3, 1, 4, 6], [14, 2, 11, 7], [10, 13, 8, 9], [15, 12, 20, 17, 19, 16, 18], [21, 23, 22, 24]]
43: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15, 12], [20, 17, 19, 16, 18, 21], [23, 22, 24]]
44: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15, 12], [20, 17, 19, 16, 18, 21], [23, 22, 24]]
45: [[5, 6, 1, 4, 3], [14, 2, 11, 7, 10], [13, 8, 9, 15, 12], [20, 17, 19, 16, 18, 21], [23, 22, 24]]
46: [[5, 6, 1, 4, 3], [14, 2, 11, 7], [10, 13, 8, 9], [15, 12, 20, 17, 19, 16], [18, 21, 23, 22, 24]]
47: [[5, 6, 1, 4, 3], [14, 2, 11, 7], [10, 13, 8, 9], [15, 12, 20, 17, 19, 16], [18, 21, 23, 22, 24]]
48: [[5, 6, 4, 3], [1, 14, 2, 11, 7], [10, 13, 8, 9], [15, 12, 20, 17, 19, 16], [18, 21, 23, 22, 24]]
49: [[5, 6, 4, 3], [1, 14, 2, 11, 7], [10, 13, 8, 9], [15, 12, 20, 17, 19, 16], [18, 21, 23, 22, 24]]
