0: [[20, 19, 17, 18, 4], [12, 15, 13, 9], [1, 11, 3], [5, 2, 7, 8, 10], [16, 14, 6]]
1: [[20, 19, 17, 18, 4], [12, 9, 15, 13], [1, 11, 3], [5, 2, 7, 8, 10], [16, 14, 6]]
2: [[20, 19, 17, 18, 4], [12, 9, 15, 13], [1, 11, 3], [5, 2, 7, 8, 10], [16, 14, 6]]
3: [[20, 19, 17, 4], [18, 12, 9, 15, 13], [1, 11, 3], [5, 2, 7, 8, 10], [16, 14, 6]]
4: [[20, 19, 4], [17, 18, 12, 9, 15, 13], [1, 11, 3], [5, 2, 7, 8, 10], [16, 14, 6]]
5: [[20, 19, 4], [17, 18, 12, 9, 15, 13], [1, 11, 3], [5, 2, 7, 8, 10], [16, 14, 6]]
6: [[20, 19, 4], [17, 18, 12, 9, 15, 13], [1, 11, 3], [5, 2, 7, 8, 10], [16, 14, 6]]
7: [[20, 19, 4], [17, 18, 12, 9, 15, 13], [1, 11, 3], [5, 2, 7, 8, 10], [16, 14, 6]]
8: [[20, 19, 17, 4], [18, 12, 9, 15], [13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14, 6]]
9: [[20, 19, 17, 4], [18, 12, 9, 15], [13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14, 6]]
10: [[20, 19, 17, 4], [18, 12, 9, 15], [13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14, 6]]
11: [[20, 4], [19, 17, 18, 12, 9, 15], [13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14, 6]]
12: [[20, 4], [19, 17, 18, 12, 9, 15], [13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14, 6]]
13: [[20, 19, 4], [17, 18, 12, 9, 15], [13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14, 6]]
14: [[20, 19, 4], [17, 18, 12, 9, 15], [13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14, 6]]
15: [[20, 19, 17, 18, 4], [12, 9, 15], [13, 1, 11, 3, 5], [2, 7, 8, 10], [16, 14, 6]]
16: [[20, 4], [19, 17, 18, 12, 9, 15, 13], [1, 11, 3, 5], [2, 7, 8, 10], [16, 14, 6]]
17: [[20, 19], [17, 18, 12, 9, 15], [13, 1, 11, 3, 5, 2, 4], [7, 8, 10], [16, 14, 6]]
18: [[20], [19, 17, 18, 12, 9, 15], [13, 1, 11, 3, 5, 4], [2, 7, 8, 10], [16, 14, 6]]
19: [[20, 19, 17], [18, 12, 9, 15, 13, 1], [11, 3, 5, 2, 4], [7, 8, 10], [16, 14, 6]]
20: [[20, 19, 17, 4], [18, 12, 9], [15, 13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14, 6]]
21: [[20, 4, 6], [19, 17, 18], [12, 9, 15, 13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14]]
22: [[20, 4, 6], [19, 17, 18], [12, 9, 15, 13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14]]
23: [[20, 19, 4], [17, 18, 12, 9], [15, 13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14, 6]]
24: [[20], [19, 17, 18, 12, 9, 15, 13, 1], [11, 3, 5, 4], [2, 7, 8, 10], [16, 14, 6]]
25: [[20, 19, 4], [17, 18, 12, 9, 15], [13, 1, 11, 3, 5, 2, 7], [8, 10], [16, 14, 6]]
26: [[20, 4, 6], [19, 17, 18, 12], [9, 15, 13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14]]
27: [[20, 4, 6], [19, 17, 18, 12], [9, 15, 13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14]]
28: [[20, 4, 6], [19, 17, 18, 12], [9, 15, 13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14]]
29: [[20, 19, 17, 4], [18, 12, 9, 15], [13, 1, 11], [3, 5, 2, 7, 8, 10], [16, 14, 6]]
30: [[20, 19, 17, 18, 4], [12, 9], [15, 13, 1], [11, 3, 5, 2, 7, 8, 10], [16, 14, 6]]
31: [[20, 19, 17, 18, 4], [12, 9], [15, 13, 1, 11], [3, 5, 2, 7, 8, 10], [16, 14, 6]]
32: [[20, 4], [19, 17, 18, 12, 9, 15], [13, 1, 11], [3, 5, 2, 7, 8, 10], [16, 14, 6]]
33: [[20, 4], [19, 17, 18, 12, 9, 15], [13, 1, 11], [3, 5, 2, 7, 8, 10], [16, 14, 6]]
34: [[20, 4], [19, 17, 18, 12, 9, 15], [13, 1, 11], [3, 5, 2, 7, 8, 10], [16, 14, 6]]
35: [[20, 19, 4, 6], [17, 18, 12], [9, 15, 13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14]]
36: [[20, 19, 4, 6], [17, 18, 12], [9, 15, 13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14]]
37: [[20, 4], [19, 17, 18, 12, 6], [9, 15, 13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14]]
38: [[20, 4, 6], [19, 17, 18, 12, 9], [15, 13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14]]
39: [[20, 4, 6], [19, 17, 18, 12, 9], [15, 13, 1, 11, 3], [5, 2, 7, 8, 10], [16, 14]]
40: [[20, 19, 4, 6], [17, 18, 12], [9, 15, 13, 1, 11, 3, 5], [2, 7, 8, 10], [16, 14]]
41: [[20, 19, 17, 18, 6], [12, 9], [15, 13, 1, 11, 3, 5, 4], [2, 7, 8, 10], [16, 14]]
