It No., Best MQ, No clusters, max clus, min clus
1,1.7974518543436213,3,9,4
2,1.9506075245205678,4,9,3
3,1.818683537488222,3,10,4
4,1.8510651629072683,4,6,4
5,1.7871349610480045,3,9,4
6,1.9347826086956523,4,6,4
7,2.0052071558643854,4,7,3
8,1.956168831168831,5,6,3
9,2.0443493288320873,4,6,4
10,1.7871349610480045,3,9,4
11,1.8645914682212323,5,6,2
12,1.9991582491582491,5,7,2
13,1.7871349610480045,3,9,4
14,1.91280458671763,5,5,2
15,1.7477467534856346,3,7,6
16,2.084592050536323,5,6,2
17,1.9951754385964913,5,5,3
18,2.0744340248176565,4,6,4
19,2.037420112169036,6,6,2
20,1.8095785440613026,3,7,6
21,2.0318414322250637,7,6,2
22,1.818683537488222,3,10,4
23,1.9142738646574964,4,6,4
24,1.9722222222222223,4,7,2
25,1.9847211611917492,4,6,4
26,1.8616243738194957,4,6,4
27,1.818683537488222,3,10,4
28,1.9212114907855273,7,6,2
29,2.004768178681222,4,7,3
30,1.9637564116555715,4,8,3
31,1.8112217480638533,4,7,2
