0: [[41, 19, 17, 12, 2, 20, 3, 37, 53], [7, 5, 4, 8, 1, 9, 13, 14, 11, 21, 6], [28, 15, 31, 24, 25, 16, 26, 29, 18, 10], [56, 30, 34, 51, 39, 23, 22, 40, 42, 43], [45, 27, 33, 32, 36, 38, 46, 44, 35, 47], [49, 59, 50, 52, 48, 55, 54, 57, 58, 60]]
1: [[25, 17, 35, 2, 33, 20, 1, 14, 19, 7, 3], [12, 4, 9, 5, 8, 11, 18, 27, 13, 15, 31, 16, 26, 28, 23, 24, 30, 10, 21, 6], [22, 29, 38, 32, 34, 40, 45, 36, 41, 39, 43, 37, 42, 44], [46, 47, 60, 53, 48, 49, 51, 54, 52, 57, 58, 50, 55, 56, 59]]
2: [[25, 17, 35, 2, 33, 20, 1, 14, 19, 7, 3], [12, 4, 9, 5, 8, 11, 18, 27, 13, 31, 15, 22, 28, 16, 30, 24, 23, 10, 21, 6], [26, 29, 38, 32, 34, 40, 45, 36, 41, 39, 43, 37, 44, 42], [46, 47, 60, 53, 48, 49, 51, 54, 52, 57, 58, 50, 55, 56, 59]]
3: [[25, 17, 35, 2, 33, 20, 1, 14, 19, 7, 3], [12, 4, 9, 5, 8, 11, 18, 22, 6, 31, 10, 15, 27, 13, 30, 21, 16, 28, 23, 24], [26, 29, 38, 32, 34, 40, 45, 36, 41, 39, 43, 37, 44, 42], [46, 47, 60, 53, 48, 49, 51, 54, 52, 57, 58, 50, 55, 56, 59]]
4: [[25, 17, 35, 2, 33, 20, 1, 14, 19, 7, 3], [12, 4, 9, 5, 8, 11, 18, 22, 6, 31, 10, 15, 27, 13, 30, 21, 16, 28, 23, 24], [26, 29, 38, 32, 34, 40, 45, 36, 41, 39, 43, 37, 44, 42], [46, 47, 60, 53, 48, 49, 51, 54, 52, 57, 58, 50, 55, 56, 59]]
5: [[25, 17, 35, 2, 33, 20, 1, 14, 19, 7, 3], [12, 4, 9, 5, 8, 11, 18, 6, 10, 31, 13, 15, 27, 22, 30, 28, 23, 21, 16, 24], [26, 29, 38, 32, 34, 40, 45, 36, 41, 39, 43, 37, 44, 42], [46, 47, 60, 53, 48, 49, 51, 54, 52, 57, 58, 50, 55, 56, 59]]
6: [[25, 17, 35, 2, 33, 20, 1, 14, 19, 7, 3], [12, 4, 9, 5, 8, 11, 18, 6, 10, 31, 15, 28, 21, 13, 30, 24, 23, 22, 27, 16], [26, 29, 38, 32, 34, 40, 45, 36, 41, 39, 43, 37, 44, 42], [46, 47, 60, 53, 48, 49, 51, 54, 52, 57, 58, 50, 55, 56, 59]]
7: [[25, 17, 35, 2, 33, 20, 1, 14, 19, 7, 3], [12, 4, 9, 5, 8, 11, 18, 6, 10, 31, 15, 28, 21, 13, 30, 16, 23, 22, 24, 27], [26, 29, 38, 32, 34, 40, 45, 36, 41, 39, 43, 37, 44, 42], [46, 47, 60, 53, 48, 49, 51, 54, 52, 57, 58, 50, 55, 56, 59]]
8: [[25, 17, 35, 2, 33, 20, 1, 14, 19, 7, 3], [12, 4, 9, 5, 8, 11, 18, 6, 10, 15, 31, 16, 30, 13, 22, 21, 28, 23, 27, 24], [26, 29, 38, 32, 34, 40, 45, 36, 41, 39, 43, 37, 42, 44], [46, 47, 60, 53, 48, 49, 51, 54, 52, 57, 58, 50, 55, 56, 59]]
9: [[25, 17, 35, 2, 33, 20, 1, 14, 19, 7, 3], [12, 4, 9, 5, 8, 11, 18, 6, 10, 15, 31, 16, 30, 13, 22, 21, 28, 23, 27, 24], [26, 29, 38, 32, 34, 40, 45, 36, 41, 39, 43, 37, 42, 44], [46, 47, 60, 53, 48, 49, 51, 54, 52, 57, 58, 50, 55, 56, 59]]
10: [[25, 17, 35, 2, 33, 20, 1, 14, 19, 7, 3], [12, 4, 9, 5, 8, 11, 18, 22, 31, 13, 15, 16, 30, 27, 28, 23, 24, 10, 21, 6], [26, 29, 38, 32, 34, 40, 45, 36, 41, 39, 43, 37, 44, 42], [46, 47, 60, 53, 48, 49, 51, 54, 52, 57, 58, 50, 55, 56, 59]]
