0: [[10, 20, 17], [6, 5, 25], [2, 15, 19, 1, 16], [3, 12, 8, 4, 11], [24, 9, 22, 7, 13, 14, 18], [23, 28], [21, 27, 26, 29]]
1: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
2: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
3: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
4: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
5: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
6: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
7: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
8: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
9: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
10: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
11: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
12: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
13: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
14: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
