0: [[7, 35, 46, 2], [1, 3, 4], [13, 5, 6, 21], [8, 24], [11, 15, 14, 17, 16, 10, 18], [9, 12, 23], [26, 19, 27, 20], [22, 28, 30], [25, 31], [29, 40, 32, 38, 37], [36, 34, 39, 33, 47, 42], [43, 41, 55, 45, 44, 48], [51, 53, 50, 52, 58], [54, 56, 59, 60], [49, 57]]
1: [[7, 35, 46, 2], [1, 3, 4], [13, 5, 6, 21], [8, 24], [11, 15, 14, 17, 16, 10, 18], [9, 12, 23], [26, 19, 27, 20], [22, 28, 30], [25, 31], [29, 40, 32, 38, 37], [36, 34, 39, 33, 47, 42], [43, 41, 55, 45, 44, 48], [51, 53, 50, 52, 58], [54, 56, 59, 60], [49, 57]]
2: [[7, 35, 46, 2], [1, 3, 4], [13, 5, 6, 21], [8, 24], [11, 15, 14, 17, 16, 10, 18], [9, 12, 23], [26, 19, 27, 20], [22, 28, 30], [25, 31], [29, 40, 32, 38, 37], [36, 34, 39, 33, 47, 42], [43, 41, 55, 45, 44, 48], [51, 53, 50, 52, 58], [54, 56, 59, 60], [49, 57]]
3: [[7, 35, 46, 2], [1, 3, 4], [13, 21, 6, 5], [9, 24], [11, 8, 14, 26, 16, 15, 12, 19, 10, 17, 18, 23, 25, 22, 27, 29], [20, 28, 30, 31, 40, 32, 41, 33, 36, 34, 37, 38, 43, 44, 42, 39, 51, 47, 50], [53, 45, 56, 48, 52, 49, 54, 57], [59, 58, 55, 60]]
4: [[7, 35, 46, 2], [1, 3, 4], [13, 21, 5, 6, 8, 16, 11], [14, 9, 12, 15, 10, 30, 17, 19, 22, 23, 18, 24, 28], [26, 20, 31, 27, 29, 25, 42, 34], [38, 33, 32, 37, 47, 41, 36], [39, 43, 40], [58, 44, 50, 45], [48, 52, 54, 51, 55, 59, 49, 57], [60, 53, 56]]
5: [[7, 35, 46, 2, 1], [3, 4], [13, 21, 6, 5, 8, 9, 25, 14], [10, 12, 23, 11], [15, 28, 18, 16, 17, 31, 22, 24, 26], [19, 20, 27, 29, 30, 40, 32, 33, 37, 34], [38, 36, 44, 39, 43, 41, 42, 48, 45, 47], [52, 50, 49, 51, 55, 56, 58, 53, 59, 57, 54], [60]]
6: [[7, 35, 46, 2], [1, 3, 4], [13, 21, 6, 5, 24, 16, 11], [14, 12, 8, 10, 19, 29, 15, 17, 31, 9, 18, 20, 22], [26], [28, 23, 25, 30, 27, 32, 34, 37], [33, 36, 38, 39, 42, 40, 45, 41, 44, 50, 43, 47, 53, 48, 56, 54], [49, 52, 51, 57, 55, 60, 58, 59]]
7: [[7, 35, 46, 2, 1, 3, 4], [13, 21, 6, 5, 8], [24, 9, 10, 12, 11, 16, 15, 20, 18, 17, 14], [22, 19, 27, 23, 30, 29, 26, 25, 28, 31, 32], [38, 33, 36, 37], [40, 43, 41, 39, 34, 42, 44], [50, 45, 51, 47], [48, 56, 52, 49, 54, 58, 53, 59, 55, 57, 60]]
8: [[7, 35, 46, 2, 1, 3, 4], [13, 21, 6, 5], [8, 26, 9], [10, 12, 14, 23, 15], [16, 11, 17, 18], [22, 19, 31, 20], [27, 25, 30, 24, 29, 28, 32, 37, 39, 36, 34, 33], [40, 43, 38, 42, 41, 47, 50, 44, 51, 45, 55], [49, 48, 52, 54, 58, 53, 57, 56, 59, 60]]
9: [[7, 35, 46, 2, 1], [3, 4, 13, 21, 6, 5, 8], [27, 10, 9, 14, 11, 12, 15, 17, 23, 18, 16], [22, 20, 26, 25, 28, 19, 24, 29, 31, 30, 40, 37], [38, 33, 32, 34, 36, 45, 47, 39, 41], [42, 43, 59, 48, 44], [55, 50, 49, 51, 52, 57, 56, 53, 54, 58, 60]]
10: [[7, 35, 46, 2, 1, 3], [4, 13, 21, 5, 6, 8, 27], [10, 15, 14, 11, 12, 9, 16, 18, 30, 17, 22], [23, 26], [25, 28, 19, 24, 29, 31, 20, 40, 39, 37], [33, 34, 32, 36, 45], [38, 47, 44, 42, 43, 48], [51, 41, 55, 50], [49, 54, 52, 57, 58, 53, 59, 56, 60]]
11: [[7, 35, 46, 2, 1, 3, 4], [13, 21, 6, 5, 8], [24, 11, 10, 14, 15, 12, 9, 28, 19, 16, 29, 18], [17, 22, 20], [27, 23, 25, 26, 30, 31, 40, 38, 39], [37, 34, 42, 32, 41, 45, 33, 36, 43, 44, 53, 50, 48, 51], [49, 52, 54, 47, 55, 58, 57, 59, 60, 56]]
12: [[7, 35, 46, 2, 1], [3, 4, 13, 5, 21, 6], [8, 17, 9, 11], [19, 15, 12, 14, 25, 23, 16, 28, 27, 20, 22, 30, 24, 26, 31, 29, 40, 32, 18, 10], [38, 33, 36, 34, 37, 41, 39, 42, 44, 45, 48, 43, 52, 47], [55, 49, 51, 50, 54, 57, 53, 56, 60, 58, 59]]
13: [[7, 35, 46, 2], [1, 3, 4], [13, 5, 6, 21], [8, 25], [11, 15, 14, 10, 16, 9, 19], [24, 12, 23], [22, 20, 27, 17, 28], [18, 30, 31, 26, 29, 40, 34, 38, 37, 32, 42, 39, 33, 47, 36], [43, 45, 41, 44, 49, 48, 51, 50, 53, 52, 54, 59, 55, 56, 57, 60, 58]]
14: [[7, 35, 46, 2], [1, 3, 4], [13, 5, 6, 21], [8, 25], [11, 15, 14, 10, 16, 9, 19], [24, 12, 23], [22, 20, 27, 17, 28], [18, 30, 31, 26, 29, 40, 34, 38, 37, 32, 42, 39, 33, 47, 36], [43, 45, 41, 44, 49, 48, 51, 50, 53, 52, 54, 59, 55, 56, 57, 60, 58]]
15: [[7, 35, 46, 2], [1, 3, 4], [13, 21, 6, 5, 24, 8, 11], [15, 10, 9, 20, 16, 18, 12, 14], [23, 19, 22, 17, 25, 29, 28, 27, 30, 31, 26, 32, 36, 33, 37, 39, 40, 38, 41, 42, 34], [43, 44, 51, 45, 55, 47, 59, 49, 53, 50, 48, 52, 57, 58, 54, 56, 60]]
16: [[7, 35, 46, 2], [1, 3, 4], [13, 21, 6, 5, 24, 8, 11], [15, 10, 9, 20, 16, 18, 12, 14], [23, 19, 22, 17, 25, 29, 28, 27, 30, 31, 26, 32, 36, 33, 37, 39, 40, 38, 41, 42, 34], [43, 44, 51, 45, 55, 47, 59, 49, 53, 50, 48, 52, 57, 58, 54, 56, 60]]
17: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6, 5, 8, 16, 27, 11, 14, 25, 19, 9, 23, 12, 10, 15, 18, 17, 22, 30, 20, 28, 26, 31, 29, 24, 40, 38, 37, 36, 32, 33, 47, 42, 34, 39, 41, 51, 44, 43, 58], [52, 45, 48, 50], [55, 56, 53, 49, 54, 59, 57, 60]]
18: [[7, 35, 46, 2], [1, 3, 4], [13, 5, 6, 21, 8, 24, 11], [9, 14, 23, 18, 15, 12, 19, 10, 16, 20, 22], [17, 26, 27, 29, 30, 25, 28, 31, 40, 38, 41], [37, 33, 34, 32, 36, 43, 39, 42, 55, 60, 47, 48], [45, 44, 49, 51, 50, 53, 58, 59, 52, 54, 56, 57]]
19: [[7, 35, 46, 2], [1, 3, 4], [13, 21, 6, 5, 10, 24, 11], [8, 12, 9, 18, 14, 30, 15, 28, 16, 17, 20, 19], [27, 23, 26, 22, 25, 29, 31, 32, 34], [39, 37, 36, 42], [33, 41, 38, 45, 40], [47, 60, 43, 59, 44, 51], [49, 52, 54, 58, 53, 48, 55, 56, 50, 57]]
20: [[7, 35, 46, 2], [1, 3, 4], [13, 21, 6, 5, 10, 24, 11], [8, 12, 9, 18, 14, 30, 15, 28, 16, 17, 20, 19], [27, 23, 26, 22, 25, 29, 31, 32, 34], [39, 37, 36, 42], [33, 41, 38, 45, 40], [47, 60, 43, 59, 44, 51], [49, 52, 54, 58, 53, 48, 55, 56, 50, 57]]
21: [[7, 35, 46, 2], [1, 3, 4], [13, 21, 6, 5, 10, 24, 11], [8, 12, 9, 18, 14, 30, 15, 28, 16, 17, 20, 19], [27, 23, 26, 22, 25, 29, 31, 32, 34], [39, 37, 36, 42], [33, 41, 38, 45, 40], [47, 60, 43, 59, 44, 51], [49, 52, 54, 58, 53, 48, 55, 56, 50, 57]]
22: [[7, 35, 46, 2], [1, 3, 4], [13, 5, 6, 21], [8, 24], [11, 15, 14, 19, 18, 10, 12, 9, 17, 20, 26, 16, 23, 22], [25, 28, 30, 27, 29, 31, 32, 38, 39, 37], [36, 34, 33, 43, 47, 42, 40, 41, 52, 45, 44, 48, 51, 53, 50, 49, 59, 57, 56, 58, 55, 54, 60]]
23: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6], [5, 8, 28, 9], [10, 11, 26, 18, 12, 15, 14, 27, 16], [17, 19, 30, 20], [23, 31, 22, 24, 25, 29, 32, 37, 33, 36, 34, 43, 39, 38, 41, 44, 45, 40, 42, 47, 50, 51, 58, 48, 52, 55, 53, 54, 49, 57, 56, 59, 60]]
24: [[7, 35, 46, 2, 1], [3, 4, 13, 21, 6, 5], [8, 24, 9, 10, 14, 11, 17, 12, 16, 15, 19, 18], [20, 22, 28, 23], [25, 26, 31, 27], [29, 30, 40, 33, 37, 34, 36, 32, 38, 42, 43, 47, 39, 41, 44, 53, 45, 49, 60, 51, 50], [48, 52, 54, 59, 56, 55, 58, 57]]
25: [[7, 35, 46, 2], [1, 3, 4, 13, 5, 6, 22, 10, 25, 11, 8, 15, 9, 18, 14, 17, 31, 12, 16, 21, 20, 19, 24, 23, 26, 28, 27, 29, 30, 40, 34, 39, 37, 32, 42, 33, 41, 36, 44, 38], [45, 60, 43, 51, 55, 47], [49, 52, 57, 58, 50, 48, 53, 54, 56, 59]]
26: [[7, 35, 46, 2], [1, 3, 4], [13, 5, 6, 21, 8, 16, 11], [9, 12, 10, 25], [14, 30, 17, 31, 22, 23, 18, 15, 20], [19, 24, 26, 28, 27, 29, 32, 34], [38, 33, 36, 41, 37, 40, 39], [45, 43, 47], [58, 44, 59, 42], [51, 48, 54, 50, 53, 52, 49, 57], [56, 55, 60]]
27: [[7, 35, 46, 2, 1], [3, 4, 13, 21, 6, 5], [8, 27, 11, 10, 14], [19, 15, 9, 17, 25, 18, 12, 16, 28, 23, 20, 22, 30, 24, 26, 29, 31, 40, 32], [38, 33, 37, 34, 36, 41, 39, 42, 45, 44, 48, 43, 53, 47], [55, 51, 49, 50, 52, 57, 56, 54, 60, 58, 59]]
28: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6], [22, 8, 24, 9], [10, 14, 31, 19], [12, 5, 11, 15, 16, 27, 17, 29, 18, 23, 30, 28, 20, 25, 26, 32, 33, 36, 37, 34, 42, 38, 39, 41, 40, 44, 45, 47, 43, 51, 55, 52], [49, 53, 57, 56, 59, 50, 48, 54, 58, 60]]
29: [[7, 35, 46, 2, 1], [3, 4, 13, 21, 6, 5, 8], [27, 11, 10, 14, 9, 15, 12], [17, 23, 18, 16, 19, 20, 30, 22, 25], [26, 24, 29, 31, 28, 40], [38, 33, 32, 36, 34, 37, 39, 42, 45], [41, 43, 47, 59, 50], [44, 54, 48], [49, 55, 53, 57, 56, 52, 51, 58, 60]]
30: [[7, 35, 46, 2, 1], [3, 4, 13, 21, 6, 5], [8, 24, 11, 15, 14, 10, 9, 12, 20, 16], [19, 17, 22, 18, 26, 27, 25, 29, 28, 23, 30, 31, 40, 34, 39, 37, 36, 33, 32, 42, 38, 44, 43, 41, 51, 45, 60, 48, 49, 50, 52, 53, 57, 47, 54, 55, 58, 59, 56]]
31: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6], [5, 8, 24, 27], [9, 14, 25], [18, 15, 12, 11, 10, 19, 16], [17, 20, 22, 23, 31, 30, 29, 26], [28, 40, 34], [32, 37, 36, 38, 41, 33, 39, 47, 42, 43, 44, 45], [52, 55, 51], [49, 48, 50, 57, 53, 58, 56, 54, 60, 59]]
