0: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 25, 20, 27, 21, 24, 28, 26]]
1: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 20, 21, 26, 24, 28, 27, 25]]
2: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [20, 24, 26, 14, 25, 21, 27, 29, 28]]
3: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 20, 24, 21, 25, 26, 27, 28]]
4: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 28, 20, 21, 25, 24, 26, 27]]
5: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 28, 20, 24, 21, 25, 26, 27, 29]]
6: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 28, 24, 20, 21, 26, 25, 27, 29]]
7: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [24, 25, 20, 26, 21, 27, 28, 29, 14]]
8: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 28, 20, 21, 25, 24, 26, 27]]
9: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 20, 26, 21, 27, 28, 25, 24]]
10: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [20, 24, 26, 14, 25, 21, 27, 29, 28]]
11: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 20, 24, 26, 21, 25, 27, 29, 28]]
12: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 24, 20, 21, 25, 27, 28, 26]]
13: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 28, 20, 21, 25, 24, 26, 27]]
14: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 24, 21, 25, 27, 26, 28, 20, 29]]
15: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [29, 14, 20, 25, 21, 24, 28, 27, 26]]
16: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 21, 24, 27, 20, 26, 25, 29, 28]]
17: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 28, 24, 21, 25, 26, 29, 27, 20]]
18: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 28, 20, 21, 26, 25, 24, 27, 29]]
19: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [20, 14, 24, 25, 21, 28, 26, 27, 29]]
20: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 20, 24, 25, 21, 28, 26, 27]]
21: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 28, 20, 21, 25, 24, 26, 27]]
22: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 24, 20, 21, 25, 26, 28, 27]]
23: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 24, 20, 21, 25, 27, 28, 26]]
24: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 21, 27, 20, 24, 26, 25, 28, 29]]
25: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 24, 20, 25, 29, 26, 21, 28, 27]]
26: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 21, 20, 26, 24, 25, 27, 28, 29]]
27: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 20, 24, 26, 27, 28, 21, 25]]
28: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 28, 20, 25, 24, 26, 21, 27]]
29: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 20, 28, 21, 25, 24, 27, 26]]
30: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 21, 24, 20, 26, 27, 25, 29, 28]]
31: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 20, 21, 29, 25, 28, 26, 27, 24]]
32: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [29, 24, 20, 25, 21, 26, 28, 27, 14]]
33: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 24, 20, 21, 25, 26, 28, 27]]
34: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 20, 28, 21, 24, 25, 26, 27]]
35: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 24, 21, 20, 27, 26, 28, 25, 29]]
36: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 28, 20, 21, 25, 27, 24, 26]]
