0: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4, 11, 24, 10], [9, 13, 17], [14, 22, 12, 23, 18], [25, 20], [21, 27, 26, 29]]
1: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4, 11, 24, 10], [9, 13, 17], [14, 22, 12, 23, 18], [25, 20], [21, 27, 26, 29]]
2: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4], [11, 24, 10], [9, 13, 14, 17, 22], [12, 23, 18], [25, 20], [21, 27, 26, 29]]
3: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4, 11, 24, 14], [9, 12, 17], [10, 23, 13, 22, 18], [26, 20, 21, 27, 25, 29]]
4: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4], [11, 25, 10, 9, 18, 23, 20, 12, 13, 22, 14, 17], [21, 24, 27, 26, 29]]
5: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4], [11, 17, 9], [10, 13, 23, 14, 22], [12, 20], [21, 24, 18], [26, 27, 25, 29]]
6: [[19, 16], [6, 28, 2, 5, 15, 7, 8, 1, 3, 4, 11, 24, 9, 10, 14, 13, 12, 18, 29, 21, 17, 23, 20, 25, 22], [26, 27]]
7: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4, 11], [24, 10], [9, 13, 25, 14], [20, 12, 17], [22, 18], [23, 21, 27, 26, 29]]
8: [[19, 16, 6, 28, 2, 5, 15], [7, 8, 1, 3, 4, 11, 9, 10, 13, 14, 22, 12, 18, 25, 20, 17], [23, 21, 26, 29, 24, 27]]
9: [[19, 16, 6, 28, 2, 5], [15, 7, 8, 1], [3, 4, 11], [29, 10, 9, 14], [13, 12, 22, 17], [18, 23], [21, 20], [26, 27], [24, 25]]
10: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4, 11, 12, 25], [24, 10, 9, 13, 14], [17, 22, 20], [21, 18, 23, 27, 26], [29]]
11: [[19, 16], [6, 28, 2, 5], [15, 7], [8, 1, 3, 4], [11, 24, 9, 10, 14, 12, 13, 18, 20, 22, 23, 21, 17, 29, 27, 26, 25]]
12: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4, 11, 10, 18], [25, 13, 9], [14, 12, 20, 17, 21], [23, 22], [27, 24, 26, 29]]
13: [[19, 16, 6], [28, 2], [5, 15, 7, 8], [1, 3, 4, 11, 24], [10, 9, 22], [23, 17], [13, 12, 18, 14], [25, 20, 21], [27, 26, 29]]
