0: [[3, 1, 5], [2, 9, 6, 10, 4], [13, 7, 11, 8, 12]]
1: [[3, 1, 5], [2, 9, 6, 10, 4], [13, 7, 11, 8, 12]]
2: [[3, 1, 5], [2, 9, 6, 10, 4], [13, 7, 11, 8, 12]]
3: [[3, 1, 5], [2, 9, 6, 10, 4], [13, 7, 11, 8, 12]]
4: [[3, 1, 5], [2, 9, 6, 10, 4], [13, 7, 11, 8, 12]]
5: [[3, 1, 5], [2, 9, 6, 10, 4], [13, 7, 11, 8, 12]]
6: [[3, 1, 5], [2, 9, 6, 10, 4], [13, 7, 11, 8, 12]]
7: [[3, 1, 5], [2, 9, 6, 10, 4], [13, 7, 11, 8, 12]]
8: [[3, 1, 5], [2, 9, 6, 10, 4], [13, 7, 11, 8, 12]]
9: [[3, 1, 5], [2, 9, 6, 10, 4], [13, 7, 11, 8, 12]]
10: [[3, 1, 5], [2, 9, 6, 10, 4], [13, 7, 11, 8, 12]]
11: [[3, 1, 5], [2, 9, 6], [10, 4], [13, 7, 11, 8, 12]]
12: [[3, 1, 5, 2], [9, 6, 10, 4], [13, 7, 11, 8, 12]]
13: [[3, 1, 5], [2, 9, 6], [10, 4], [13, 7, 11, 8, 12]]
14: [[3, 1, 5], [2, 9, 6], [10, 4], [13, 7, 11, 8, 12]]
15: [[3, 1, 5], [2, 9, 6], [10, 4], [13, 7, 11, 8, 12]]
16: [[3, 1, 5], [2, 9, 6], [10, 4], [13, 7, 11, 8, 12]]
17: [[3, 1, 5], [2, 9, 6], [10, 4], [13, 7, 11, 8, 12]]
18: [[3, 1, 5, 2], [9, 6, 10, 4], [13, 7], [11, 8, 12]]
19: [[3, 1, 5, 2], [9, 6, 10, 4, 13], [7, 11, 8, 12]]
20: [[3, 1, 5, 2], [9, 6, 10, 4, 13], [7, 11, 8, 12]]
21: [[3, 1, 5, 2], [9, 6, 10, 4, 13], [7, 11, 8, 12]]
22: [[3, 1, 5, 2, 9], [6, 10, 4, 13], [7, 11, 8, 12]]
23: [[3, 1, 5, 2, 9], [6, 10, 4, 13], [7, 11, 8, 12]]
24: [[3, 1, 5, 2, 9], [6, 10, 4, 13, 7], [11, 8, 12]]
25: [[3, 1, 5, 2, 9], [6, 10, 4, 13, 7], [11, 8, 12]]
