0: [[2, 5, 4], [8, 3, 1], [7, 10], [12, 13, 11, 9], [14, 16, 6, 15], [19, 17, 20, 18]]
1: [[2, 5, 4], [8, 3, 1], [7, 10], [12, 13, 11, 9], [14, 16, 6, 15], [19, 17, 20, 18]]
2: [[2, 5, 4], [8, 3, 1], [7, 10], [12, 13, 11, 9], [14, 16, 6, 15], [19, 17, 20, 18]]
3: [[2, 5, 4], [8, 3, 1], [7, 10], [12, 13, 11, 9], [14, 16, 6, 15], [19, 17, 20, 18]]
4: [[2, 5, 4], [8, 3, 1], [7, 10], [12, 13, 11, 9], [14, 16, 6, 15], [19, 17, 20, 18]]
5: [[2, 5, 4], [8, 3, 1], [7, 10], [12, 13], [11, 9], [14, 16, 6, 15], [19, 17, 20, 18]]
6: [[2, 5, 4], [8, 3, 1], [7, 10], [12, 13], [11, 9], [14, 16, 6, 15], [19, 17, 20, 18]]
7: [[2, 5, 4], [8, 3, 1], [7, 10], [12, 13, 11], [14, 16, 9, 6, 15], [19, 17, 20, 18]]
8: [[2, 5, 4], [8, 3, 1], [7, 10], [12, 13, 11], [14, 16, 9, 6, 15], [19, 17, 20, 18]]
9: [[2, 5, 4], [8, 3, 1], [7, 10], [12, 13, 11], [9, 14, 15], [6, 16], [18, 17, 20, 19]]
10: [[2, 5, 4], [8, 3, 1], [7, 10], [12, 13, 11], [14, 9, 6], [16, 15], [18, 17, 20, 19]]
11: [[2, 5, 4], [8, 3, 1], [7, 10], [12, 13, 11], [14, 9, 6], [16, 15], [19, 17, 20, 18]]
12: [[2, 5, 4], [8, 3, 1], [7, 10], [12, 13], [11, 9, 14], [6, 15, 16], [19, 17, 20, 18]]
13: [[2, 5, 4], [8, 3, 1], [7, 10], [12, 13, 11], [14, 9, 6, 15], [19, 16, 17, 20, 18]]
14: [[2, 5, 4], [8, 3, 1], [7, 10], [12, 13, 11], [14, 9, 6], [16, 15], [19, 17], [20, 18]]
15: [[2, 5, 4], [8, 3, 1], [7, 10, 12], [13, 11, 9], [14], [16, 6, 15], [19, 17, 20, 18]]
16: [[2, 5, 4], [8, 3, 1], [7, 10, 12], [13, 11, 9], [14, 6], [16, 19, 17, 20, 18, 15]]
17: [[2, 5, 4], [8, 3, 1], [7, 10], [12, 13], [11, 14, 9, 6], [17, 19], [16, 20, 18, 15]]
18: [[2, 5], [8, 3], [1, 7, 10], [12, 13, 11, 9], [14, 4], [16, 19, 6, 15], [17, 20, 18]]
19: [[2, 5, 4], [8, 3, 1], [7, 10], [12, 13, 11], [14, 9, 6], [16, 19, 15], [17, 20], [18]]
20: [[2, 5], [8, 3, 1], [7, 10, 12], [13, 11, 9], [14, 4], [16, 19, 6, 15], [17, 20, 18]]
21: [[2, 5], [8, 3, 1], [7, 10, 12], [13, 11, 9], [14, 4], [16, 19, 6, 15], [17, 20, 18]]
22: [[2, 5, 4], [8, 3, 1], [7, 10, 12, 13, 9], [11, 14, 6], [16, 19, 17, 15], [20, 18]]
23: [[2, 5, 4], [8, 3, 1], [7, 10, 12, 13, 9], [11, 14, 6], [16, 19, 17, 15], [20, 18]]
24: [[2, 5], [8, 3, 4], [1, 7, 10], [12, 13, 11], [14, 9, 6, 15], [16, 19, 17, 20, 18]]
25: [[2, 5, 4], [8, 3, 1], [7, 10, 12], [13, 11, 9], [14], [16, 6, 15], [19, 17], [20, 18]]
26: [[2, 5, 4], [8, 3], [1, 7, 10], [12, 13, 11], [14, 16, 19, 17, 9, 6, 15], [20, 18]]
27: [[2, 5, 4], [8, 3, 1], [7, 10, 12], [13, 11, 9], [14], [16, 6, 15], [19, 17], [20, 18]]
28: [[2, 5, 4], [8, 3], [1, 7, 10], [12, 13, 11, 14, 9], [15, 16, 19, 17, 20, 18, 6]]
29: [[2, 5, 4], [8, 3, 1], [7, 10, 12, 6], [13, 11, 9], [14], [16, 19, 17, 15], [20, 18]]
30: [[2, 5, 4], [8, 3, 1], [7, 10, 12, 6], [13, 11, 9], [14], [16, 19, 17, 15], [20, 18]]
31: [[2, 5], [8, 3, 4], [1, 7, 10], [12, 13, 11], [14, 9, 6], [16, 19, 15], [17, 20, 18]]
32: [[2, 5, 4], [8, 3, 1, 7], [10, 12, 13, 11, 9], [14, 15, 16, 19, 17, 20, 18, 6]]
33: [[2, 5], [8], [3, 1], [7, 10, 12], [13, 11, 9], [14, 4], [16, 19, 6, 15], [17, 20, 18]]
34: [[2, 5, 4], [8, 3, 1], [7, 10, 12, 9], [13, 11], [14, 16, 19, 17, 20, 18, 15, 6]]
35: [[2, 5], [4, 8, 3], [1, 7, 10], [12, 13], [11, 9, 14], [6, 15, 16], [18], [17, 20, 19]]
36: [[2, 5, 4], [8, 3], [1, 7, 10, 12, 6], [13, 11, 14, 9], [16, 18, 15], [17, 20, 19]]
37: [[2, 5], [8, 3], [1, 7, 10, 12, 9], [13, 11, 14, 4], [6, 16, 18, 17, 20, 19, 15]]
38: [[2, 5, 4], [8, 3, 1], [7, 10, 12, 13], [11, 14, 15, 16, 19, 17, 20, 18, 9, 6]]
39: [[2, 5, 4], [8, 3, 1, 7], [10, 12, 13, 9], [11, 14], [16, 6, 15], [19], [17, 20, 18]]
40: [[2, 5, 4], [8, 3, 1, 7, 10], [12, 13, 11, 9, 14, 6, 15, 16, 19, 17, 20, 18]]
41: [[2, 5], [8, 4], [3, 1], [7, 10, 12, 13], [11, 14, 9, 6], [17, 16, 19, 18, 20], [15]]
