0: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
1: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
2: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
3: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
4: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
5: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
6: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
7: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
8: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
9: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
10: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
11: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
12: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
13: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
14: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
15: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
16: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
17: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
18: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
19: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
20: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
21: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
22: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
23: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
24: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
25: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
26: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
27: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
28: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
29: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
30: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
31: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
32: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
33: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
34: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
35: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
36: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
37: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
38: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
39: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
40: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
41: [[3, 14, 4, 6], [1, 2], [5], [8, 7, 10], [13, 11, 9, 12], [15, 19, 16, 18, 17, 20]]
