0: [[3, 14, 1, 4, 6], [2, 10, 5, 7], [11, 12, 8, 13, 9], [15, 17, 16, 18, 20, 19]]
1: [[3, 14, 1, 4, 6], [2, 10, 5, 7], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
2: [[3, 14, 1, 4, 6], [2, 10, 5, 7], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
3: [[3, 14, 1, 4, 6], [2, 10, 5, 7], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
4: [[3, 14, 1, 4, 6], [2, 10, 5, 7], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
5: [[3, 14, 1, 4, 6], [2, 10, 5, 7], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
6: [[3, 14, 1, 4, 6], [2, 10, 5, 7], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
7: [[3, 14, 1, 4, 6], [2, 10, 5, 7], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
8: [[3, 14, 1, 4, 6], [2, 10, 5, 7], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
9: [[3, 14, 1, 4, 6], [2, 10, 5, 7], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
10: [[3, 14, 1, 4, 6], [2, 10, 5, 7], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
11: [[3, 14, 1, 4, 6], [2, 10, 5, 7], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
12: [[3, 14, 1, 4, 6], [2, 10, 5, 7], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
13: [[3, 14, 1, 4], [2, 10, 5, 7, 6], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
14: [[3, 14, 1, 4], [2, 10, 5, 7, 6], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
15: [[3, 14, 1, 4], [2, 10, 5, 7, 6], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
16: [[3, 14, 1, 4], [2, 10, 5, 7, 6], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
17: [[3, 14, 1, 4], [2, 10, 5, 7, 6], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
18: [[3, 14, 1, 4], [2, 10, 5, 7, 6], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
19: [[3, 14, 1, 4], [2, 10, 5, 7, 6], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
20: [[3, 14, 1, 4], [2, 10, 5, 7, 6], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
21: [[3, 14, 1, 4], [2, 10, 5, 7, 6], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
22: [[3, 14, 1, 4], [2, 10, 5, 7, 6], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
23: [[3, 14, 1, 4], [2, 10, 5, 7, 6], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
24: [[3, 14, 1, 4], [2, 10, 5, 7, 6], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
25: [[3, 14, 1], [2, 10, 5, 7, 4, 6], [11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
26: [[3, 14, 1, 4, 6], [2, 10, 5, 7], [11, 12, 8, 9], [13, 15, 17, 16, 18, 20, 19]]
27: [[3, 14, 1, 4, 6], [2, 10, 5, 7], [11, 12, 8, 9], [13, 15, 17, 16, 18, 20, 19]]
28: [[3, 14, 1, 4, 6], [2, 10, 5, 7, 11], [9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
29: [[3, 14, 1, 4, 6], [2, 10, 5, 7, 11], [9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
30: [[3, 14, 1, 4, 6], [2, 10, 5, 7, 11], [9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
31: [[3, 14, 1, 4, 6], [2, 10, 5, 7, 11], [9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
32: [[3, 14, 1, 4, 6], [2, 10, 5], [7, 11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
33: [[3, 14, 1, 2, 4, 6], [10, 5, 7, 11], [9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
34: [[3, 14, 1, 2, 4, 6], [10, 5, 7, 11], [9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
35: [[3, 14, 1, 4], [2, 10, 5, 7, 6], [11, 12, 8, 9], [13, 15, 17, 16, 18, 20, 19]]
36: [[3, 14, 1, 4], [2, 10, 5, 6], [7, 11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
37: [[3, 14, 1, 4], [2, 10, 5, 6], [7, 11, 9, 12, 8, 13], [15, 17, 16, 18, 20, 19]]
38: [[3, 14, 1, 4, 6], [2, 10, 5, 7, 11], [9, 12, 8, 13, 15], [17, 16, 18, 20, 19]]
39: [[3, 14, 1, 4, 6], [2, 10, 5, 7, 11], [9, 12, 8, 13, 15], [17, 16, 18, 20, 19]]
40: [[3, 14, 1, 4, 6], [2, 10, 5, 7, 11], [9, 12, 8, 13, 15, 17], [16, 18, 20, 19]]
41: [[3, 14, 1, 2, 4, 6], [10, 5, 7, 11], [9, 12, 8, 13, 15], [17, 16, 18, 20, 19]]
