0: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
1: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
2: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
3: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
4: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
5: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
6: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
7: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
8: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
9: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
10: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
11: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
12: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
13: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
14: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
15: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
16: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
17: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
18: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
19: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
20: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
21: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
22: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
23: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
24: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
25: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16, 17], [18, 20, 19]]
26: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15, 16, 17], [18, 20, 19]]
27: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9], [13, 4, 14, 15, 16], [17, 18, 20, 19]]
28: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9], [13, 4, 14, 15, 16], [17, 18, 20, 19]]
29: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9], [13, 4, 14, 15, 16], [17, 18, 20, 19]]
30: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13], [4, 14, 15], [16, 17, 18, 20, 19]]
31: [[1, 7, 5, 10, 2, 8, 3], [6, 12, 11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
32: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13, 4], [14, 15, 16], [17, 18, 20, 19]]
33: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9, 13, 4], [14, 15, 16], [17, 18, 20, 19]]
34: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9], [13, 4, 14, 15], [16, 17, 18, 20, 19]]
35: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9], [13, 4, 14, 15], [16, 17, 18, 20, 19]]
36: [[1, 7, 5, 10, 2, 8, 3, 6], [12, 11, 9], [13, 4, 14, 15], [16, 17, 18, 20, 19]]
37: [[1, 7, 5, 10, 2, 8, 3], [6, 12, 11, 9, 13], [4, 14, 15, 16, 17], [18, 20, 19]]
38: [[1, 7, 5, 10, 2, 8, 3], [6, 12, 11, 9], [13, 4, 14, 15], [16, 17, 18, 20, 19]]
39: [[1, 7, 5, 10, 2, 8, 3, 6, 12], [11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
40: [[1, 7, 5, 10, 2, 8, 3, 6, 12], [11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
41: [[1, 7, 5, 10, 2, 8, 3, 6, 12], [11, 9, 13], [4, 14, 15, 16], [17, 18, 20, 19]]
