0: [[3, 1], [6, 8, 4, 5, 10, 2], [7, 11, 9, 12, 13]]
1: [[3, 1], [6, 8, 2, 4, 5, 10], [7, 11, 9, 12, 13]]
2: [[3, 1], [6, 8, 2, 4, 5, 10], [7, 11, 9, 12, 13]]
3: [[3, 1], [6, 8, 2, 4, 5, 10], [7, 11, 9, 12, 13]]
4: [[3, 1], [6, 8, 2, 4, 5, 10], [7, 11, 9, 12, 13]]
5: [[3, 1], [6, 8, 2, 4, 5, 10], [7, 11, 9, 12, 13]]
6: [[3, 1], [6, 8, 2, 4, 5, 10], [7, 11, 9, 12, 13]]
7: [[3, 1], [6, 8, 2, 4, 5, 10], [7, 11, 9, 12, 13]]
8: [[3, 1], [6, 8, 2, 4, 5, 10], [7, 11, 9, 12, 13]]
9: [[3, 1], [6, 8, 2, 4, 5, 10], [7, 11, 9, 12, 13]]
10: [[3, 1], [6, 8, 2, 4, 5, 10], [7, 11, 9, 12, 13]]
11: [[3, 1], [6, 8, 2, 4, 5], [10, 7, 11, 9, 12, 13]]
12: [[3, 1], [6, 8, 2, 4, 5], [10, 7, 11, 9, 12, 13]]
13: [[3, 1], [6, 8, 2, 4, 5], [10, 7, 11, 9, 12, 13]]
14: [[3, 1], [6, 8, 2, 4, 5], [10, 7, 11, 9, 12, 13]]
15: [[3, 1], [6, 8, 2, 4, 5], [10, 7, 11, 9, 12, 13]]
16: [[3, 1], [6, 8, 2, 4, 5], [10, 7, 11, 9, 12, 13]]
17: [[3, 1], [6, 8, 2, 4, 5], [10, 7, 11, 9, 12, 13]]
18: [[3, 1], [6, 8, 2, 4, 5], [10, 7, 11, 9, 12, 13]]
19: [[3, 1], [6, 8, 2, 4, 5], [10, 7, 11, 9, 12, 13]]
20: [[3, 1], [6, 8, 2, 4], [5, 10, 7, 11, 9, 12, 13]]
21: [[3, 1], [6, 8, 2, 4, 5, 10, 7], [11, 9, 12, 13]]
22: [[3, 1], [6, 8, 2, 4, 5, 10, 7], [11, 9, 12, 13]]
23: [[3, 1], [6, 8, 2, 4, 5, 10, 7], [11, 9, 12, 13]]
24: [[3, 1], [6, 8, 2, 4, 5, 10, 7], [11, 9, 12, 13]]
25: [[3, 1], [6, 8, 2, 4, 5, 10, 7], [11, 9, 12, 13]]
26: [[3, 1], [6, 8, 2, 4, 5, 10, 7], [11, 9, 12, 13]]
27: [[3, 1], [6, 8, 2, 4, 5, 10, 7], [11, 9, 12, 13]]
