0: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
1: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 16, 20], [28, 23, 24, 22], [21, 26, 27, 29]]
2: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 16, 20], [28, 23, 24, 22], [21, 26, 27, 29]]
3: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 16, 20], [28, 23, 24, 22], [21, 26, 27, 29]]
4: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 16, 20], [28, 23, 24, 22], [21, 26, 27, 29]]
5: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 16, 20], [28, 23, 24, 22], [21, 26, 27, 29]]
6: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 16, 20, 17], [28, 23, 24, 22], [21, 26, 27, 29]]
7: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 16, 20], [28, 23, 24, 22], [21, 26, 27, 29]]
8: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 16, 20], [28, 23, 24, 22], [21, 26, 27, 29]]
9: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 16, 20], [28, 23, 24, 22], [21, 26, 27, 29]]
10: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 16, 20], [28, 23, 24, 22], [21, 26, 27, 29]]
11: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 17, 20, 16, 14], [28, 23, 24, 22], [21, 26, 27, 29]]
12: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 16, 20], [28, 23, 24, 22], [21, 26, 27, 29]]
13: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 16, 20], [28, 23, 24, 22], [21, 26, 27, 29]]
14: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 17, 20, 14, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
15: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
16: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
17: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
18: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
19: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
20: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
21: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
22: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
23: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
24: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
25: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
26: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
27: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
28: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
29: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
30: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
31: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
32: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
33: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
34: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
35: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
36: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
37: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
38: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
39: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
40: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
41: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
42: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
43: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
44: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
45: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
46: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
47: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
48: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
49: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
50: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
51: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
52: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
53: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 20, 16], [28, 23, 24, 22], [21, 26, 27, 29]]
54: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 17, 16, 20], [28, 23, 24, 22], [21, 26, 27, 29]]
55: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 22, 16, 20, 14], [28, 23, 24, 17], [21, 26, 27, 29]]
56: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 16, 17, 28], [20, 23, 24, 22], [21, 26, 27, 29]]
57: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 22, 16, 14, 28], [17, 23, 24, 20], [21, 26, 27, 29]]
58: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 21, 20, 16], [28, 23, 24, 22], [17, 26, 27, 29]]
59: [[18, 19, 1], [7, 11, 4, 3, 12], [6, 5, 10], [8, 2, 9, 13, 15], [25, 14, 21, 16, 20], [28, 23, 24, 22], [17, 26, 27, 29]]
