0: [[1, 3], [5, 6, 2, 4], [8, 10], [13, 7, 12, 11, 9], [14, 15, 16], [19, 20, 18, 17]]
1: [[1, 3], [5, 6, 2, 4], [8, 10], [13, 7, 12, 11, 9], [14, 15, 16], [19], [20, 18, 17]]
2: [[1, 3], [5, 6, 2, 4], [8, 10], [13, 7, 12, 11], [9, 14, 15, 16], [19, 20, 18, 17]]
3: [[1, 3], [5, 6, 2, 4], [8, 10], [13, 7, 12, 11], [9, 14, 15, 16], [19, 20, 18, 17]]
4: [[1, 3], [5, 6, 2, 4], [8, 10, 13, 7], [12, 11, 9, 14], [15, 16], [19, 20, 18, 17]]
5: [[1, 3], [5, 6, 2, 4], [8, 10, 13, 7], [12, 11, 9, 14], [15, 16], [19, 20, 18, 17]]
6: [[1, 3], [5, 6, 2, 4], [8, 10], [13, 7, 12], [11, 9, 14], [15, 16], [19, 20, 18, 17]]
7: [[1, 3], [5, 6, 2, 4, 8], [10, 13, 7], [12, 11], [9, 14, 15, 16], [19, 20, 18, 17]]
8: [[1, 3], [5, 6], [2, 4, 8, 10, 13], [7, 12, 11, 9], [14, 15, 16], [19, 20, 18, 17]]
9: [[1, 3, 5], [6, 2, 4], [8, 10], [13, 7], [12, 11, 9], [14, 15, 16], [19, 20, 18, 17]]
10: [[1, 3], [5, 6, 2, 4], [8, 10, 13, 7], [12, 11, 9, 14], [15, 16, 19, 20, 18, 17]]
11: [[1, 3, 5], [6, 2, 4], [8, 10, 13], [7, 12, 11, 9], [14, 15, 16], [19, 20, 18, 17]]
12: [[1, 3], [5, 6, 2, 4], [8, 10], [13, 7, 12, 11], [9, 14, 15, 16], [19, 20, 18], [17]]
13: [[1, 3], [5, 6, 2, 4], [8, 10], [13, 7], [12, 11, 9, 14], [15, 16], [19, 20, 18], [17]]
14: [[1, 3], [5, 6], [2, 4, 8], [10, 13, 7, 12], [11, 9], [14, 15, 16], [19, 20, 18, 17]]
15: [[1, 3], [5, 6, 2, 4], [8, 10, 13, 7], [12, 11, 9, 14], [15, 16, 19, 20], [18, 17]]
16: [[1, 3], [5, 6, 2], [4, 8, 10, 13], [7, 12, 11, 9], [14, 15, 16, 19, 20, 18, 17]]
17: [[1, 3], [5, 6], [2, 4, 8], [10, 13, 7], [12, 11], [9, 14, 15, 16], [19, 20, 18, 17]]
18: [[1, 3], [5, 6], [2, 4, 8, 10], [13, 7, 12, 11, 9, 14], [15, 16, 19, 20, 18, 17]]
19: [[1, 3], [5, 6], [2, 4], [8, 10], [13, 7, 12], [11, 9, 14], [15, 16], [19, 20, 18, 17]]
20: [[1, 3], [5, 6, 2, 4], [8, 10, 13, 7], [12, 11], [9, 14], [15, 16, 19, 20, 18], [17]]
21: [[1, 3], [5, 6], [2, 4], [8, 10], [13, 7], [12, 11, 9], [14, 15, 16, 19], [20, 18, 17]]
22: [[1, 3, 5, 6], [2, 4, 8, 10], [13, 7, 12, 11], [9, 14, 15, 16], [19, 20, 18, 17]]
23: [[1, 3], [5, 6], [2, 4, 8], [10, 13, 7], [12, 11], [9, 14], [15, 16, 19], [20, 18, 17]]
24: [[1, 3], [5, 6, 2, 4], [8, 10, 13, 7, 12, 11], [9, 14, 15, 16, 19, 20, 18, 17]]
25: [[1, 3], [5, 6], [2, 4], [8, 10, 13, 7, 12, 11, 9, 14, 15, 16], [19, 20, 18, 17]]
26: [[1, 3, 5, 6], [2, 4], [8, 10], [13, 7, 12], [11, 9, 14], [15, 16, 19], [20, 18, 17]]
27: [[1, 3], [5, 6, 2, 4], [8, 10, 13], [7, 12, 11, 9, 14, 15, 16, 19, 20, 18, 17]]
28: [[1, 3], [5, 6], [2, 4, 8, 10, 13, 7], [12, 11, 9, 14, 15, 16, 19, 20, 18, 17]]
29: [[1, 3], [5, 6], [2, 4, 8, 10], [13, 7, 12], [11, 9, 14], [15, 16, 19, 20], [18, 17]]
30: [[1, 3], [5, 6, 2], [4, 8], [10, 13, 7, 12], [11, 9, 14, 15, 16], [19, 20, 18], [17]]
31: [[1, 3], [5, 6], [2, 4, 8], [10, 13, 7], [12, 11, 9, 14, 15, 16, 19, 20, 18, 17]]
32: [[1, 3, 5, 6], [2, 4, 8, 10], [13, 7], [12, 11, 9, 14], [15, 16, 19, 20], [18, 17]]
33: [[1, 3, 5, 6], [2, 4, 8, 10], [13, 7], [12, 11, 9, 14], [15, 16, 19, 20], [18, 17]]
34: [[1, 3, 5, 6], [2, 4, 8, 10], [13, 7, 12, 11], [9, 14], [15, 16, 19, 20], [18, 17]]
35: [[1, 3], [5, 6, 2, 4], [8, 10, 13, 7, 12, 11, 9, 14, 15, 16, 19, 20, 18, 17]]
36: [[1, 3, 5], [6, 2, 4], [8, 10, 13], [7, 12, 11], [9, 14, 15], [16, 19], [20, 18, 17]]
37: [[1], [3, 5, 6, 2, 4, 8, 10, 13, 7, 12], [11, 9, 14, 15, 16, 19, 20, 18, 17]]
38: [[1, 3], [5, 6], [2, 4, 8], [10, 13], [7, 12, 11], [9, 14], [15, 16, 19], [20, 18, 17]]
39: [[1, 3], [5, 6, 2], [4, 8, 10, 13], [7, 12, 11], [9, 14], [15, 16, 19, 20], [18], [17]]
