0: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
1: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
2: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
3: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
4: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
5: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
6: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
7: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
8: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
9: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
10: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
11: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
12: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
13: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
14: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
15: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
16: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
17: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
18: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
19: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
20: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
21: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
22: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
23: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
24: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
25: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
26: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
27: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
28: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
29: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
30: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
31: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
32: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
33: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
34: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
35: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
36: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
37: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
38: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
39: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
40: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
41: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
42: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
43: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
44: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
