0: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
1: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
2: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
3: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
4: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
5: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
6: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
7: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
8: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
9: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
10: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
11: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
12: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
13: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
14: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
15: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
16: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
17: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
18: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
19: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
20: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
21: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
22: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
23: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
24: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
25: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
26: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
27: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
28: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
29: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
30: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
31: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
32: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
33: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
34: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
35: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
36: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
37: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
38: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
39: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
40: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
41: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
42: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
43: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
44: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
45: [[5, 6, 29, 20, 25, 14], [8, 1, 2, 11, 3, 13], [19, 22, 16, 4, 10, 12], [7, 17, 18, 9, 15, 24], [23, 21, 27, 26, 28]]
