0: [[2, 1, 5, 13, 3], [10, 20, 14, 11, 7], [9, 6, 18, 8, 15], [12, 17, 4, 16, 19], [21, 23, 22, 24]]
1: [[2, 1, 5, 13, 3], [10, 20, 14, 11, 7], [9, 6, 18, 8, 15], [12, 17, 4, 16, 19], [21, 23, 22, 24]]
2: [[2, 1, 5, 13, 3], [10, 20, 14, 11, 7], [9, 6, 18, 8, 15], [12, 17, 4, 16, 19], [21, 23, 22, 24]]
3: [[2, 1, 5, 13, 3], [10, 20, 14, 11, 7], [9, 6, 18, 8, 15], [12, 17, 4, 16, 19], [21, 23, 22, 24]]
4: [[2, 1, 5, 13, 3], [10, 20, 14, 11, 7], [9, 6, 18, 8, 15], [12, 17, 4, 16, 19], [21, 23, 22, 24]]
5: [[2, 1, 5, 13, 3], [10, 20, 14, 11, 7], [9, 6, 18, 8, 15], [12, 17, 4, 16, 19], [21, 23, 22, 24]]
6: [[2, 1, 5, 13, 3], [10, 20, 14, 11, 7], [9, 6, 18, 8, 15], [12, 17, 4, 16, 19], [21, 23, 22, 24]]
7: [[2, 1, 5, 13, 3], [10, 20, 14, 11, 7], [9, 6, 18, 8, 15], [12, 17, 4, 16, 19], [21, 23, 22, 24]]
8: [[2, 1, 5, 13, 3], [10, 20, 14, 11, 7], [9, 6, 18, 8, 15], [12, 17, 4, 16, 19], [21, 23, 22, 24]]
9: [[2, 1, 5, 13, 3], [10, 20, 14, 11, 7], [9, 6, 18, 8, 15], [12, 17, 4, 16, 19], [21, 23, 22, 24]]
10: [[2, 1, 5, 13, 3], [10, 20, 14, 11, 7], [9, 6, 18, 8, 15], [12, 17, 4, 16, 19], [21, 23, 22, 24]]
11: [[2, 1, 5, 13, 3], [10, 20, 14, 11, 7], [9, 6, 18, 8, 15], [12, 17, 4, 16, 19], [21, 23, 22, 24]]
12: [[2, 1, 5, 13, 3], [10, 20, 14, 11, 7], [9, 6, 18, 8, 15], [12, 17, 4, 16, 19], [21, 23, 22, 24]]
