0: [[7, 9, 11, 12, 13, 2], [3, 5, 1], [6, 4, 10, 8]]
1: [[7, 9, 11, 12, 2, 13], [1, 3, 5], [6, 4, 10, 8]]
2: [[7, 9, 11, 12, 2, 13], [1, 3, 5], [6, 4, 10, 8]]
3: [[7, 9, 11, 12, 2, 13], [1, 3, 5], [6, 4, 10, 8]]
4: [[7, 9, 11, 12, 2, 13], [1, 3, 5], [6, 4, 10, 8]]
5: [[7, 9, 11, 12, 2, 13], [1, 3, 5], [6, 4, 10, 8]]
6: [[7, 9, 11, 12], [2, 13, 1, 3, 5], [6, 4, 10, 8]]
7: [[7, 9, 11, 12], [2, 13, 1, 3, 5], [6, 4, 10, 8]]
8: [[7, 9, 11, 12], [2, 13, 1, 3, 5], [6, 4, 10, 8]]
9: [[7, 9, 11, 12], [2, 13, 1, 3, 5], [6, 4, 10, 8]]
10: [[7, 9, 11, 12], [2, 13, 1, 3, 5], [6, 4, 10, 8]]
11: [[7, 9, 11, 12], [2, 13, 1, 3, 5], [6, 4, 10, 8]]
12: [[7, 9, 11, 12], [2, 13, 1, 3, 5], [6, 4, 10, 8]]
13: [[7, 9, 11], [12, 2, 13, 1, 3, 5], [6, 4, 10, 8]]
14: [[7, 9, 11], [12, 2, 13, 1, 3, 5], [6, 4, 10, 8]]
15: [[7, 9, 11], [12, 2, 13, 1, 3, 5], [6, 4, 10, 8]]
16: [[7, 9, 11], [12, 2, 13, 1, 3, 5], [6, 4, 10, 8]]
17: [[7, 9, 11, 12, 2, 13, 1], [3, 5], [6, 4, 10, 8]]
18: [[7, 9, 11, 12, 2], [13, 1, 3, 5], [6, 4, 10, 8]]
19: [[7, 9, 11, 12, 2], [13, 1, 3, 5], [6, 4, 10, 8]]
20: [[7, 9, 11, 12, 2], [13, 1, 3, 5], [6, 4, 10, 8]]
21: [[7, 9, 11, 12, 2, 13], [1, 3], [5, 6, 4, 10, 8]]
22: [[7, 9, 11, 12, 2, 13, 1], [3, 5, 6], [4, 10, 8]]
23: [[7, 9, 11, 12, 2, 13, 1], [3, 5, 6], [4, 10, 8]]
24: [[7, 9, 11, 12, 2, 13, 1], [3, 5, 6], [4, 10, 8]]
25: [[7, 9, 11, 12], [2, 13, 1, 3], [5, 6, 4, 10, 8]]
26: [[7, 9, 11, 12, 2], [13, 1, 3, 5, 6], [4, 10, 8]]
27: [[7, 9, 11], [12, 2, 13, 1, 3], [5, 6, 4, 10, 8]]
