0: [[4, 10], [8, 2, 13, 6], [1, 3, 5], [11, 7, 9, 12]]
1: [[4, 10], [8, 2, 13, 6], [1, 3, 5], [11, 7, 9, 12]]
2: [[4, 10], [8, 2, 13, 6], [1, 3, 5], [11, 7, 9, 12]]
3: [[4, 10], [8, 2, 13, 6], [1, 3, 5], [11, 7, 9, 12]]
4: [[4, 10], [8, 2, 13, 6], [1, 3, 5], [11, 7, 9, 12]]
5: [[4, 10], [8, 2, 13, 6], [1, 3, 5], [11, 7, 9, 12]]
6: [[4, 10], [8, 2, 13, 6], [1, 3, 5], [11, 7, 9, 12]]
7: [[4, 10], [8, 2, 13, 6], [1, 3, 5], [11, 7, 9, 12]]
8: [[4, 10, 8], [2, 13, 6], [1, 3, 5], [11, 7, 9, 12]]
9: [[4, 10, 8], [2, 13, 6], [1, 3, 5], [11, 7, 9, 12]]
10: [[4, 10, 8], [2, 13, 6], [1, 3, 5], [11, 7, 9, 12]]
11: [[4, 10], [8, 2, 13], [6, 1, 3, 5], [11, 7, 9, 12]]
12: [[4, 10], [8, 2, 13], [6, 1, 3, 5], [11, 7, 9, 12]]
13: [[4, 10], [8, 2, 13], [6, 1, 3, 5], [11, 7, 9, 12]]
14: [[4, 10], [8, 2, 13], [6, 1, 3, 5], [11, 7, 9, 12]]
15: [[4, 10], [8, 2, 13], [6, 1, 3, 5], [11, 7, 9, 12]]
16: [[4, 10], [8, 2], [13, 6], [1, 3, 5], [11, 7, 9, 12]]
17: [[4, 10, 8, 2], [13, 6, 1, 3, 5], [11, 7, 9, 12]]
18: [[4, 10, 8], [2, 13], [6, 1, 3], [5, 11, 7, 9, 12]]
19: [[4, 10, 8], [2, 13, 6], [1, 3, 5, 11], [7, 9, 12]]
20: [[4, 10, 8], [2, 13, 6], [1, 3, 5, 11], [7, 9, 12]]
21: [[4, 10, 8], [2, 13, 6], [1, 3, 5, 11], [7, 9, 12]]
22: [[4, 10, 8], [2, 13, 6], [1, 3, 5, 11], [7, 9, 12]]
23: [[4, 10, 8], [2, 13, 6, 1], [3, 5, 11, 7, 9, 12]]
24: [[4, 10, 8], [2, 13, 6, 1], [3, 5, 11, 7, 9, 12]]
25: [[4, 10, 8], [2, 13, 6, 1], [3, 5, 11, 7], [9, 12]]
