0: [[21, 24, 23], [8, 7, 12, 13, 6, 14], [15, 18], [20, 4, 3, 22, 5, 10], [17, 11, 16], [1, 2, 19, 9]]
1: [[21, 24, 23], [9, 14, 7, 13, 6, 8, 12], [15, 18], [20, 4, 3, 22, 10], [17, 11, 16, 5], [2, 19, 1]]
2: [[21, 24, 23], [9, 14, 7, 13, 6, 8, 12], [15, 18], [20, 4, 3, 22, 5, 10], [17, 11, 16], [1, 2, 19]]
3: [[21, 24, 23], [8, 7, 12, 13], [15, 18, 20], [4, 3, 22, 5, 6], [10, 17, 11, 14], [16, 1, 2, 19, 9]]
4: [[21, 24, 23], [8, 7, 12, 6, 14], [13, 15, 18], [20, 4, 3, 22, 5, 10], [17, 11, 16], [1, 2, 19, 9]]
5: [[21, 24, 23], [9, 6, 14, 7, 13, 8, 12], [15, 18], [20, 4, 3, 22, 5, 10, 17, 11, 16, 1, 2], [19]]
6: [[21, 24, 23], [9, 7], [12, 13, 15, 18, 20, 8], [4, 3, 22], [5, 10, 17, 11, 6, 14], [16, 1, 2, 19]]
7: [[21, 24, 23], [9, 7], [12, 13, 15, 18, 20, 8], [4, 3, 22], [5, 10, 17, 11, 6, 14], [16, 1, 2, 19]]
8: [[21, 24, 23], [9, 6, 14, 8, 7, 12, 13, 15, 18, 20, 4, 3, 22, 5, 10, 17, 11, 16], [1, 2, 19]]
9: [[21, 24, 23], [9, 6, 14, 8, 7], [13, 15, 18, 20, 4, 3, 22, 5, 10, 11, 16, 12, 17], [1, 2, 19]]
10: [[21, 24, 23], [9, 7], [12, 13, 15, 18, 20, 8], [4, 3, 22, 6], [5, 10, 17, 14], [11, 16, 1], [2, 19]]
11: [[21, 24, 23], [14, 8], [7, 12, 13, 15, 18, 20, 4, 3, 22, 5, 10, 17, 11, 16, 6], [1, 2, 19, 9]]
12: [[21, 24, 23], [9, 6, 14], [8, 7, 13, 15, 12], [18, 20, 4, 3, 22, 5, 10, 11, 16, 1, 2, 19, 17]]
13: [[21, 24, 23], [9, 6, 14, 8, 7], [13, 15, 18, 20, 4, 3, 22, 5, 10, 12, 17], [11, 16, 1, 2, 19]]
14: [[21, 24, 23], [8, 7, 12], [13, 15, 18], [20, 4, 3, 22, 6], [5, 10, 14], [17, 11, 16], [1, 2, 19, 9]]
15: [[21, 24, 23], [14, 8], [7, 12, 13], [15, 18, 20, 4, 3, 22, 5, 10, 17, 11, 16, 6], [1, 2, 19, 9]]
16: [[21, 24, 23], [9, 6, 14, 8], [7, 13, 15, 18, 20, 12], [4, 3, 22, 5, 10, 11, 16, 1, 2, 19, 17]]
17: [[21, 24, 23], [8, 7, 12, 13, 15, 18], [20, 4, 14], [3, 22, 5, 10, 17, 11, 6], [16, 1, 2, 19, 9]]
18: [[21, 24, 23], [8, 7, 12], [13, 15, 18, 20], [4, 3, 22, 5, 6], [10, 17, 11, 14], [16, 1, 2, 19, 9]]
19: [[21, 24, 23], [9, 6, 14, 8, 7], [13, 12], [15, 18, 20, 4, 3, 22, 5, 10, 11, 16, 1, 2, 19, 17]]
20: [[21, 24, 23], [9, 6, 14], [8, 7, 12, 13, 15, 18, 20, 4, 3, 22, 5, 10, 17, 11, 16, 1, 2, 19]]
21: [[21, 24, 23], [9, 6, 14], [8, 7, 13, 15, 18, 20, 4, 12], [3, 22, 5, 10, 11, 16, 1, 2, 19, 17]]
22: [[21, 24, 23], [9, 6, 14], [8, 7, 13, 15, 18, 20, 4, 12], [3, 22, 5, 10, 11, 16, 1, 2, 19, 17]]
23: [[21, 24, 23], [9, 6, 14], [8, 7, 12, 13, 15, 18, 20, 4, 3, 22, 5, 10, 17, 11, 16, 1, 2, 19]]
24: [[21, 24, 23], [8, 7, 9], [12, 13, 15, 18], [20, 4, 14], [3, 22, 5, 10, 17, 11, 6], [16, 1, 2, 19]]
25: [[21, 24, 23], [14, 7, 12, 13, 15, 6, 8], [18, 20, 4, 3, 22, 5], [10, 17, 11], [16, 1, 2, 9], [19]]
26: [[21, 24, 23], [9, 6, 14, 7, 13, 8, 12], [15, 18, 20], [4, 3, 22, 5, 10, 17, 11, 16, 1], [2, 19]]
27: [[21, 24, 23], [9, 6, 14, 8], [7, 13, 12], [15, 18, 20, 4, 3, 22, 5, 10, 11, 16, 1, 2, 19, 17]]
28: [[21, 24, 23], [8, 7, 9], [12, 13, 15], [18, 20], [4, 3, 6], [22, 5, 10, 14], [17, 11, 16], [1, 2, 19]]
29: [[21, 24, 23], [14, 7, 12, 13, 8], [15, 18], [20, 4], [3, 22, 5, 10, 17, 6], [11, 16, 1, 9], [2, 19]]
30: [[21, 24, 23], [9, 6, 14], [8, 7, 12, 13], [15], [18, 20, 4, 3, 22, 5, 10, 17, 11, 16, 1, 2, 19]]
31: [[21, 24, 23], [9, 6, 14, 8], [7, 13, 15, 18, 20, 4, 12], [3, 22, 5, 10, 11, 16, 1, 2, 19, 17]]
32: [[21, 24, 23], [9, 6, 14], [8, 7, 12, 13], [15, 18, 20, 4, 3, 22, 5, 10, 17, 11], [16, 1, 2, 19]]
33: [[21, 24, 23], [14, 7, 12, 13, 15, 6, 8], [18, 20], [4, 3, 22, 5, 10, 17], [11, 16, 1, 9], [2, 19]]
34: [[21, 24, 23], [9, 6, 14, 8, 7, 12], [13, 15], [18, 20, 4, 3, 22, 5, 10, 11, 16, 1, 2, 19, 17]]
35: [[21, 24, 23], [9, 7, 12, 13, 15, 6, 8], [18, 20], [4, 3], [22, 5, 10, 14], [17, 11, 16, 1, 2, 19]]
36: [[21, 24, 23], [9, 7, 12, 6], [13, 15, 18, 20, 4, 3, 22, 8], [5, 10, 14], [17, 11, 16, 1, 2], [19]]
37: [[21, 24, 23], [9], [7, 12, 13, 15, 8], [18, 20, 4], [3, 22, 5, 6], [10, 17, 11, 16, 14], [1, 2, 19]]
