0: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
1: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
2: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
3: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
4: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
5: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
6: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
7: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
8: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
9: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
10: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
11: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
12: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
13: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
14: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
15: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
16: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
17: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
18: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
19: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
20: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
21: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
22: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
23: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
24: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
25: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
26: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
27: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
28: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
29: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
30: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
31: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
32: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
33: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
34: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
35: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
36: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
37: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
38: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
39: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
40: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
41: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
42: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
43: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
44: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
45: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
46: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
47: [[20, 14, 2, 24, 10], [12, 15, 16, 3, 4], [1, 18, 19, 17], [8, 5, 13, 9, 6], [11, 23, 7, 21, 22]]
