0: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
1: [[19, 1, 2, 5, 6, 16, 10], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
2: [[10, 19, 1, 6, 5, 2, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
3: [[19, 1, 2, 5, 6, 16, 10], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
4: [[10, 19, 2, 1, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
5: [[19, 1, 2, 5, 6, 16, 10], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
6: [[10, 19, 1, 2, 6, 5, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
7: [[10, 19, 1, 6, 5, 2, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
8: [[19, 1, 2, 5, 6, 16, 10], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
9: [[19, 1, 2, 5, 6, 16, 10], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
10: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
11: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
12: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
13: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
14: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
15: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
16: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
17: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
18: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
19: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
20: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
21: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
22: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
23: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
24: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
25: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
26: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
27: [[10, 19, 1, 2, 5, 6, 16], [13, 8, 11, 3, 4, 12, 14], [28, 9, 22, 24, 7, 17, 18, 23], [21, 27, 29, 20, 26, 15, 25]]
