0: [[17, 11, 2, 4, 9], [7, 29, 22], [3, 1], [13, 5, 12], [6, 15, 8], [14, 10, 19, 18], [16, 23, 20], [24, 21, 27], [25, 26, 28], [31, 30, 33, 32, 34], [35, 36, 37]]
1: [[17, 11, 2, 4], [9, 7], [29, 22, 3], [1, 13, 5], [12, 6, 15], [8, 14], [10, 19, 18], [16, 23, 20], [24, 21, 27], [25, 26, 28], [31, 30, 33], [32, 34], [35, 36, 37]]
2: [[17, 11], [2, 4, 9], [7, 29, 22], [3, 1], [13, 5, 12], [6, 15], [8, 14], [10, 19, 18], [16, 23, 20], [24, 21, 27], [25, 26, 28], [31, 30, 33], [32, 34], [35, 36, 37]]
3: [[17, 11, 2, 4, 9], [7, 29, 22, 3], [1, 13, 5], [12, 6, 15], [8, 14, 10], [19, 18], [16, 23, 20], [24, 21, 27], [25, 26, 28], [31, 30, 33], [32, 34], [35, 36, 37]]
4: [[17, 11, 2, 4, 9], [7, 29], [22, 3, 1], [13, 5, 12], [6, 15, 8], [14, 10, 19], [18, 16, 23], [20, 24, 21], [27, 25, 26, 28], [31, 30, 33], [32, 34, 35, 36, 37]]
5: [[17, 11, 2], [4, 9, 7], [29, 22, 3], [1, 13, 5], [12, 6, 15], [8, 14], [10, 19, 18], [16, 23, 20], [24, 21, 27], [25, 26, 28], [31, 30, 33], [32, 34, 35], [36, 37]]
6: [[17, 11, 2, 4, 9], [7, 29, 22, 3], [1, 13], [5, 12, 6], [15, 8, 14], [10, 19, 18], [16, 23, 20], [24, 21, 27], [25, 26, 28], [31, 30], [33, 32, 34], [35, 36, 37]]
7: [[17, 11, 2], [4, 9, 7], [29, 22, 3], [1, 13, 5], [12, 6, 15], [8, 14], [10, 19, 18], [16, 23, 20], [24, 21, 27], [25, 26, 28], [31, 30, 33], [32, 34, 35], [36, 37]]
8: [[17, 11, 2], [4, 9, 7], [29, 22, 3], [1, 13, 5], [12, 6, 15], [8, 14], [10, 19, 18], [16, 23, 20], [24, 21, 27], [25, 26, 28], [31, 30, 33], [32, 34, 35], [36, 37]]
9: [[17, 11, 2, 4, 9], [7, 29, 22, 3], [1, 13], [5, 12, 6], [15, 8, 14], [10, 19, 18], [16, 23, 20], [24, 21, 27], [25, 26, 28], [31, 30], [33, 32, 34], [35, 36, 37]]
10: [[17, 11], [2, 4, 9], [7, 29, 22], [3, 1, 13], [5, 12, 6], [15, 8, 14], [10, 19, 18], [16, 23, 20], [24, 21, 27], [25, 26, 28], [31, 30, 33], [32, 34, 35], [36, 37]]
