0: [[13, 12], [5, 17, 7, 9], [10, 2, 8], [1, 3, 11], [16, 14, 4, 6, 15], [18, 20, 19]]
1: [[13, 12], [5, 17, 7, 9], [10, 2, 8], [1, 3, 11], [16, 14, 6], [18, 20, 19, 4, 15]]
2: [[13, 12], [5, 17, 9], [7, 10, 2, 8], [1, 3, 11], [16, 14, 6], [18, 20, 19, 4, 15]]
3: [[13, 12], [5, 17, 7, 9], [10, 2, 8], [1, 3, 11], [16, 14, 6], [18, 4, 15], [20, 19]]
4: [[13, 12], [5, 17, 9], [7, 10], [2, 8, 1], [3, 11], [16, 14, 4, 6], [18, 20, 19, 15]]
5: [[13, 12], [5, 17], [7, 9], [10, 2, 8], [1, 3, 11], [16, 6], [14, 4, 15], [18, 20, 19]]
6: [[13, 12], [5, 17], [7, 9], [10, 2, 8], [1, 3, 11], [16, 6], [14, 4, 15], [18, 20, 19]]
7: [[13, 12], [5, 17], [7, 9], [10, 2, 8], [1, 3, 11], [16, 6], [14, 4, 15], [18, 20, 19]]
8: [[13, 12], [5, 17, 9], [7, 10, 2], [8, 1, 3], [11, 16, 6], [14, 4, 15], [18, 20, 19]]
9: [[13, 12], [5, 17, 7, 9], [10, 2, 8], [1, 3, 11], [16, 14, 15, 18, 20, 19, 4, 6]]
10: [[13, 12], [5, 17, 4], [7, 10, 9], [2, 8], [1, 3, 11], [16, 14, 6], [18, 15], [20, 19]]
11: [[13, 12], [5, 17], [7, 10, 9], [2, 8, 1], [3, 11], [16, 6], [14, 4], [18, 20, 19, 15]]
12: [[13, 12], [5, 17], [7, 10, 9], [2, 8, 1], [3, 11], [16, 14, 4, 6], [18, 20, 19, 15]]
13: [[13, 12], [5, 17], [7, 10, 9], [2, 8, 1], [3, 11], [16, 14, 4, 6], [18, 20, 19, 15]]
14: [[13, 12], [5, 17], [7, 10, 9], [2, 8, 1], [3, 11], [16, 14, 4, 6], [18, 20, 19, 15]]
15: [[13, 12, 5], [17, 9], [7, 10], [2, 8], [1, 3, 11], [16, 6], [14, 4, 15], [18, 20, 19]]
16: [[13, 12, 5], [17, 7, 9], [10, 2, 8], [1, 3, 11, 16], [14, 4, 6, 15], [18, 20, 19]]
17: [[13, 12], [5, 17], [7, 10, 9], [2, 8, 1], [3, 11, 16], [14, 4, 6], [18, 20, 19, 15]]
18: [[13, 12], [5, 17, 7], [10, 2, 9], [8, 1, 3, 11], [16, 14, 6], [18, 4], [20, 19, 15]]
19: [[13, 12], [5, 17, 9], [7], [10, 2], [8, 1, 3], [11, 16, 6], [14, 4, 15], [18, 20, 19]]
20: [[13, 12, 5], [17, 7, 9], [10, 2, 8], [1, 3], [11, 16, 6], [14, 4], [18, 20, 19, 15]]
21: [[13, 12, 5], [17, 7, 9], [10, 2, 8], [1, 3], [11, 16], [14, 4, 6], [18, 20, 19, 15]]
22: [[13, 12], [5, 17, 9], [7, 10], [2, 8, 1], [3, 11, 16], [14, 18, 20, 19, 4, 6, 15]]
23: [[13, 12], [5, 17], [7, 11, 10, 2, 8], [1, 3, 9], [16, 14, 4, 6], [18, 20, 19, 15]]
24: [[13, 12, 5], [17, 7, 10, 9], [2, 8], [1, 3, 11], [16, 14, 15, 18, 20, 19, 4, 6]]
25: [[13, 12, 5], [17, 7, 9], [10, 2, 8], [1, 3, 11, 16, 6], [14, 18, 20, 19, 4, 15]]
26: [[13, 12], [5, 17], [7, 10], [2, 8], [9, 1, 3], [11, 16, 6], [14, 4, 15], [18, 20, 19]]
27: [[13, 12, 5, 17], [7, 10, 9], [2, 8, 1], [3, 11, 16], [14, 18, 4, 6, 15], [20, 19]]
28: [[13, 12], [5, 17, 7, 9], [10, 2, 8, 1], [3, 11, 16, 6, 14, 4, 15, 18, 20, 19]]
29: [[13, 12], [5, 17, 7], [10, 2, 8], [1, 3, 9], [11, 16], [14, 6], [18, 4, 15], [20, 19]]
30: [[13, 12, 5], [17, 9], [7, 10, 2], [8, 1, 3], [11, 16, 6], [14, 4], [18, 20, 15], [19]]
31: [[13, 12], [5, 17, 4], [7, 10, 9], [2, 8], [1, 3, 11, 16, 6, 14, 18, 20, 19, 15]]
32: [[13, 12, 5], [17, 7, 10, 9], [8, 1, 2], [3, 11, 16, 6, 14, 15, 18, 20, 19, 4]]
33: [[13, 12], [5, 17, 9], [7, 10, 2], [8, 1, 3, 11, 16, 6, 14, 4, 15, 18, 20, 19]]
34: [[13, 12], [5, 17, 9], [2], [8, 7, 1], [3, 11, 16], [14, 10, 4, 6], [18, 20, 19, 15]]
35: [[13, 12, 5], [17, 7], [10, 2, 8], [9, 1], [3, 11, 16], [6, 14], [4, 15, 18], [20, 19]]
36: [[13, 12, 5], [17, 9, 7], [10, 2], [8, 1], [3, 11, 16], [6, 14, 4], [15, 18], [20, 19]]
37: [[13, 12], [5, 7, 17, 9], [10], [2, 8, 1, 3, 11, 16, 6, 14, 4, 18, 20, 19, 15]]
38: [[13, 12, 5], [17, 9, 7, 10, 2], [8, 1, 3, 11, 16, 6, 14, 4, 15, 18, 20, 19]]
39: [[13, 12], [5, 17, 9, 7, 10, 2, 8, 1, 3, 11, 16, 14, 4, 6, 18, 20], [19, 15]]
40: [[13, 12, 5, 9], [17, 7], [10, 2], [8, 1, 3, 11, 16, 6, 14, 15, 18, 20, 19, 4]]
41: [[13, 12], [5, 17, 9, 7, 10, 2, 8, 1, 3, 11, 16, 6, 14, 4, 15, 18, 20], [19]]
