0: [[11, 9, 6, 8], [1, 5, 10, 3, 4], [7, 13, 2, 12]]
1: [[11, 9, 6, 8], [1, 5, 10, 3, 4], [7, 13, 2, 12]]
2: [[11, 9, 6, 8], [1, 5, 10, 3, 4], [7, 13, 2, 12]]
3: [[11, 9, 6, 8], [1, 5, 10, 3, 4], [7, 13, 2, 12]]
4: [[11, 9, 6, 8], [1, 5, 10, 3, 4], [7, 13, 2, 12]]
5: [[11, 9, 6, 8], [1, 5, 10, 3, 4], [7, 13, 2, 12]]
6: [[11, 9, 6, 8], [1, 5, 10, 3, 4], [7, 13, 2, 12]]
7: [[11, 9, 6, 8], [1, 5, 10, 3, 4], [7, 13, 2, 12]]
8: [[11, 9, 6, 8], [1, 5, 10, 3, 4], [7, 13, 2, 12]]
9: [[11, 9, 6, 8], [1, 5, 10, 3, 4], [7, 13, 2, 12]]
10: [[11, 9, 6, 8], [1, 5, 10, 3, 4], [7, 13, 2, 12]]
11: [[11, 9, 6, 8], [1, 5, 10, 3, 4], [7, 13, 2, 12]]
12: [[11, 9, 6, 8], [1, 5, 10, 3, 4], [7, 13, 2, 12]]
13: [[11, 9, 6, 8], [1, 5, 10, 3, 4], [7, 13, 2, 12]]
14: [[11, 9, 6, 8], [1, 5, 10, 3, 4], [7, 13, 2, 12]]
15: [[11, 9, 6, 8], [1, 5, 10, 3, 4], [7, 13, 2, 12]]
16: [[11, 9, 6, 8], [1, 5, 10, 3, 4], [7, 13, 2, 12]]
17: [[11, 9, 6, 8], [1, 5, 10, 3, 4], [7, 13, 2, 12]]
18: [[11, 9, 6, 8, 1], [5, 10, 3, 4], [7, 13, 2, 12]]
19: [[11, 9, 6, 8, 1], [5, 10, 3, 4], [7, 13, 2, 12]]
20: [[11, 9, 6, 8, 1], [5, 10, 3, 4], [7, 13, 2, 12]]
21: [[11, 9, 6, 8, 1], [5, 10, 3, 4], [7, 13, 2, 12]]
22: [[11, 9, 6, 8, 1], [5, 10, 3, 4], [7, 13, 2, 12]]
23: [[11, 9, 6, 8, 1], [5, 10, 3, 4], [7, 13, 2, 12]]
24: [[11, 9, 6, 8, 1], [5, 10, 3, 4], [7, 13, 2, 12]]
25: [[11, 9, 6, 8, 1], [5, 10, 3, 4], [7, 13, 2, 12]]
26: [[11, 9, 6, 8, 1], [5, 10, 3, 4], [7, 13, 2, 12]]
27: [[11, 9, 6, 8, 1], [5, 10, 3, 4], [7, 13, 2, 12]]
