0: [[1, 5, 2, 3], [6, 8, 11, 9], [4, 10], [13, 12, 7]]
1: [[1, 5, 2, 3], [6, 8, 11, 9], [4, 10], [13, 12, 7]]
2: [[1, 5, 2, 3], [6, 8, 11, 9], [4, 10], [13, 12, 7]]
3: [[1, 5, 2, 3], [6, 8, 11], [9, 4, 10], [13, 12, 7]]
4: [[1, 5, 3], [6, 8, 11, 2], [9, 4, 10], [13, 12, 7]]
5: [[1, 5, 3], [6, 8, 11, 2], [9, 4, 10], [13, 12, 7]]
6: [[1, 5, 3], [6, 8, 11, 2], [9, 4, 10], [13, 12, 7]]
7: [[1, 5, 3], [6, 8, 11, 2], [9, 4, 10], [13, 12, 7]]
8: [[1, 5, 3], [6, 8, 11, 2], [9, 4, 10], [13, 12, 7]]
9: [[1, 5, 3], [6, 8, 11, 2], [9, 4, 10], [13, 12, 7]]
10: [[1, 5, 3], [6, 8, 2], [11, 9], [10, 4], [13, 12, 7]]
11: [[1, 5, 3], [6, 8, 2], [11, 9], [10, 4], [13, 12, 7]]
12: [[1, 5, 3, 6, 2], [8, 11], [4, 10, 9], [13, 12, 7]]
13: [[1, 5, 2, 3], [6, 8, 11, 9], [4, 10, 13], [12, 7]]
14: [[1, 5, 3], [2, 6, 8], [11, 9, 4, 10], [13, 12, 7]]
15: [[1, 5, 3], [2, 6, 8], [11, 9, 4, 10], [13, 12, 7]]
16: [[1, 5, 3], [6, 8, 11, 2], [9, 4], [10, 13, 12, 7]]
17: [[1, 5, 3], [6, 8, 11, 2], [9, 4], [10, 13, 12, 7]]
18: [[1, 5, 3], [6, 8, 2], [11, 9, 4], [10, 13, 12, 7]]
19: [[1, 5, 3], [6, 8, 2], [11, 9, 4], [10, 13, 12, 7]]
20: [[1, 5, 3], [6, 8, 2], [11, 9, 4], [10, 13, 12, 7]]
21: [[1, 5, 3], [6, 8, 2], [11, 9, 4], [10, 13, 12, 7]]
22: [[1, 5, 3], [6, 8, 2], [11, 9, 4], [10, 13, 12, 7]]
23: [[1, 5, 3], [6, 8, 2], [11, 9, 4], [10, 13, 12, 7]]
24: [[1, 5, 3], [6, 8, 2], [11, 9, 4], [10, 13, 12, 7]]
25: [[1, 5, 3], [6, 8, 2], [11, 9, 4], [10, 13, 12, 7]]
26: [[1, 5], [3, 2, 6], [8, 11], [9, 4, 10], [13, 12, 7]]
27: [[1, 5], [3, 2, 6], [8, 11, 9, 4, 10, 13, 12, 7]]
