0: [[1, 11, 2, 5, 6], [7, 3, 17, 9], [4, 36], [18, 10, 14], [12, 8, 15], [29, 13, 16], [19, 23, 21, 20], [22, 27, 24], [25, 26, 28], [31, 34], [30, 33, 32], [35, 37]]
1: [[1, 11, 2, 5, 6], [7, 3, 17, 9], [4, 36], [18, 10, 14], [12, 8, 15], [29, 13, 16], [19, 23, 21, 20], [22, 27, 24], [25, 26, 28], [31, 34], [30, 33, 32], [35, 37]]
2: [[1, 11, 2, 5, 6], [7, 3, 17, 9], [4, 36], [18, 10, 14], [12, 8, 15], [29, 13, 16], [19, 23, 21, 20], [22, 27, 24], [25, 26, 28], [31, 34], [30, 33, 32], [35, 37]]
3: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36], [18, 10, 14], [12, 8, 15], [29, 13, 16], [19, 23, 21, 20], [22, 27, 24], [25, 26, 28], [31, 34], [30, 33], [32, 35, 37]]
4: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12, 8, 15], [29, 13, 16], [19, 23, 21, 20], [22, 27, 24], [25, 26, 28], [31, 34], [30, 33, 32], [35, 37]]
5: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21, 20], [22, 27, 24], [25, 26, 28], [31, 34], [30, 33, 32], [35, 37]]
6: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36], [18, 10, 14], [12, 8, 15], [29, 13, 16, 19], [23, 21, 20], [22, 27, 24], [25, 26, 28], [31, 34, 30], [33, 32, 35, 37]]
7: [[1, 11], [2, 5, 6], [7, 3], [17, 9, 4], [36, 18, 10, 14], [12, 8, 15], [29, 13, 16, 19], [23, 21, 20], [22, 27, 24], [25, 26, 28], [31, 34, 30, 33], [32, 35, 37]]
8: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21, 20], [22, 27, 24], [25, 26, 28], [31, 34, 30], [33, 32], [35, 37]]
9: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21, 20], [22, 27, 24], [25, 26, 28], [31, 34, 30], [33, 32, 35, 37]]
10: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21, 20], [22, 27, 24], [25, 26, 28], [31, 34, 30], [33], [32, 35, 37]]
11: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21, 20], [22, 27, 24], [25, 26, 28], [31, 34, 30], [33, 32, 35, 37]]
12: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21, 20], [22, 27, 24], [25, 26, 28], [31, 34, 30], [33, 32, 35, 37]]
13: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21, 20], [22, 27, 24], [25, 26, 28], [31, 34, 30], [33, 32, 35, 37]]
14: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36], [18, 10, 14], [12, 8, 15], [29, 13], [16, 19, 23, 21], [20, 22, 27, 24], [25, 26, 28], [31, 34, 30], [33, 32, 35, 37]]
15: [[1, 11, 2], [5, 6, 7], [3, 17], [9, 4, 36], [18, 10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21, 20], [22, 27, 24], [25, 26, 28], [31, 34, 30, 33], [32, 35, 37]]
16: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14], [12, 8, 15], [29, 13, 16], [19, 23, 21], [20, 22, 27, 24], [25, 26, 28], [31, 34, 30], [33, 32, 35, 37]]
17: [[1, 11, 2], [5, 6, 7, 3], [17, 9, 4], [36, 18, 10], [14, 12, 8], [15, 29], [13, 16, 19], [23, 21, 20, 22], [27, 24], [25, 26, 28], [31, 34, 30, 33], [32], [35, 37]]
18: [[1, 11], [2, 5, 6], [7, 3], [17, 9, 4], [36, 18], [10, 14, 12], [8, 15], [29, 13, 16], [19, 23, 21], [20, 22], [27, 24], [25, 26, 28], [31, 34], [30, 33], [32, 35, 37]]
19: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21, 20], [22, 27, 24, 25], [26, 28], [31, 34], [30, 33, 32], [35, 37]]
20: [[1, 11], [2, 5], [6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21, 20], [22, 27, 24], [25, 26, 28], [31, 34, 30], [33, 32, 35, 37]]
21: [[1, 11], [2, 5, 6], [7, 3, 17], [9, 4, 36], [18, 10, 14, 12], [8, 15], [29, 13, 16], [19, 23, 21], [20, 22, 27], [24, 25, 26, 28], [31, 34], [30, 33, 32], [35, 37]]
22: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21, 20], [22, 27, 24], [25, 26, 28, 31], [34, 30, 33, 32, 35, 37]]
23: [[1, 11, 2], [5, 6, 7], [3, 17], [9, 4, 36], [18, 10, 14], [12, 8, 15], [29, 13, 16], [19, 23, 21], [20, 22, 27], [24, 25, 26, 28], [31, 34, 30], [33, 32, 35, 37]]
24: [[1, 11, 2, 5, 6], [7, 3, 17, 9], [4, 36], [18, 10, 14], [12, 8, 15, 29], [13, 16, 19, 23, 21, 20, 22, 27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
