0: [[11, 1, 3], [12, 13], [2, 7, 5, 9, 4], [8, 10], [14, 16, 6, 15], [19, 17, 18, 20]]
1: [[11, 1, 3], [12, 13], [2, 5, 7, 9, 4], [8, 10, 14], [16, 6, 15], [19, 17, 18, 20]]
2: [[11, 1, 3], [12, 13], [2, 7, 5], [8, 10, 4], [14, 16, 6], [19, 17, 18, 20], [9, 15]]
3: [[11, 1, 3], [12, 13, 4], [5, 7, 8, 2, 9], [10, 14, 6, 16], [17, 19, 18, 20, 15]]
4: [[11, 1, 3], [12, 13], [2, 5, 7, 6, 8, 10, 14, 9], [17, 18, 4], [19, 16, 20, 15]]
5: [[11, 1, 3], [12, 13], [2, 5, 7], [8, 9, 4], [10, 14, 16, 6], [19, 17, 18, 20, 15]]
6: [[11, 1, 3], [12, 13], [2, 7, 5], [8, 10, 4], [14, 9, 6], [20, 19, 17, 18, 16, 15]]
7: [[11, 1, 3], [12, 13, 4], [7, 5, 2, 10, 9, 6], [14, 8, 17, 15, 19, 16, 18, 20]]
8: [[11, 1, 3], [12, 13], [2, 5, 7], [8, 4], [10, 14, 9, 6], [16, 19, 15], [17, 18, 20]]
9: [[11, 1, 3], [12, 13, 2], [5, 7, 8], [10, 9], [14, 16, 4, 6, 15], [19, 17, 18, 20]]
10: [[11, 1, 3], [12, 13, 4], [7, 5, 10], [2, 9, 6], [8, 14, 17, 15, 19, 16, 18, 20]]
11: [[11, 1, 3], [12, 13], [2], [5, 7, 9], [10, 14, 16, 6], [8], [18, 17, 4, 15], [19, 20]]
12: [[11, 1, 3], [12, 13], [5, 7], [8, 2, 4], [10, 14, 16, 19, 9, 6, 15], [17, 18, 20]]
13: [[11, 1, 3], [12, 13], [5, 7, 4], [2, 10], [8, 14, 9, 6], [20, 19, 17, 18, 16, 15]]
14: [[11, 1, 3], [12, 13, 4], [7, 5, 8, 10], [16, 6], [14, 9], [2, 15], [19, 17, 18, 20]]
15: [[11, 1, 3], [12, 13], [5, 7], [2, 9], [10, 14, 6], [16, 20, 4, 15], [19, 17, 18, 8]]
16: [[11, 1, 3], [12, 13], [7, 4], [8, 2, 5], [10, 14, 9, 6], [16, 18, 15], [17, 19, 20]]
17: [[11, 1, 3], [12, 13], [7, 5], [2, 10, 9], [14, 8, 17, 4], [19, 18], [20, 16, 6, 15]]
18: [[11, 1, 3], [12, 13], [2, 7, 5], [8, 10, 9, 4], [14, 16, 15, 19, 17, 18, 20, 6]]
19: [[11, 1, 3], [12, 13, 2], [5, 7, 8, 4], [10, 9, 14, 6], [16, 15], [19, 17, 18, 20]]
20: [[11, 1, 3], [12, 13, 2], [5, 7, 8, 4], [10, 9, 14, 6], [16, 15], [19, 17, 18, 20]]
21: [[11, 1, 3], [12, 13], [2, 5], [7, 8], [10], [14, 16, 4, 6], [19, 17, 18, 20, 9, 15]]
22: [[11, 1, 3], [12, 13], [7, 5, 2, 9], [8, 10, 14, 16, 20, 19, 17, 15], [18, 6, 4]]
23: [[11, 1, 3], [12, 13], [5, 7], [8, 2, 9], [10, 14, 18, 4, 6], [16, 17, 19, 15], [20]]
24: [[11, 1, 3], [12, 13, 4], [7, 5], [10, 2, 6], [8, 14], [17, 19, 9], [16, 18, 20, 15]]
25: [[11, 1, 3], [12, 13, 2], [7, 5, 9], [8, 10, 14, 4], [18, 20, 19, 17, 6, 16, 15]]
26: [[11, 1, 3], [12, 13, 2], [7, 5], [10, 8, 4], [14, 9, 6], [16, 19, 15], [17, 18, 20]]
27: [[11, 1, 3, 12], [13, 2, 7], [5, 4], [8, 14], [10, 16, 9, 6], [19, 17, 18, 20, 15]]
28: [[11, 1, 3], [12, 13, 2], [7, 5, 6], [10, 9], [14, 8, 17, 4], [19, 16, 18, 20, 15]]
29: [[11, 1, 3], [12, 13, 4], [7, 5, 2], [10], [8, 14, 17, 9], [19, 16, 6, 15], [18, 20]]
30: [[11, 1, 3], [12, 13, 5, 7, 2, 9], [14, 10, 8, 20, 15, 18, 4, 6], [17, 19, 16]]
31: [[11, 1, 3], [12, 13, 4], [7, 5, 10], [2], [6, 8, 14, 9, 15, 19, 17], [16, 18, 20]]
32: [[11, 1, 3], [12, 13, 5, 7, 4, 2, 6, 10], [8, 14, 9, 20, 15, 19, 16, 17, 18]]
33: [[11, 1], [3, 12, 13, 9], [7], [8, 2, 5, 4], [10, 14, 6], [16, 17, 15], [19, 18, 20]]
34: [[11, 1, 3], [12, 13, 2, 5, 7], [8, 9, 4], [10, 14, 16, 6], [19, 17, 15], [18, 20]]
35: [[11, 1, 3], [12, 13], [2, 7, 5], [10, 19], [8, 14], [20, 9, 4, 6], [17, 18, 16, 15]]
36: [[11, 1, 3], [12, 13, 2], [7, 5], [10, 4, 6], [8, 14, 9], [17], [19, 16, 18, 20, 15]]
37: [[11, 1, 3], [12, 13, 2, 7, 6, 8], [10, 4, 5, 9, 14, 16, 15, 17, 18, 19, 20]]
38: [[11, 1], [3, 12, 13], [2, 7, 5], [8, 9, 4], [14, 10, 6], [20, 17], [19, 18, 16, 15]]
39: [[11, 1], [12, 13, 3], [7, 5, 8, 6, 2], [4, 10, 14, 16, 15, 17, 19, 18, 20, 9]]
40: [[11, 1], [13, 4, 7, 5, 9, 3, 12], [6, 2, 10, 14, 8, 16, 15, 18, 17, 19, 20]]
41: [[11, 1], [3, 12, 13, 2, 7, 5, 9, 4, 6, 10, 14, 16, 8, 15, 19, 17], [18, 20]]
