0: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 5, 6, 21], [8, 16, 9, 12, 30, 24], [23, 17, 11, 14, 15, 10, 18], [22, 28], [25, 31, 19, 20, 26, 27, 29, 32], [36, 60, 33, 37, 34, 40], [41, 38, 44, 45], [39, 42, 43, 46, 55, 47, 52], [48, 50, 54, 51, 53, 56, 59, 58]]
1: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 6, 5], [8, 17, 9, 10, 26, 30], [31, 11, 12, 15, 14, 16, 18], [22, 28], [27, 20, 19, 24, 23, 25, 29, 32], [36, 37, 33, 45, 34, 39], [41, 38], [42, 43, 46, 48, 47, 44, 50, 40, 52, 56, 55, 54, 51, 53, 58, 59, 60]]
2: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 5, 6, 17], [9], [25, 14, 30, 8, 26, 22, 15, 10, 11, 23, 12, 24, 16, 27, 28, 19, 20, 31, 29, 37, 32, 50, 33, 39, 38, 43, 41, 46, 34, 44, 18, 36, 40, 42, 45, 47], [55, 60], [48, 53, 56, 51, 52, 54, 58, 59]]
3: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 5, 6], [9, 8], [11, 12, 10, 14, 15, 29, 18, 20, 22, 16, 17, 23, 30, 19, 24, 28, 27, 25, 31, 26, 36, 39, 38, 37, 34, 32, 33, 44, 42, 43, 41], [47, 46, 55, 53, 50, 56, 60, 45, 40, 48, 51, 54], [52, 59, 58]]
4: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 5, 6], [9, 8], [10, 14, 11, 12, 25, 29, 15, 18], [16, 28, 20, 23, 19, 17, 24, 22, 26, 27, 31, 30, 32, 34, 46, 33, 37, 42, 36, 39], [47, 40, 45, 38, 43, 44, 50, 58, 41], [51, 52, 54, 53, 48, 59, 56, 55, 60]]
5: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 5, 6], [26, 8, 9, 14, 31], [11, 28, 16, 15, 10, 19, 12, 30, 18, 20, 22, 23, 17, 24, 27, 25, 29, 33, 32, 40, 36, 37, 47, 46, 38], [42, 44, 34, 39, 41, 43, 58, 55, 45], [52, 53, 51, 48, 54], [50, 56, 59, 60]]
6: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 5, 6, 21, 30, 9, 8], [14, 11, 24, 27, 25, 10, 12, 19], [15, 16, 22, 26, 18, 28, 17, 20, 23, 29, 31, 32, 37, 60, 33, 36, 34, 46, 44, 38, 40, 45, 41, 42, 47, 43, 39, 51, 52, 48, 50, 55, 54, 53, 58, 59, 56]]
7: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 5, 6, 21], [19, 9], [8, 14, 11, 10, 16, 12, 22, 23, 25, 15, 20, 30, 28, 18, 24, 17, 26, 27, 29, 31, 32, 37, 55, 38, 46, 34, 36, 44, 42, 33, 39, 40, 41, 47, 43, 45], [48, 53], [50, 51, 52, 54, 58, 56, 59, 60]]
8: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 6, 5], [8, 11, 9, 14, 30, 17], [18, 16, 15, 19, 22, 10, 25, 24], [12, 27, 20, 23, 29, 26, 28, 31, 32, 36, 52, 33, 37, 34, 40, 41, 39, 38, 44], [45, 42, 43, 46, 47, 58, 48, 54, 50, 55, 53, 51, 60, 56, 59]]
9: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 6, 5, 30, 9, 8, 14], [11, 10, 24, 25, 27, 20, 19, 12, 28, 15, 16, 18, 26, 17, 22, 23, 29, 31, 32, 39, 56, 33, 37, 34, 38, 44, 36, 40, 41, 42, 45, 47, 58, 43, 46, 52], [48, 50], [51, 53, 54, 55, 59, 60]]
10: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 5], [6, 24, 9, 12, 8, 10, 30], [14, 16, 11, 22, 20, 27, 15, 31, 17, 18, 19, 23, 25, 26, 29, 28, 36, 41, 38, 33, 34, 32, 47, 42, 46, 37, 39, 40, 44, 45, 58, 59, 43, 54, 50, 48, 55, 51, 52, 56, 53, 60]]
11: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 5, 6], [8, 12], [9, 14, 15, 10, 29, 16, 11, 30, 20], [18, 28, 19, 22, 23, 24, 17, 27, 25, 26, 31, 37, 33, 46, 32, 34, 41, 43, 42, 47, 38, 39, 40, 44, 45, 53, 54, 51, 36, 52, 48, 50, 55, 56, 58, 59, 60]]
12: [[49, 57], [1, 7, 35, 2, 3, 4], [13, 21, 6, 5], [8, 12, 11, 14, 15, 27, 31, 26, 18, 9, 19, 17, 30, 16, 10], [20, 24], [22, 29, 23, 25, 28, 32, 36, 33, 34, 37, 39, 40, 38, 46, 41, 42, 43, 44, 45, 47, 50, 48, 53, 52, 55, 54, 51, 56, 58, 59, 60]]
13: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 5, 6], [8, 9, 14, 11, 26], [10, 15, 16, 12, 18], [22, 17, 20, 19, 23, 25], [27, 28, 31, 24, 29], [30, 32, 44], [34, 37], [40, 58, 42, 45], [46, 33, 36, 39, 43, 41, 51], [38, 48], [47, 54], [50, 55, 53, 52, 56, 59, 60]]
14: [[49, 57], [1, 7, 35, 2, 3], [4, 13, 21, 5, 6], [14, 8, 9, 11, 10, 25, 12, 15, 23, 17, 22, 18, 16, 20, 26, 19, 24, 28, 27, 30, 31, 29], [32, 34, 33, 43, 37, 39, 38, 36, 46, 44], [41, 56], [40, 45, 58], [48, 47, 42, 51, 52, 59, 53, 50, 54], [55, 60]]
