0: [[38, 5], [25, 2], [3, 4], [1, 9, 13, 23], [14, 15, 6], [7], [29, 11], [20, 21, 34, 39], [28, 26], [17, 27, 16], [62, 24, 18, 43, 12, 22], [51, 19], [52], [42, 50], [40, 46, 44, 49, 8], [30, 31, 36], [33, 35], [41, 32, 60], [47], [59], [37, 58, 55], [48, 54], [45, 56], [53, 57, 61], [64, 63], [66, 65], [67, 70], [77, 68, 69, 72, 10], [71, 73], [74, 75], [78, 76], [81, 79, 82], [86], [83], [85], [84, 80], [87, 88]]
1: [[38, 5], [25, 2], [3, 4, 9, 1], [14, 15], [7, 6, 8, 11, 16, 28, 17, 21, 19, 20, 29], [27], [26, 18, 50, 37], [30, 24, 44, 23], [62, 54, 43], [31, 36, 12, 13, 22], [32, 47], [33, 45], [51, 34, 39, 10], [46, 42, 49, 41], [35, 40], [52, 56], [61, 53], [48, 58], [59, 57], [55, 63], [60, 72], [68, 69, 65, 64, 67], [66, 75, 78, 71, 76, 73, 74, 77, 70, 83, 84, 82, 80, 79, 81], [86, 85, 87, 88]]
2: [[38, 5], [25, 2, 12, 22], [3, 4], [1, 7], [14, 15], [6, 8, 10, 59, 9, 17], [16, 27, 26, 11, 13, 28], [18, 19, 20, 23, 60, 31, 50, 21, 57, 46, 34, 32, 24], [29, 55, 30, 62, 35, 33], [36, 42, 37, 40, 39, 43, 44, 47, 41, 52, 58, 56, 45, 51, 49, 63], [48, 53, 54, 61, 64, 70, 69, 67, 74, 65, 78, 76, 66, 68, 73, 77, 72, 71, 75, 79, 83, 81, 80, 82, 86, 84, 85, 87, 88]]
3: [[38, 5], [25, 2], [3, 4, 9, 8], [15], [6, 7], [1, 14, 11, 13], [17, 18, 19, 21], [16, 28, 20, 12, 22], [26, 29], [24, 58, 23], [31, 49, 61, 56, 50, 30, 27, 48], [32], [33, 44, 39, 10], [35, 37, 43, 34, 36, 42, 40, 45, 62, 47], [46, 51, 41, 55, 52, 60, 53, 54, 57, 63, 59, 66], [65, 69, 68, 64, 67, 73, 70, 71, 78], [75, 76, 72, 77, 74, 79, 81, 80, 82, 83, 86, 84, 85], [87, 88]]
4: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 6], [14, 15], [7, 9], [8, 43, 10, 11, 13, 17], [16, 20, 23, 24, 19, 29], [18, 28, 21, 26, 63, 31, 34, 30, 27, 53, 35, 36, 58, 54, 32, 33, 39, 37], [40, 41], [45, 56], [46, 49, 44, 50], [47, 51, 42, 48], [52, 62], [57, 61], [55, 60, 59, 66, 65, 64, 69, 72, 67, 68], [71, 73], [78, 70, 75, 74, 76], [79, 77], [81, 80, 83, 82, 86, 85, 84], [87, 88]]
5: [[38, 5], [25, 2, 12, 22], [3, 4], [9, 1], [14, 15], [7, 6, 10, 43], [8, 11, 26, 21, 18, 20, 13, 16, 27, 17, 28, 23, 19], [53, 30, 24, 32, 51, 29, 35, 50], [40, 55, 31, 37, 33, 57, 39, 56, 45, 41, 34, 44, 42, 46], [36, 49, 47, 52, 59, 58, 62, 54, 60, 48, 63, 61, 64, 68, 69, 77, 65, 66, 79, 74, 67, 78, 70, 71, 76, 72], [75, 73, 81, 84], [80, 83, 82, 87, 86, 85, 88]]
6: [[38, 5], [25, 2, 12, 22], [3, 4], [9, 1], [14, 15], [7, 6, 10, 43], [8, 11, 26, 21, 18, 20, 13, 16, 27, 17, 28, 23, 19], [53, 30, 24, 32, 51, 29, 35, 50], [40, 55, 31, 37, 33, 57, 39, 56, 45, 41, 34, 44, 42, 46], [36, 49, 47, 52, 59, 58, 62, 54, 60, 48, 63, 61, 64, 68, 69, 77, 65, 66, 79, 74, 67, 78, 70, 71, 76, 72], [75, 73, 81, 84], [80, 83, 82, 87, 86, 85, 88]]
7: [[38, 5], [25, 2], [12, 22], [3, 4], [9, 1], [14, 15], [6, 7], [8, 10, 11, 17, 29, 21, 16, 24, 13, 20, 19, 18, 30, 23], [26, 27, 62, 28, 58, 52, 31, 61, 42], [34, 39], [35, 37], [47, 32], [44, 33], [36, 60], [40, 41], [43, 59, 45, 48, 46, 53, 51, 49, 50, 54, 55, 57, 63, 56, 65, 68, 64, 75, 67, 70], [76, 66, 69, 73, 78, 71, 72, 74, 79, 77, 80, 87, 81, 83, 86, 84, 82, 85, 88]]
8: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 6], [14, 15, 7], [11, 8, 9, 10, 13, 21, 20, 24, 16, 23, 17, 18, 26, 29, 30, 19, 31, 27, 61, 50, 45, 28, 55], [33, 44, 39, 48, 52], [37, 35, 32, 42, 46, 36, 41, 43, 47, 40, 49, 60, 53], [34, 51, 54, 56, 59, 57, 58, 62, 63, 75, 66, 69, 68, 64, 67, 77, 78, 71, 72, 73, 65, 74, 70, 76, 79, 80, 82, 83, 84, 86, 85, 81, 87, 88]]
9: [[38, 5], [25, 2], [3, 4], [1, 6], [14, 15], [7], [28, 8, 11], [17, 9, 19, 20, 16, 18, 26, 31, 24], [21, 56, 29], [30, 27, 55, 34, 39, 10], [63, 45, 48, 32, 33, 41, 52, 44, 51, 35, 37, 40, 43, 42], [46, 47], [36, 60, 12, 13, 22, 23], [49, 54, 61, 50], [58, 57], [53, 59, 62, 64, 70, 66, 65, 68, 71, 76, 69, 78, 73, 67, 75, 72, 77, 79, 74, 80, 82, 83, 81, 87, 85, 86, 84, 88]]
10: [[38, 5], [25, 2, 12, 22], [3, 4], [9, 1], [14, 15], [7, 6, 8, 10], [11, 13, 26, 20, 18, 23, 29, 16, 24, 17, 27, 30, 62], [21, 28, 60, 31, 51, 32, 19, 50], [40, 35, 61, 37], [33, 63], [36, 44, 42, 43, 34, 46, 41, 52, 39, 49, 45, 47, 53, 55, 54, 56, 57, 48, 58, 59, 64, 68, 69, 74, 65, 67, 77, 76, 66, 78, 70, 71, 73, 72, 79, 75, 81, 84, 82, 80, 86, 87, 83, 85, 88]]
11: [[38, 5], [25, 2, 12, 22], [3, 4], [9, 6], [14, 15], [1, 13, 7, 24], [10, 20, 8, 11, 17, 16, 19, 21, 23, 26, 18, 62, 27], [59, 28, 31, 29, 30, 57, 61, 36], [44, 48, 33, 35, 53, 34, 32, 43, 37, 39, 58, 47, 41, 40, 46, 52, 42, 45, 49, 50], [51, 56], [55, 54], [60, 63], [65, 66], [68, 69], [64, 70, 78, 77], [71, 73], [72, 67, 74, 75], [76], [79, 82, 81, 80, 83, 84, 85, 87, 86, 88]]
12: [[38, 5], [25, 2], [3, 4], [1, 6, 14, 15], [9, 7, 11, 41, 8, 29, 28, 17, 26, 24, 20], [18, 16], [19, 60, 23], [52, 27, 31, 33, 55, 59, 30, 32, 35, 21, 37, 36, 42, 44, 47, 40], [43, 56, 12, 13, 22], [61, 46, 34, 49, 39, 10], [50, 45, 48], [51, 54, 53], [58, 57], [63, 62], [66, 68, 65, 72, 64, 71, 67, 69, 73], [70, 76, 79, 75], [74, 77, 78, 83, 80, 84], [81, 86, 82, 85, 87, 88]]
13: [[38, 5], [25, 2], [3, 4], [1, 6, 14, 15], [9, 7, 11, 41, 8, 29, 28, 17, 26, 24, 20], [18, 16], [19, 60, 23], [52, 27, 31, 33, 55, 59, 30, 32, 35, 21, 37, 36, 42, 44, 47, 40], [43, 56, 12, 13, 22], [61, 46, 34, 49, 39, 10], [50, 45, 48], [51, 54, 53], [58, 57], [63, 62], [66, 68, 65, 72, 64, 71, 67, 69, 73], [70, 76, 79, 75], [74, 77, 78, 83, 80, 84], [81, 86, 82, 85, 87, 88]]
14: [[38, 5], [25, 2, 12, 22], [3, 4], [1, 8], [14, 15], [7, 6], [24, 57, 9, 10, 17], [11, 27, 21, 19, 13, 23, 16, 18, 26, 30, 55, 20, 28], [36, 61, 29, 31, 33, 52, 34, 32], [35, 43, 40, 37], [56, 41, 42, 45, 63, 47, 44, 60, 49, 50, 39, 46, 48], [53, 51, 54, 59, 62, 58, 65, 68], [72, 67], [64, 69, 78, 70, 71, 77, 75, 66, 73], [76, 74, 79, 82, 84, 88, 80, 87, 83, 86, 85, 81]]
