0: [[22], [24, 23], [19, 4], [1, 2, 13], [10, 3, 14], [9, 8, 17, 5, 6], [7, 20, 11, 18, 12, 16], [15, 21]]
1: [[22], [24, 23], [19, 4, 1], [2, 10, 14], [3, 9, 16], [8, 17, 5, 6, 7, 20, 13], [11, 18, 12, 15, 21]]
2: [[22], [24, 23], [19, 4, 1], [2, 10, 3, 14], [9, 8, 17, 5, 6, 13], [7, 20, 11], [18, 12, 16], [15, 21]]
3: [[22], [24, 23], [19, 4, 1], [2, 10, 3, 14], [9, 8, 17, 5, 6, 13], [7, 20, 11, 18, 12, 16], [15, 21]]
4: [[22], [24, 23], [19, 4], [1, 2, 13], [10, 3, 14], [9, 8, 17, 5], [6, 7, 20, 11, 18, 12, 16], [15, 21]]
5: [[22], [24, 23], [19, 4], [1, 2], [10, 3, 14], [9, 8, 13], [17, 5], [6, 7, 20, 11, 18, 16], [12, 15, 21]]
6: [[22], [24, 23], [19, 4, 1, 2, 10, 14], [3, 9, 8, 17, 5, 6, 13], [7, 20, 11, 18, 12, 16], [15, 21]]
7: [[22], [24, 23], [19, 4], [1, 2], [10, 3, 14], [9, 8, 17], [5, 6, 13], [7, 20, 11, 18, 12, 16], [15, 21]]
8: [[22], [24, 23], [19, 4, 1, 2], [10, 3, 14], [9, 8, 17], [5, 6, 13], [7, 20, 11, 18, 12, 16], [15, 21]]
9: [[22], [24, 23], [19, 4], [1, 2, 13], [10, 3, 9, 14], [8, 17, 5, 6], [7, 20, 11, 18, 12, 15, 21, 16]]
10: [[22], [24, 23], [19, 4], [1, 2, 13], [10, 3, 14], [9, 8], [17, 5], [6, 7, 20, 11, 18, 12, 16], [15, 21]]
11: [[14, 22], [16, 13], [24, 23], [19, 4, 1], [2, 10, 3], [9, 8, 17, 5, 6], [7, 20, 11], [18, 12, 15, 21]]
12: [[22], [24, 23], [19, 4], [1, 2, 13], [10, 3, 14], [9, 8, 17], [5, 6, 7, 20, 11, 18, 12, 16], [15, 21]]
