0: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27], [19, 50], [25, 28], [26, 30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56, 40], [41, 60], [59, 46, 47], [51], [48, 61], [49, 52, 54], [53, 55, 57], [62, 58], [63, 66, 81], [77, 68, 67], [64, 71, 69], [75, 72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
1: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24], [5, 9, 8], [11, 12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26], [30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56, 40], [41, 60, 59], [46, 47, 51], [48, 61, 49], [52, 54, 53], [55, 57], [62, 58, 63], [66, 81, 77], [68, 67], [64, 71, 69], [75, 72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
2: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24], [5, 9, 8], [11, 12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26], [30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56, 40], [41, 60, 59], [46, 47, 51], [48, 61, 49], [52, 54, 53], [55, 57], [62, 58, 63], [66, 81, 77], [68, 67], [64, 71, 69], [75, 72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
3: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24], [5, 9, 8], [11, 12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26], [30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56, 40], [41, 60, 59], [46, 47, 51], [48, 61, 49], [52, 54, 53], [55, 57], [62, 58, 63], [66, 81, 77], [68, 67], [64, 71, 69], [75, 72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
4: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22, 15], [14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28], [26, 30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56], [40, 41, 60], [59, 46, 47], [51, 48, 61], [49, 52, 54], [53, 55, 57], [62, 58, 63], [66, 81, 77], [68, 67, 64], [71, 69, 75], [72, 73, 74], [78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
5: [[37, 70, 7], [4, 3], [13, 43], [1, 6, 65], [10, 2, 24], [5, 9, 8], [11, 12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26, 30], [31, 36], [33], [35, 44], [34, 39, 32], [38, 42], [45, 56], [40, 41, 60], [59, 46, 47], [51, 48, 61], [49, 52, 54], [53, 55, 57], [62, 58], [63, 66, 81], [77, 68, 67], [64, 71, 69], [75, 72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
6: [[37, 70], [7, 4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9], [8, 11], [12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28], [26, 30, 31], [36, 33], [35, 44], [34, 39, 32], [38, 42], [45, 56, 40], [41, 60, 59], [46, 47, 51], [48, 61], [49, 52, 54], [53, 55, 57], [62, 58, 63], [66, 81], [77, 68, 67], [64, 71, 69], [75, 72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84, 85, 86, 88]]
7: [[37, 70], [7, 4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8], [11, 12, 22], [15, 14], [20, 18], [17, 21, 16], [29, 23, 27], [19, 50], [25, 28, 26], [30, 31, 36], [33, 35, 44], [34, 39], [32, 38, 42], [45, 56, 40], [41, 60], [59, 46, 47], [51, 48, 61], [49, 52], [54, 53, 55], [57, 62, 58], [63, 66, 81], [77, 68, 67], [64, 71, 69], [75, 72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
8: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22, 15], [14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28], [26, 30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56, 40], [41, 60, 59], [46, 47], [51, 48, 61], [49, 52, 54], [53, 55, 57], [62, 58, 63], [66, 81, 77, 68, 67, 64, 71, 69, 75, 72, 73, 74, 78, 76, 79, 80, 82, 87, 83, 84, 85, 86, 88]]
9: [[37, 70], [7, 4, 3], [13, 43, 1], [6, 65], [10, 2, 24], [5, 9, 8], [11, 12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28], [26, 30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56, 40], [41, 60, 59], [46, 47, 51], [48, 61, 49], [52, 54], [53, 55, 57], [62, 58, 63], [66, 81], [77, 68, 67], [64, 71, 69], [75, 72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
10: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24], [5, 9, 8], [11, 12, 22], [15, 14, 20], [18, 17, 21], [16, 29], [23, 27, 19], [50, 25, 28], [26, 30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56], [40, 41, 60], [59, 46], [47, 51], [48, 61], [49, 52, 54], [53, 55, 57], [62, 58], [63, 66, 81], [77, 68, 67], [64, 71, 69], [75, 72, 73, 74, 78, 76, 79, 80, 82, 87, 83, 84], [85, 86, 88]]
11: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22, 15], [14, 20, 18], [17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26], [30, 31], [36, 33, 35], [44, 34, 39], [32, 38], [42, 45, 56], [40, 41, 60], [59, 46, 47], [51, 48, 61], [49, 52, 54], [53, 55, 57], [62, 58, 63], [66, 81, 77], [68, 67, 64], [71, 69, 75], [72, 73, 74], [78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
12: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8], [11, 12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28], [26, 30, 31], [36, 33], [35, 44], [34, 39, 32], [38, 42], [45, 56, 40], [41, 60, 59], [46, 47, 51], [48, 61, 49], [52, 54, 53], [55, 57, 62], [58, 63, 66, 81, 77, 68], [67, 64, 71, 69, 75], [72, 73, 74, 78, 76, 79, 80, 82, 87, 83, 84, 85, 86, 88]]
13: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22, 15], [14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26], [30, 31, 36], [33, 35, 44], [34, 39, 32], [38, 42], [45, 56, 40], [41, 60, 59], [46, 47], [51, 48, 61], [49, 52, 54], [53, 55, 57], [62, 58], [63, 66, 81], [77, 68, 67], [64, 71, 69], [75, 72], [73, 74, 78], [76, 79, 80], [82, 87, 83], [84, 85, 86, 88]]
14: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22, 15], [14, 20, 18], [17, 21, 16], [29, 23, 27], [19, 50], [25, 28, 26], [30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56], [40, 41, 60], [59, 46, 47, 51, 48, 61], [49, 52, 54, 53, 55, 57], [62, 58, 63, 66, 81, 77, 68, 67, 64, 71, 69, 75, 72, 73, 74, 78, 76, 79, 80, 82, 87, 83, 84, 85, 86, 88]]
15: [[37, 70, 7], [4, 3, 13], [43, 1, 6], [65, 10, 2], [24, 5], [9, 8, 11], [12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26], [30, 31], [36, 33], [35, 44, 34], [39, 32], [38, 42], [45, 56, 40], [41, 60, 59], [46, 47], [51, 48, 61], [49, 52, 54], [53, 55, 57], [62, 58, 63], [66, 81, 77], [68, 67, 64], [71, 69, 75], [72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
16: [[37, 70], [7, 4, 3], [13, 43, 1], [6, 65, 10], [2, 24], [5, 9, 8], [11, 12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26], [30, 31], [36, 33, 35], [44, 34, 39], [32, 38], [42, 45, 56], [40, 41, 60], [59, 46, 47], [51, 48, 61], [49, 52, 54], [53, 55, 57], [62, 58, 63], [66, 81, 77], [68, 67], [64, 71, 69], [75, 72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
17: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22, 15], [14, 20, 18], [17, 21, 16], [29, 23, 27], [19, 50], [25, 28, 26], [30, 31, 36], [33, 35], [44, 34, 39], [32, 38, 42], [45, 56], [40, 41, 60], [59, 46, 47], [51, 48, 61], [49, 52, 54, 53, 55, 57, 62], [58, 63, 66], [81, 77, 68, 67, 64, 71, 69, 75, 72, 73, 74, 78, 76, 79, 80, 82, 87, 83, 84, 85, 86, 88]]
18: [[37, 70], [7, 4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22, 15], [14, 20, 18], [17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26], [30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56, 40], [41, 60, 59], [46, 47, 51], [48, 61, 49], [52, 54, 53], [55, 57], [62, 58], [63, 66, 81], [77, 68, 67], [64, 71, 69], [75, 72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
19: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22], [15, 14, 20], [18, 17, 21], [16, 29], [23, 27, 19], [50], [25, 28], [26, 30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56, 40], [41, 60, 59], [46, 47, 51], [48, 61, 49], [52, 54, 53], [55, 57, 62], [58, 63, 66], [81, 77, 68], [67, 64, 71, 69, 75, 72, 73, 74, 78, 76, 79, 80, 82, 87, 83, 84, 85, 86, 88]]
20: [[37, 70], [7, 4, 3], [13, 43, 1], [6, 65], [10, 2, 24], [5, 9, 8], [11, 12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26], [30, 31, 36], [33, 35, 44], [34, 39], [32, 38, 42], [45, 56, 40], [41, 60], [59, 46, 47], [51, 48, 61], [49, 52, 54], [53, 55, 57, 62, 58, 63, 66, 81, 77, 68, 67, 64, 71, 69, 75, 72, 73, 74, 78, 76, 79, 80, 82, 87, 83, 84], [85, 86, 88]]
21: [[37, 70], [7, 4, 3], [13, 43, 1], [6, 65], [10, 2, 24], [5, 9, 8], [11, 12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26], [30, 31, 36], [33, 35, 44], [34, 39], [32, 38, 42], [45, 56, 40], [41, 60], [59, 46, 47], [51, 48, 61], [49, 52, 54], [53, 55, 57, 62, 58, 63, 66, 81, 77, 68, 67, 64, 71, 69, 75, 72, 73, 74, 78, 76, 79, 80, 82, 87, 83, 84], [85, 86, 88]]
22: [[37, 70], [7, 4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26], [30, 31, 36], [33, 35, 44], [34, 39, 32], [38, 42], [45, 56, 40], [41, 60, 59], [46, 47, 51], [48, 61, 49], [52, 54, 53], [55, 57, 62], [58, 63, 66, 81, 77, 68, 67, 64, 71, 69, 75, 72, 73, 74, 78, 76, 79, 80, 82, 87, 83, 84, 85, 86, 88]]
23: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24], [5, 9, 8], [11, 12, 22], [15, 14], [20, 18, 17], [21], [16, 29], [23, 27, 19], [50, 25, 28], [26, 30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56, 40], [41, 60, 59], [46, 47], [51, 48, 61], [49, 52, 54], [53, 55], [57, 62, 58], [63, 66, 81], [77, 68], [67, 64, 71], [69, 75, 72], [73, 74, 78], [76, 79, 80, 82, 87, 83, 84], [85, 86, 88]]
24: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24], [5, 9, 8], [11, 12, 22], [15, 14], [20, 18, 17], [21], [16, 29], [23, 27, 19], [50, 25, 28], [26, 30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56, 40], [41, 60, 59], [46, 47], [51, 48, 61], [49, 52, 54], [53, 55], [57, 62, 58], [63, 66, 81], [77, 68], [67, 64, 71], [69, 75, 72], [73, 74, 78], [76, 79, 80, 82, 87, 83, 84], [85, 86, 88]]
25: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5, 9, 8, 11, 12, 22, 15, 14, 20, 18], [17, 21, 16], [29, 23, 27], [19, 50], [25, 28], [26, 30, 31], [36, 33, 35], [44, 34, 39], [32, 38], [42, 45, 56], [40, 41, 60], [59, 46, 47], [51], [48, 61], [49, 52, 54], [53, 55, 57], [62, 58, 63], [66, 81, 77], [68, 67, 64], [71, 69, 75], [72, 73, 74, 78, 76, 79, 80, 82, 87, 83, 84, 85, 86, 88]]
26: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22, 15], [14, 20, 18], [17, 21, 16], [29, 23], [27, 19, 50], [25, 28, 26], [30, 31, 36], [33, 35], [44, 34, 39], [32, 38, 42], [45, 56, 40], [41, 60, 59], [46, 47, 51, 48, 61], [49, 52, 54, 53, 55, 57, 62, 58, 63, 66], [81, 77, 68, 67, 64, 71, 69, 75, 72, 73, 74, 78, 76, 79, 80, 82], [87, 83, 84, 85, 86, 88]]
