0: [[7, 12], [1, 9, 11, 6, 3, 4, 8], [10, 5, 13, 2]]
1: [[7, 12], [1, 9, 11, 6, 3, 4, 8], [10, 2, 5, 13]]
2: [[7, 12], [1, 9, 11, 6, 3], [4, 8, 10], [2, 5, 13]]
3: [[12, 7], [1], [11, 6, 3, 4, 8, 9], [10, 2, 5, 13]]
4: [[12, 7], [1], [11, 6, 3, 4, 8, 9], [10, 2, 5, 13]]
5: [[12, 7], [1, 11, 9], [6, 3, 4, 8], [10, 2, 5, 13]]
6: [[7, 12], [1, 9, 11, 6, 3, 4], [8, 10, 2, 5, 13]]
7: [[7, 12], [1, 9, 11, 6, 3, 4], [8, 10, 2, 5, 13]]
8: [[12, 7], [1, 11, 9], [6, 3, 4, 8], [10, 2, 5, 13]]
9: [[12, 7], [1, 11, 9], [6, 3, 4, 8], [10, 2, 5, 13]]
10: [[7, 12], [1, 9, 11, 6], [3, 4, 8], [10, 2, 5, 13]]
11: [[7, 12], [1, 9, 11, 6], [3, 4, 8, 10, 2, 5, 13]]
12: [[7, 12, 1], [9, 11, 6, 3, 4, 8], [10, 2, 5, 13]]
13: [[7, 12], [1, 9, 11, 6], [3, 4, 8, 10, 2, 5, 13]]
14: [[7, 12], [1, 9, 11, 6], [3, 4, 8, 10, 2, 5, 13]]
15: [[7, 12], [1, 9, 11, 6, 3], [4, 8, 10, 2, 5, 13]]
16: [[12, 7], [9], [11, 6, 3], [4, 8, 1], [10, 2, 5, 13]]
17: [[12], [1], [11, 6, 3, 4, 8, 9], [10, 2, 5], [13, 7]]
18: [[7, 12], [1, 9, 11, 6, 3, 4, 8, 10, 2], [5, 13]]
19: [[7, 12], [1, 9, 11], [6, 3, 4], [8, 10, 2, 5, 13]]
20: [[7, 12], [1, 9, 11], [6, 3, 4, 8, 10, 2, 5, 13]]
21: [[12, 1], [11, 6, 9], [3, 4, 8, 10], [2, 5, 13, 7]]
22: [[7, 12, 1], [9, 11, 6, 3], [4, 8, 10, 2, 5, 13]]
23: [[12, 7], [1, 9, 11, 6], [4, 8, 10, 2, 3], [5, 13]]
24: [[12], [1], [11, 6, 3, 4, 9], [8, 10, 2, 5, 13, 7]]
25: [[12], [1], [11, 6, 3, 4, 8, 9], [10, 2], [5, 13, 7]]
26: [[7, 12, 1, 9, 11, 6], [3, 4, 8, 10, 2], [5, 13]]
27: [[7, 12], [1, 9], [11, 6, 3, 4], [8, 10, 2, 5], [13]]
