0: [[19, 16], [9, 7, 2, 1], [3, 4, 8], [6, 5], [11, 15, 17, 18, 13, 10, 14], [23, 12, 22], [27, 26, 21], [28, 24, 29], [20, 25]]
1: [[19, 16], [9, 7, 2, 1], [3, 4, 8], [6, 5], [11, 15, 17, 18, 13, 10, 14], [23, 12, 22], [27, 26], [21, 28, 24, 29, 20, 25]]
2: [[19, 16], [9, 7, 2, 1], [3, 4, 8], [6, 5], [11, 15, 17], [18, 13, 10], [14, 23, 12], [22, 27, 26], [21, 28, 24, 29], [20, 25]]
3: [[19, 16], [9, 7, 2, 1], [3, 4, 5], [6, 13], [8, 14, 11, 15, 12, 10, 17], [23, 18, 22], [25, 26, 20, 27, 21, 29], [24, 28]]
4: [[19, 16], [9, 7, 2, 1], [3, 4, 8], [6, 5], [11, 12, 17, 18], [13, 10, 15], [23, 14, 20, 25, 22, 21, 24], [27, 29, 26, 28]]
5: [[19, 16, 9], [7, 2, 1], [3, 4, 8], [6, 5], [11, 15, 10, 13, 14, 12, 23], [22, 17, 18], [25, 20, 21], [24, 26, 27], [28, 29]]
6: [[19, 16], [9, 7, 2, 1], [3, 4, 8], [6, 5], [11, 17, 10, 12], [13, 21, 15], [14, 18, 22, 25, 23, 20, 29, 24, 27, 26, 28]]
7: [[19, 16], [9, 7, 2, 1], [3, 4, 8], [6, 5], [11, 17, 13, 12], [10, 26, 15, 14, 18, 22, 27, 20, 21, 24, 25, 23, 29, 28]]
8: [[19, 16, 9, 7, 2], [1, 3, 4, 8, 6, 5, 11, 15, 13, 18, 10, 12, 14, 23, 17, 24, 25, 20, 21, 22], [27, 26, 28, 29]]
9: [[19, 16], [9, 7, 2, 1], [3, 4, 8], [6, 5], [11, 13, 20, 18, 10, 14], [15, 17, 12, 23], [25, 22, 21, 24, 26, 28, 27, 29]]
10: [[19, 16], [9, 7, 2, 1], [3, 4, 8], [6, 5, 11, 17], [18, 13, 12, 21, 15], [10, 14, 25, 20, 22, 23, 28, 29, 27, 24, 26]]
11: [[19, 16, 9, 7, 2], [1, 3, 4, 8], [6, 5], [11, 10, 13, 12], [23, 14, 15], [21, 17, 22], [25, 18, 20, 29, 24, 26, 27, 28]]
12: [[19, 16], [9, 7], [2, 1], [3, 4, 8], [6, 5], [11, 10, 13, 14], [12, 15, 23, 29, 17, 21, 25], [18, 20, 22, 27], [26, 24, 28]]
13: [[19, 16], [9, 7, 2, 1], [3, 4, 8], [6, 5, 11, 17], [13, 14, 12, 20, 15, 10, 18, 24, 21, 22, 23, 27, 29, 25, 28, 26]]
14: [[19, 16, 9, 7, 2], [1, 3, 4, 8], [6, 5], [11, 18, 10, 12], [13, 15, 14], [21, 23, 17, 25, 20, 24, 27, 22], [26, 28, 29]]
15: [[19, 16], [9, 7, 2, 1], [3, 4, 8], [6, 5], [11, 15, 29, 18, 10, 12, 14], [23, 13, 24, 27], [26, 21, 17], [22, 28, 20, 25]]
16: [[19, 16, 9], [7, 2, 1], [3, 4], [8, 6, 5], [11, 14, 10, 18], [13, 12, 15], [23, 17, 22], [25, 20, 21], [28, 26, 24], [27, 29]]
17: [[19, 16], [9, 7, 2, 1, 3, 4, 8], [6, 5], [15, 11, 17, 12], [29, 25, 13, 20], [18, 23, 21, 24, 10], [22, 14, 27, 28, 26]]
18: [[19, 16], [9, 7], [2, 1, 3], [4, 8], [14, 5], [11, 13, 10], [22, 6, 12], [15, 17, 18], [21, 27, 26, 23], [20, 24, 29], [28, 25]]
