0: [[1, 3], [14, 6, 4], [2, 5, 7], [13, 12, 11, 9], [8, 10], [15, 16], [19, 17, 18, 20]]
1: [[1, 3], [14, 6, 4], [2, 5, 7], [13, 12], [11, 9], [8, 10], [15, 16], [19, 17, 18, 20]]
2: [[1, 3], [14, 6, 4], [2, 7, 5], [13, 12, 11], [9, 8, 10], [15, 16, 19, 17, 18, 20]]
3: [[1, 3], [14, 6, 4], [2, 5, 7], [13, 12], [11, 9], [8, 10], [15, 16, 19, 17], [18, 20]]
4: [[1, 3], [14, 6, 4], [2, 5, 7], [13, 12, 11], [9, 8, 10], [15, 16], [19, 17], [18, 20]]
5: [[1, 3], [14, 6, 4], [2, 5, 7], [13, 12, 11], [9, 8, 10], [15, 16], [19], [17, 18, 20]]
6: [[1, 3], [14, 6, 4, 2], [5, 7], [13, 12], [11], [9, 8, 10], [15, 16, 19, 17, 18, 20]]
7: [[1, 3, 14], [6, 4], [2, 5, 7], [13, 12, 11, 9], [8, 10], [15, 16], [19, 17], [18, 20]]
8: [[1, 3], [14, 6, 4], [2, 5, 7], [13, 12, 11], [8, 9, 10], [15, 16, 19], [17, 18], [20]]
9: [[1, 3, 14], [6, 4], [2, 5, 7], [13, 12, 11, 9], [8, 10, 15, 16], [19, 17, 18, 20]]
10: [[1, 14, 3], [2, 5, 7, 6, 4], [13, 12, 11], [9, 8, 10], [15, 16, 19], [17, 18, 20]]
11: [[1, 3], [14, 6, 4, 2], [5, 7], [13, 12], [11, 9], [8, 10, 15, 16, 19, 17, 18, 20]]
12: [[1, 3], [14, 6, 4], [2, 5], [7, 13], [12, 11], [9, 8, 10], [15, 16, 19], [17, 18, 20]]
13: [[1, 3], [14, 6], [4, 2], [5, 7], [13, 12, 11], [9, 8, 10], [15, 16, 19], [17, 18], [20]]
14: [[1, 3, 14], [6, 4], [2, 5, 7], [13, 12, 11], [9, 8, 10], [15, 16], [19], [17, 18, 20]]
15: [[1, 14, 3, 6], [4, 2, 5, 7], [13, 12, 11, 9], [8, 10, 15, 16, 19, 17, 18, 20]]
16: [[1, 3, 14], [5, 7, 4, 2], [13, 12], [11, 9, 8], [10, 15, 16, 6], [19, 17], [18, 20]]
17: [[1, 3], [14, 6], [4, 2], [7, 5], [13, 12], [11, 9], [8, 10, 15], [16, 19, 17], [18, 20]]
18: [[1, 3, 14, 6], [4, 2], [5, 7], [13, 12], [11, 9], [8, 10, 15, 16, 19, 17, 18, 20]]
19: [[1, 3], [14, 6], [4, 2], [5, 7], [13, 12], [11, 9], [8, 10, 15], [16, 19], [17, 18, 20]]
20: [[1, 3, 14], [6, 4, 2], [5, 7], [13, 12], [11, 9], [8, 10, 15, 16, 19, 17, 18, 20]]
21: [[1, 10, 2], [14, 4], [5], [7, 13, 12], [11, 9], [3, 8], [6, 15], [16, 19, 17, 18, 20]]
22: [[1, 3], [14, 6], [4, 2, 5], [7, 13], [12, 11], [9, 8, 10], [15, 16, 19], [17, 18], [20]]
23: [[1, 3], [14, 6], [4, 2], [5, 7], [13, 12], [11, 9, 8, 10, 15, 16, 19, 17, 18, 20]]
24: [[1, 3, 14], [6, 4], [2, 5], [7, 13], [12, 11, 9], [8, 10], [15, 16], [19, 17], [18, 20]]
25: [[1, 3], [14, 6, 4], [2, 5, 7, 13], [12, 11, 9, 8, 10, 15, 16, 19, 17, 18, 20]]
26: [[1, 3], [14, 6], [4, 2], [5, 7, 13], [10, 11, 9], [8, 12], [15, 16, 19], [17, 18, 20]]
27: [[1, 14, 5, 2], [4, 6, 15, 7, 12, 11, 9, 8, 10, 13, 3, 16], [19, 17, 18, 20]]
28: [[1], [14], [7, 2, 4, 5], [13, 12], [11, 9], [3, 8], [10, 15, 6], [16, 19], [17, 18, 20]]
29: [[1, 3], [14, 6], [4, 2], [5, 7], [9, 12, 11], [8, 13, 10, 15, 16, 19, 17, 18], [20]]
30: [[1, 3, 14], [6, 4, 2], [5, 7, 13, 12], [11, 9, 8, 10], [15, 16, 19, 17], [18, 20]]
31: [[1], [14, 6], [4, 5, 7, 2], [13, 10], [11, 9, 3], [8, 12], [15, 16, 19, 17], [18, 20]]
32: [[1, 3], [14, 6, 4], [2], [5, 7, 13], [12, 11, 9, 8, 10, 15, 16, 19, 17, 18, 20]]
33: [[1], [14, 6, 4], [5, 7], [2, 13, 10, 11], [9, 3], [8, 12, 15, 16, 19, 17, 18, 20]]
34: [[1, 14, 3], [2, 4], [5, 7, 13], [12, 11], [9, 8], [10, 15, 16, 6], [19, 17], [18, 20]]
35: [[1, 3], [14, 6, 4, 2, 5, 7, 13, 12, 11, 9, 8, 10, 15, 16, 19, 17], [18, 20]]
36: [[1, 3, 14], [6, 4, 2], [5, 7, 9], [12, 11], [8], [15, 10, 13], [16, 19, 17], [18, 20]]
37: [[1, 3], [14, 6], [4, 2], [5, 7, 13, 10, 9, 11, 8, 12, 15, 16, 19, 17, 18, 20]]
38: [[1, 3, 14], [6, 4], [2, 5], [7, 13, 12, 11], [9, 8], [10, 15, 16, 19, 17, 18, 20]]
39: [[1, 10], [2, 14], [4, 5, 7], [13, 12], [6, 11, 3], [8, 9, 15], [16, 19], [17, 18, 20]]
