0: [[1, 2], [6, 5], [19, 11, 3], [4, 12, 14], [9, 7, 17, 8], [15, 16], [18, 13, 10, 22], [25, 20], [28, 24, 23, 29], [26, 27, 21]]
1: [[1, 2, 6, 5, 19], [11, 3, 4, 13, 7, 8, 9, 10, 15, 29, 14, 24, 12, 16, 18, 17, 28, 22], [21, 27, 20, 23, 25, 26]]
2: [[1, 2], [6, 5], [19, 11, 3, 4, 14, 7, 8, 9], [10, 12, 15, 17, 13, 16, 26, 20, 21, 22, 27, 18], [28, 23, 24, 29, 25]]
3: [[1, 2, 6, 5, 19], [11, 3, 4, 12], [7, 9, 14, 13], [8, 15], [16, 10, 17, 25], [18, 20], [22, 28, 24, 23, 21], [26, 27, 29]]
4: [[1, 2], [6, 5], [19, 11, 3], [4, 12, 15], [7, 9, 10, 14, 16, 17, 8, 29, 18], [22, 13, 21, 23, 24], [26, 20, 25, 27, 28]]
5: [[1, 2, 6, 5], [19, 11, 3, 4, 14, 7, 9, 10, 24, 8, 15, 17, 12, 13, 25, 18, 29, 16, 21, 22, 23, 20], [26, 27, 28]]
6: [[1, 2, 6, 5, 19, 11, 3], [4, 12, 15, 7, 14, 8, 9, 10, 17, 13, 16], [20, 22, 23], [18, 21, 27, 26, 24, 29], [25, 28]]
7: [[1, 2, 6, 5, 19], [11, 3, 4, 7, 14], [8, 9, 13, 10, 12], [15, 16, 25, 23, 20, 17, 22, 29], [18, 26, 21, 24, 27, 28]]
8: [[1, 2], [6, 5], [19, 11, 3, 7, 4, 8, 9, 15, 29, 10, 12], [16, 28, 14, 13, 22, 24, 17, 27, 18, 20, 26, 21, 23, 25]]
9: [[1, 2], [6, 5], [19, 11, 3, 4], [14, 15, 7, 13], [9, 8], [10, 25], [24, 12], [18, 22, 16, 17, 20], [23, 21, 26, 27, 29, 28]]
10: [[1, 2], [6, 5, 19], [11, 3, 4, 12, 15, 7], [21, 14, 9, 10, 16, 8, 25, 23, 22, 29, 13, 17, 18, 26, 20, 27], [28, 24]]
11: [[1, 2], [6, 5], [19, 11, 3, 4, 12], [7, 14, 13, 8, 9, 24, 16, 10, 15, 22, 18, 21, 23], [17, 20, 27, 25, 26, 28], [29]]
12: [[1, 2, 6, 5, 19], [11, 3, 4, 14, 7, 8], [9, 24, 15, 10, 12, 13, 17, 20, 22, 16, 18, 28, 21], [29, 23, 25, 26, 27]]
13: [[1, 2, 6, 5, 19], [11, 3], [4, 12, 7], [13, 15, 25, 10, 14, 8, 9, 22, 17, 20, 27, 16, 23, 18, 21, 24, 26, 29, 28]]
14: [[1, 2, 6, 5, 19], [11, 3, 4, 12], [7, 9, 15, 13], [8, 14, 17], [10, 28, 18, 22], [24, 16, 20, 23], [21, 25], [26, 27, 29]]
15: [[1, 2], [6, 5, 19], [11, 3, 4, 12, 7, 14, 13, 10, 8, 9, 16, 24, 29, 15], [22, 17, 21, 18, 20], [26, 23, 27, 25, 28]]
16: [[1, 2], [6, 5], [19, 11], [3, 4], [14, 7, 9, 8], [10, 12, 15, 16, 13, 25], [17, 22, 18, 21, 20], [23, 26, 27, 24, 28, 29]]
17: [[1, 2], [6, 5], [19, 11, 3], [4, 12, 7, 10, 13], [8, 9, 14, 24, 15, 16, 18, 20, 17, 26, 29, 21, 22, 27, 25, 28, 23]]
18: [[1, 2], [6, 5], [19, 11, 3], [4, 8, 15, 12], [13, 25, 7, 26, 17], [9, 14, 10, 18, 16, 21], [20, 29, 22, 23, 24, 27, 28]]
19: [[1, 2, 6], [5, 19, 11, 3, 4, 8, 12, 14, 13, 9, 7, 10, 17, 22, 15, 26, 21, 18, 20, 16, 23, 27], [25, 24, 29, 28]]
20: [[1, 2], [6, 5, 19, 11, 3, 4, 14, 10, 7], [9, 25], [13, 12, 8, 15, 17], [22, 21, 23, 20, 16], [18, 24], [27, 26, 28, 29]]
21: [[1, 2, 6, 5, 19], [11, 3, 4, 14, 8, 7], [29, 10, 9, 12, 16, 13, 17, 20, 15, 22, 18, 23, 21, 28, 24, 25, 26], [27]]
22: [[1, 2], [6, 5, 19, 11, 3, 4, 12, 7, 15, 10, 8, 9, 13, 17, 14, 16, 23, 22], [21, 28, 24, 20, 18, 25, 26], [27, 29]]
23: [[1, 2], [6, 5], [19, 11, 3, 4, 12, 7], [10, 14], [13, 9, 8, 16, 15, 21, 20, 22, 17, 18, 26, 27, 23, 24, 29, 25, 28]]
24: [[1, 2], [6, 5], [19, 11, 3], [4, 14, 7], [8, 13, 9], [10, 12, 15, 16, 17, 21, 18, 20, 28, 25, 22, 23, 24, 27, 26, 29]]
25: [[1, 2], [6, 5], [19, 11, 3, 4, 12, 7], [8, 14, 15, 9, 13, 16], [10, 21], [17, 22, 18, 20, 24, 26, 23, 25, 27, 29, 28]]
26: [[1, 2, 6, 5, 19, 11], [3, 4, 12, 10, 7, 8, 13, 9, 15, 17, 14, 25, 26, 21, 16, 18, 22], [20, 23, 24, 27, 28, 29]]
27: [[1, 2, 6, 5], [19, 11, 3], [4, 12, 7, 10, 13, 8], [9, 14, 16, 24, 25, 17, 22, 20, 15, 18, 21, 26, 23, 27, 29, 28]]
