It No., Best MQ, No clusters, max clus, min clus
1,1.9833333333333334,4,9,3
2,1.9074869504852683,5,7,3
3,1.9578681552365762,5,11,2
4,2.1025030525030526,6,6,2
5,1.9157971014492754,4,9,3
6,1.952854349951124,5,8,3
7,1.903821138211382,4,9,3
8,2.002324576673,6,6,2
9,1.90329395729214,4,8,3
10,1.9109477124183005,5,10,2
11,1.856911779808976,3,11,3
12,1.983727598566308,5,9,2
13,2.129734054541357,5,10,2
14,1.856911779808976,3,11,3
15,1.9005434220951463,8,6,2
16,1.9423441734417344,5,7,2
17,1.8726695526695525,4,8,4
18,1.8622092682068034,4,11,3
19,1.9432333816054745,6,7,2
20,1.9228998149616707,4,11,3
21,1.961087070548125,4,10,3
22,1.9751382328760498,4,9,3
23,2.0305965875091894,5,11,2
24,1.9843192195931922,7,6,2
25,1.7641965877259995,4,7,4
26,1.856911779808976,3,11,3
27,2.056937554138121,6,8,2
28,1.9547196098920234,5,8,2
29,1.9879425295547584,4,9,3
30,1.9696138505913687,4,11,2
31,2.1044301965760592,7,5,2
