0: [[5, 3], [6, 9], [1, 10, 4, 8, 11, 2], [7, 12, 13]]
1: [[3, 5], [6, 9], [2, 1, 10, 4], [8, 11, 7, 12, 13]]
2: [[3, 5], [6, 9], [2, 1, 10, 4], [8, 11, 7, 12, 13]]
3: [[3, 5], [6, 9], [2, 1, 10, 4], [8, 11, 7, 12, 13]]
4: [[3, 5], [6, 9], [2, 1, 10, 4], [8, 11, 7, 12, 13]]
5: [[3, 5], [6, 9], [2, 1, 10, 4], [8, 11, 7, 12, 13]]
6: [[3, 5], [6, 9], [2, 1, 10, 4], [8, 11, 7, 12, 13]]
7: [[3, 5], [6, 9], [2, 1, 10, 4], [8, 11, 7, 12, 13]]
8: [[3, 5], [6, 9], [2, 1, 10, 4], [8, 11, 7, 12, 13]]
9: [[3, 5], [6, 9], [2, 1, 10, 4], [8, 11, 7, 12, 13]]
10: [[3, 5], [6, 9], [2, 1, 10, 4], [8, 11, 7, 12, 13]]
11: [[3, 5], [6, 9], [2, 1, 10, 4], [8, 11, 7, 12, 13]]
12: [[5, 3], [6, 9], [1, 10, 4, 8, 11, 2], [7, 12, 13]]
13: [[5, 3], [6, 9], [1, 10, 4, 8, 11, 2], [7, 12, 13]]
14: [[3, 5], [6, 9], [2, 1, 10, 4, 8], [11, 7, 12, 13]]
15: [[3, 5], [6, 9], [2, 1, 10, 4, 8], [11, 7, 12, 13]]
16: [[3, 5], [6, 9], [2, 1, 10, 4, 8], [11, 7, 12, 13]]
17: [[3, 5], [6, 9], [2, 1, 10, 4, 8], [11, 7, 12, 13]]
18: [[3, 5], [6, 9], [2, 1, 10, 4, 8], [11, 7, 12, 13]]
19: [[3, 5], [6, 9], [2, 1, 10, 4, 8], [11, 7, 12, 13]]
20: [[3, 5], [6, 9], [2, 1, 10, 4, 8], [11, 7, 12, 13]]
21: [[3, 5], [6, 9], [2, 1, 10, 4, 8], [11, 7, 12, 13]]
22: [[3, 5], [6, 9], [2, 1, 10, 4, 8], [11, 7, 12, 13]]
23: [[3, 5], [6, 9], [2, 1, 10, 4, 8], [11, 7, 12, 13]]
24: [[3, 5], [6, 9], [2, 1, 10, 4, 8], [11, 7, 12, 13]]
25: [[3, 5], [6, 9], [1, 10, 4, 8, 11], [12, 13, 2, 7]]
26: [[3, 5], [6, 9], [2, 1, 10], [4, 8, 11, 7, 12, 13]]
27: [[3, 5], [6, 9], [2, 1, 10], [4, 8, 11, 7, 12, 13]]
