0: [[7, 13], [10, 4], [1, 5, 3], [6, 8, 11, 9], [2, 12]]
1: [[7, 13], [10, 4], [1, 5, 3], [6, 8, 11, 9], [2, 12]]
2: [[7, 13], [10, 4], [1, 5, 3], [6, 8, 11], [9, 2, 12]]
3: [[7, 13], [10, 4], [1, 5, 3], [6, 8, 11], [9, 2, 12]]
4: [[7, 13], [10, 4], [1, 5, 3], [6, 8, 11], [9, 2, 12]]
5: [[7, 13], [10, 4, 1], [5, 3], [6, 8, 11], [9, 2, 12]]
6: [[7, 13], [10, 4], [1, 5, 3], [6, 8, 11, 9, 12, 2]]
7: [[13], [10, 4], [3, 5, 1], [6, 8, 7, 9, 12, 11, 2]]
8: [[13], [10, 4], [1, 5, 3], [8, 6], [11, 9, 7], [12, 2]]
9: [[13], [10, 4], [1, 5, 2, 3], [6, 8], [11, 9], [12, 7]]
10: [[13], [10, 1, 4], [5, 3], [8, 11, 7], [9, 6], [12, 2]]
11: [[7, 13], [10, 4, 1], [5, 3, 6], [8, 11], [9, 2, 12]]
12: [[7, 13], [10, 4, 1], [5, 3, 6], [8, 11, 9], [2, 12]]
13: [[7, 13], [10, 4, 1], [5, 3, 6], [8, 11, 9], [2, 12]]
14: [[7, 13, 10], [4, 1], [5, 3], [6, 8, 11], [9, 2, 12]]
15: [[13], [10, 5, 1, 2], [3, 6, 4], [11, 8], [9, 12, 7]]
16: [[7, 13], [10, 4], [1, 5, 2], [3, 6, 8, 11, 9, 12]]
17: [[7, 13], [10, 4, 1, 5, 3, 6, 8, 11, 9, 2], [12]]
18: [[10, 5], [1], [3, 6, 8, 4], [11, 9], [13, 12, 2, 7]]
19: [[7, 13], [10], [4, 1, 5, 3, 6, 8, 11, 9, 2, 12]]
20: [[7, 13], [10, 4], [1, 5], [3, 6], [8, 11], [9, 2, 12]]
21: [[9], [1], [5, 3], [8, 11, 10, 4], [12, 13, 6, 2, 7]]
22: [[1], [11, 9, 4], [5, 3, 6], [8, 10, 13, 2, 7], [12]]
23: [[5, 12], [10], [1], [6, 8, 3, 4], [9, 11, 13, 7, 2]]
24: [[7, 13, 10], [4, 1, 5], [3, 6, 8, 11, 9, 2, 12]]
25: [[7, 13, 10], [4, 1, 5], [3, 6], [8, 11, 9], [2, 12]]
26: [[13], [4], [1, 5, 10, 2], [3, 6, 8, 11, 9, 12, 7]]
27: [[7, 13, 10], [4, 1, 5], [3, 6], [8], [11, 9, 2, 12]]
