0: [[10, 19, 7, 14, 11], [2, 3, 6, 13, 9, 1, 4], [5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
1: [[10, 19, 7, 14, 11], [1, 2, 3, 6, 13, 9, 4], [5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
2: [[10, 19, 7, 14, 11], [1, 2, 3, 6, 13, 9, 4], [5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
3: [[10, 19, 7, 14, 11], [1, 2, 3, 6, 13, 9, 4], [5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
4: [[10, 19, 7, 14, 11], [1, 2, 3, 6, 13, 9, 4], [5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
5: [[10, 19, 7, 14, 11], [1, 2, 3, 6, 13, 9, 4], [5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
6: [[10, 19, 7, 14, 11], [1, 2, 3, 6, 13, 9, 4], [5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
7: [[10, 19, 7, 14, 11], [1, 2, 3, 6, 13, 9, 4], [5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
8: [[10, 19, 7, 14, 11], [1, 2, 3, 6, 13, 9, 4], [5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
9: [[10, 19, 7, 14, 11], [1, 2, 3, 6, 13, 9, 5, 4], [8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
10: [[10, 19, 7, 14, 11, 1, 2, 4], [3, 6, 13, 9], [5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
11: [[10, 19, 7, 14, 11, 1, 2, 4], [3, 6, 13, 9], [5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
12: [[10, 19, 7, 14, 11], [1, 2, 3, 6, 13, 9, 5, 8, 4], [15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
13: [[10, 19, 7, 14, 11, 1, 2, 4], [3, 6, 13, 9, 5], [8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
14: [[10, 19, 7, 14, 11, 1, 2, 4], [3, 6, 13, 9, 5, 8], [15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
15: [[10, 19, 7, 14, 11, 1, 2, 4], [3, 6, 13, 9, 5, 8], [15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
16: [[10, 19, 7, 14, 11, 1, 2, 3, 4], [6, 13, 9, 5, 8], [15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
17: [[10, 19, 7, 14], [11, 1, 2, 3, 6, 13, 4], [9, 5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
18: [[10, 19, 7, 14], [11, 1, 2, 3, 6, 13, 4], [9, 5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
19: [[10, 19, 7, 14], [11, 1, 2, 3, 6, 13, 4], [9, 5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
20: [[10, 19, 7, 14], [11, 1, 2, 3, 6, 13, 4], [9, 5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
21: [[10, 19, 7, 14], [11, 1, 2, 3, 6, 13, 4], [9, 5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
22: [[10, 19, 7, 14, 11, 1, 2, 4], [3, 6, 13, 9, 5, 8, 15, 12], [16, 17, 18, 20], [21, 23, 22, 24]]
23: [[10, 19, 7, 14], [11, 1, 2, 3, 6, 13, 9, 5, 4], [8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
24: [[10, 19, 7, 14, 11, 1, 4], [2, 3, 6, 13, 9], [5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
25: [[10, 19, 7, 14, 11, 1, 2, 3, 4], [6, 13, 9, 5, 8, 15, 12], [16, 17, 18, 20], [21, 23, 22, 24]]
26: [[10, 19, 7, 14, 11, 1, 4], [2, 3, 6, 13, 9], [5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
27: [[10, 19, 7, 14, 11, 1, 4], [2, 3, 6, 13, 9], [5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
28: [[10, 19, 7, 14, 11, 1, 4], [2, 3, 6, 13, 9], [5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
29: [[10, 19, 7, 14, 11, 1, 4], [2, 3, 6, 13, 9], [5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
30: [[10, 19, 7, 14, 11, 1, 2, 4], [3, 6, 13, 9, 5, 8, 12], [15, 16, 17, 18, 20], [21, 23, 22, 24]]
31: [[10, 19, 7, 14, 11, 1, 2, 4], [3, 6, 13, 9, 5, 8, 12], [15, 16, 17, 18, 20], [21, 23, 22, 24]]
32: [[10, 19, 7, 14, 11, 1, 2, 4], [3, 6, 13, 9, 5, 8, 12], [15, 16, 17, 18, 20], [21, 23, 22, 24]]
33: [[10, 19, 7, 14, 11, 1, 2, 4], [3, 6, 13, 9, 5, 8, 12], [15, 16, 17, 18, 20], [21, 23, 22, 24]]
34: [[10, 19, 7, 14, 11, 1, 2, 4], [3, 6, 13, 9, 5, 8, 12], [15, 16, 17, 18, 20], [21, 23, 22, 24]]
35: [[10, 19, 7, 14, 11, 1, 2, 4], [3, 6, 13, 9, 5, 8, 12], [15, 16, 17, 18, 20], [21, 23, 22, 24]]
