0: [[5, 11, 26, 19], [1, 3, 22, 2], [12, 6, 4], [15, 8], [7, 9], [14, 10, 29], [16, 20, 23, 13], [18, 24], [17, 21, 27], [25, 28], [30, 31, 32, 34, 33], [35], [37, 36]]
1: [[5, 11, 26], [19, 1, 3], [22, 2, 12], [6, 4, 15], [8, 7, 9], [14, 10, 29], [16, 20, 23, 13], [18, 24], [17, 21, 27], [25, 28], [30], [31, 32, 34], [33, 35, 37, 36]]
2: [[5, 11, 26, 19], [1, 3, 22, 2], [12, 6, 4, 15], [8, 7, 9], [14, 10], [29, 16, 20], [23, 13], [18, 24, 17], [21, 27, 25, 28], [30, 31], [32, 34, 33], [35, 37, 36]]
3: [[5, 11, 26], [19, 1, 3], [22, 2, 12], [6, 4], [15, 8, 7, 9], [14, 10, 29], [16, 20, 23], [13, 18, 24], [17, 21, 27], [25, 28], [30, 31, 32], [34, 33, 35], [37, 36]]
4: [[5, 11], [26, 19], [1, 3], [22, 2], [12, 6, 4], [15, 8, 7], [9], [14, 10], [29, 16, 20], [23, 13], [18, 24], [17, 21, 27], [25, 28], [30, 31, 32], [34, 33, 35], [37, 36]]
5: [[5, 11, 26], [19, 1, 3], [22, 2, 12], [6, 4, 15], [8, 7, 9], [14, 10, 29], [16, 20, 23, 13], [18, 24, 17, 21, 27], [25, 28], [30, 31, 32], [34, 33], [35], [37, 36]]
6: [[5, 11, 26], [19, 1], [3, 22, 2], [12], [6, 4, 15], [8, 7, 9], [14, 10, 29], [16, 20, 23], [13, 18], [24, 17, 21, 27], [25, 28], [30, 31, 32], [34, 33], [35, 37, 36]]
7: [[5, 11], [26, 19], [1, 3], [22, 2, 12], [6, 4, 15], [8], [7, 9], [14, 10, 29], [16, 20], [23, 13], [18, 24], [17, 21], [27, 25, 28], [30, 31, 32], [34, 33], [35, 37, 36]]
8: [[5, 11, 26], [19, 1, 3], [22, 2, 12], [6, 4, 15], [8, 7, 9], [14], [10, 29], [16, 20, 23], [13, 18], [24, 17], [21, 27], [25, 28], [30, 31, 32], [34, 33, 35], [37, 36]]
9: [[5, 11, 26], [19, 1, 3], [22, 2, 12], [6, 4, 15], [8, 7, 9], [14], [10, 29], [16, 20, 23], [13, 18], [24, 17], [21, 27], [25, 28], [30, 31, 32], [34, 33, 35], [37, 36]]
10: [[5, 11, 26], [19, 1, 3], [22, 2], [12, 6], [4, 15], [8, 7, 9], [14, 10, 29], [16, 20, 23], [13], [18, 24], [17, 21], [27, 25, 28], [30, 31, 32], [34, 33], [35, 37, 36]]
11: [[5, 11], [26, 19], [1, 3], [22, 2], [12, 6, 4], [15, 8, 7], [9], [14, 10], [29, 16, 20], [23, 13], [18, 24, 17], [21, 27, 25, 28], [30, 31, 32, 34, 33, 35, 37, 36]]
12: [[5, 11, 26, 19], [1, 3, 22, 2], [12, 6, 4], [15, 8, 7, 9], [14, 10], [29, 16], [20, 23, 13], [18, 24, 17], [21, 27, 25], [28, 30], [31, 32], [34, 33, 35, 37, 36]]
13: [[5, 11], [26], [19, 1, 3], [22, 2, 12], [6, 4, 15], [8, 7, 9], [14, 10, 29], [16, 20, 23], [13, 18, 24], [17, 21], [27, 25, 28], [30, 31, 32], [34, 33], [35, 37, 36]]
14: [[5, 11, 26], [19, 1, 3], [22, 2, 12], [6, 4, 15, 8], [7, 9, 14], [10, 29, 16], [20, 23, 13], [18, 24, 17], [21, 27, 25, 28, 30, 31, 32, 34, 33], [35, 37, 36]]
15: [[5, 11, 26], [19, 1, 3], [22, 2, 12], [6, 4, 15], [8, 7], [9, 14, 10], [29, 16], [20, 23, 13], [18, 24, 17], [21, 27, 25], [28, 30], [31, 32, 34], [33, 35, 37, 36]]
16: [[5, 11, 26], [19, 1, 3], [22], [2, 12], [6, 4, 15], [8, 7], [9, 14, 10], [29, 16], [20, 23], [13], [18, 24], [17, 21], [27, 25, 28], [30, 31, 32], [34, 33], [35, 37, 36]]
