0: [[68, 66, 14], [64, 65], [41, 40, 71, 18, 60], [12, 51, 80, 22, 50, 15], [79, 82], [8, 2, 73, 44, 3, 78], [11, 37], [38, 42], [76, 27], [7, 43, 53, 1], [62, 35, 34], [52, 4], [20, 5], [6, 9, 10], [23, 13, 16], [17, 24, 21], [31, 29, 33, 30], [36, 19, 39], [25, 74, 28], [47, 70, 56], [63, 45], [49, 26, 54, 69], [58, 85, 32, 87], [48, 61], [88, 57], [86, 67, 84], [81, 83, 59, 46, 75, 77, 55, 72]]
1: [[68, 66, 14], [64, 65], [41, 40, 71, 18, 60], [12, 51, 80, 22, 50, 15], [79, 82], [8, 2, 73, 44, 3, 78], [11, 37], [38, 42], [76, 27], [7, 43, 53, 1], [62, 35, 34], [52, 4], [20, 5], [6, 9, 10], [23, 13, 16], [17, 24, 21], [31, 29, 33, 30], [36, 19, 39], [25, 74, 28], [47, 70, 56], [63, 45], [49, 26, 54, 69], [58, 85, 32, 87], [48, 61], [88, 57], [86, 67, 84], [81, 83, 59, 46, 75, 77, 55, 72]]
2: [[68, 66, 14], [64, 65], [41, 40, 71, 18, 60], [12, 51, 80, 22, 50, 15], [79, 82], [8, 2, 73, 44, 3, 78], [11, 37], [38, 42], [76, 27], [7, 43, 53, 1], [62, 35, 34], [52, 4], [20, 5], [6, 9, 10], [23, 13, 16], [17, 24, 21], [31, 29, 33, 30], [36, 19, 39], [25, 74, 28], [47, 70, 56], [63, 45], [49, 26, 54, 69], [58, 85, 32, 87], [48, 61], [88, 57], [86, 67, 84], [81, 83, 59, 46, 75, 77, 55, 72]]
3: [[68, 66, 14], [64, 65], [41, 40, 71, 18, 60], [12, 51, 80, 22, 50, 15], [79, 82], [8, 2, 73, 44, 3, 78], [11, 37], [38, 42], [76, 27], [7, 43, 53, 1], [62, 35, 34], [52, 4], [20, 5], [6, 9, 10], [23, 13, 16], [17, 24, 21], [31, 29], [33, 30, 36, 19, 39, 25], [74, 28], [47, 70], [56, 63, 45], [49, 26], [54, 69, 58], [85, 32, 87, 48, 61, 88, 57, 86, 67, 84, 81, 83, 59, 46, 75, 77, 55, 72]]
4: [[68, 66, 14], [64, 65], [41, 40, 71], [18, 60, 12], [51, 80], [22, 50, 15], [79, 82], [8, 2, 73, 44], [3, 78, 11], [37, 38, 42], [76, 27, 7], [43, 53, 1], [62, 35], [34, 52, 4], [20, 5], [6, 9, 10], [23, 13, 16], [17, 24, 21, 31], [29, 33, 30], [36, 19, 39], [25, 74, 28], [47, 70], [56, 63, 45, 49], [26, 54, 69, 58], [85, 32], [87, 48, 61], [88, 57, 86, 67, 84], [81, 83, 59, 46, 75], [77, 55, 72]]
5: [[68, 66, 14], [64, 65], [41, 40, 71, 18, 60], [12, 51, 80, 22, 50, 15], [79, 82], [8, 2, 73, 44, 3, 78], [11, 37], [38, 42, 76], [27, 7, 43], [53, 1, 62], [35, 34], [52, 4, 20], [5, 6, 9], [10, 23, 13, 16], [17, 24, 21], [31, 29], [33, 30, 36], [19, 39, 25], [74, 28, 47, 70, 56], [63, 45], [49, 26, 54], [69, 58, 85, 32, 87], [48, 61], [88, 57], [86, 67], [84, 81, 83, 59, 46, 75, 77, 55, 72]]
6: [[68, 66, 14], [64, 65], [41, 40, 71, 18, 60], [12, 51, 80, 22, 50, 15], [79, 82], [8, 2, 73], [44, 3], [78, 11, 37], [38, 42], [76, 27, 7], [43, 53, 1], [62, 35, 34], [52, 4], [20, 5], [6, 9, 10], [23, 13, 16], [17, 24, 21], [31, 29, 33], [30, 36, 19], [39, 25, 74, 28], [47, 70], [56, 63, 45, 49], [26, 54], [69, 58, 85, 32], [87, 48, 61, 88, 57, 86, 67, 84, 81, 83, 59, 46, 75, 77, 55, 72]]
7: [[68, 66, 14], [64, 65], [41, 40, 71, 18, 60], [12, 51, 80, 22, 50, 15], [79, 82], [8, 2, 73, 44, 3, 78], [11, 37], [38, 42], [76, 27], [7, 43, 53, 1], [62, 35, 34], [52, 4, 20], [5, 6], [9, 10], [23, 13, 16, 17, 24, 21, 31, 29, 33, 30, 36, 19, 39, 25], [74, 28, 47, 70, 56, 63, 45, 49, 26, 54, 69, 58, 85, 32, 87], [48, 61, 88, 57, 86, 67, 84, 81, 83, 59, 46, 75, 77, 55, 72]]
8: [[68, 66, 14], [64, 65], [41, 40, 71, 18, 60], [12, 51, 80, 22, 50, 15], [79, 82], [8, 2, 73, 44, 3, 78], [11, 37], [38, 42], [76, 27, 7], [43, 53, 1], [62, 35, 34], [52, 4, 20, 5], [6, 9, 10, 23], [13, 16], [17, 24, 21, 31, 29, 33], [30, 36, 19], [39, 25, 74], [28, 47, 70], [56, 63, 45], [49, 26, 54, 69], [58, 85, 32, 87, 48, 61], [88, 57, 86, 67, 84], [81, 83, 59, 46, 75, 77, 55, 72]]
9: [[68, 66, 14], [64, 65], [41, 40, 71, 18, 60], [12, 51, 80, 22, 50, 15], [79, 82], [8, 2, 73, 44, 3, 78], [11, 37], [38, 42], [76, 27, 7], [43, 53, 1], [62, 35, 34], [52, 4, 20], [5, 6, 9, 10], [23, 13, 16, 17, 24, 21, 31, 29], [33, 30, 36, 19, 39], [25, 74, 28, 47, 70, 56, 63, 45, 49], [26, 54, 69, 58, 85, 32, 87, 48, 61, 88], [57, 86, 67, 84, 81, 83, 59, 46, 75, 77, 55, 72]]
10: [[68, 66, 14], [64, 65], [41, 40, 71, 18, 60], [12, 51, 80], [22, 50], [15, 79], [82, 8, 2], [73, 44], [3, 78, 11], [37, 38, 42], [76, 27, 7], [43, 53, 1], [62, 35, 34], [52, 4], [20, 5, 6], [9, 10], [23, 13, 16], [17, 24, 21], [31, 29, 33], [30, 36], [19, 39], [25, 74, 28], [47, 70, 56], [63, 45, 49], [26, 54, 69], [58, 85, 32], [87, 48, 61, 88], [57, 86], [67, 84, 81, 83], [59, 46], [75, 77, 55, 72]]
