It No., Best MQ, No clusters, max clus, min clus
1,2.1449916429542917,7,10,2
2,1.6638804025608354,7,8,2
3,1.2734804182172603,3,10,9
4,1.9117813833260988,5,12,2
5,1.678146736222579,5,11,3
6,1.4029575029555594,4,9,5
7,1.3851778407964717,4,10,6
8,1.4938428293113672,4,10,6
9,1.302895622895623,3,10,9
10,1.4762505286533298,4,8,6
11,1.7346451350570666,4,15,3
12,2.004485639906715,6,10,2
13,1.4138047445255475,4,10,4
14,1.950948379828661,6,11,2
15,1.8763140481537932,5,11,2
16,1.95419693586177,9,6,2
17,1.8184432758304168,5,9,3
18,1.4981876880181964,4,9,6
19,1.5252503549415872,4,9,6
20,1.9295638834100375,6,11,2
21,1.4251346050989482,4,9,6
22,1.5164357776850195,4,11,5
23,1.91057789743425,7,7,2
24,1.9114545454545455,5,11,2
25,1.9099491626492018,7,9,2
26,1.47703274746859,4,14,2
27,1.9004718335753337,5,11,2
28,1.7754844853636458,5,13,2
29,1.9396469704351478,5,16,3
30,1.832260101010101,6,7,3
31,1.7102815559497997,5,10,2
