0: [[4, 6], [3, 11, 1], [2, 5, 7, 10, 8], [9, 12, 13], [15, 14, 16, 18, 20, 19, 17]]
1: [[4, 6], [3, 11], [1, 2, 5, 7, 10, 8], [9, 12, 13], [15, 14, 16, 18, 20, 19, 17]]
2: [[4, 6], [3, 11, 1], [2, 5, 7, 10], [8, 9, 12, 13], [15, 14, 16, 18, 20, 19, 17]]
3: [[3, 11, 4, 6], [1, 2, 5, 7], [10, 8], [9, 12, 13], [15, 14, 16, 18, 20, 19, 17]]
4: [[6, 3, 4], [1], [2, 5, 7, 10, 8, 9], [12, 13, 11], [15, 14, 16, 18, 20, 19, 17]]
5: [[6, 3, 4], [1], [2, 5, 7, 10, 8, 9], [12, 13, 11], [15, 14, 16, 18, 20, 19, 17]]
6: [[4, 6], [3, 11], [1, 2, 5, 7, 10, 8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
7: [[4, 6], [3, 11], [1, 2, 5, 7, 10, 8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
8: [[4, 6], [3, 11, 1], [2, 5, 7, 10, 8], [9, 12, 13, 15], [14, 16, 18, 20, 19, 17]]
9: [[3, 11, 1, 4, 6], [2, 5, 7], [10, 8], [9, 12, 13], [15, 14, 16, 18, 20, 19, 17]]
10: [[3, 11, 1, 4, 6], [2, 5, 7], [10, 8], [9, 12, 13], [15, 14, 16, 18, 20, 19, 17]]
11: [[3, 11, 4, 6], [1, 2], [5, 7, 10, 8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
12: [[3, 11, 4, 6], [1, 2], [5, 7, 10, 8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
13: [[3, 11, 1, 2, 4, 6], [5, 7, 10, 8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
14: [[3, 11, 1, 2, 4, 6], [5, 7, 10, 8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
15: [[3, 11, 1, 2, 4, 6], [5, 7, 10, 8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
16: [[3, 11, 4, 6], [1, 2, 5, 7], [10, 8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
17: [[3, 11, 1, 2, 5, 7, 4, 6], [10, 8], [9, 12, 13], [15, 14, 16, 18, 20, 19, 17]]
18: [[3, 11, 1, 2, 4, 6], [5, 7, 10], [8, 9, 12, 13], [15, 14, 16, 18, 20, 19, 17]]
19: [[3, 11, 1, 4, 6], [2, 5, 7, 10], [8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
20: [[3, 11, 4, 6], [1, 2, 5, 7, 10], [8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
21: [[3, 11, 4, 6], [1, 2, 5, 7, 10], [8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
22: [[3, 11, 1, 2, 4, 6], [5, 7], [10, 8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
23: [[3, 11, 1, 2, 4, 6], [5, 7, 10], [8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
24: [[3, 11, 1, 4, 6], [2, 5, 7], [10, 8], [9, 12, 13, 15], [14, 16, 18, 20, 19, 17]]
25: [[3, 11, 1, 4, 6], [2, 5, 7], [10, 8], [9, 12, 13, 15], [14, 16, 18, 20, 19, 17]]
26: [[3, 11, 1, 2, 4, 6], [5, 7, 10], [8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
27: [[4, 6], [3, 11], [1, 2, 5, 7, 10, 8], [9, 12], [13, 15, 14, 16, 18, 20, 19, 17]]
28: [[3, 4, 6], [11, 1, 2, 5, 7], [10, 8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
29: [[3, 4, 6], [11, 1, 2, 5, 7], [10, 8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
30: [[3, 4, 6], [11, 1, 2, 5, 7], [10, 8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
31: [[3, 11, 1, 2, 5, 4, 6], [7, 10, 8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
32: [[3, 11, 1, 2, 4, 6], [5, 7, 10, 8], [9, 12, 13, 15], [14, 16, 18, 20, 19, 17]]
33: [[3, 4, 6], [11, 1], [2, 5, 7], [10, 8, 9, 12, 13], [15, 14, 16, 18, 20, 19, 17]]
34: [[4, 6], [3, 11], [1, 2, 5, 7, 10], [8, 9], [12, 13, 15, 14, 16, 18, 20, 19, 17]]
35: [[4, 3, 11, 1, 6, 2], [5, 7], [10, 8], [9, 12], [13, 15, 14, 16, 18, 20, 19, 17]]
36: [[3, 11, 1, 2, 5, 7, 10, 4, 6], [8, 9], [12, 13], [15, 14, 16, 18, 20, 19, 17]]
37: [[4, 6, 3], [11, 1, 2, 5], [7, 10, 8], [9, 12], [13, 15, 14, 16, 18, 20, 19, 17]]
38: [[3, 11, 6], [1, 2, 5, 7, 10, 8, 9, 12], [13, 15, 4], [14, 16, 18, 20, 19, 17]]
39: [[3, 11, 6], [1, 2, 5, 7, 10, 8, 9, 12], [13, 15, 4], [14, 16, 18, 20, 19, 17]]
40: [[4, 6, 3, 11], [1, 2, 5], [7, 10], [8, 9, 12], [13, 15, 14, 16, 18, 20, 19, 17]]
41: [[4, 6], [3, 11, 1, 5], [7, 10, 2], [8, 9, 12], [13, 15, 14, 16, 18, 20, 19, 17]]
