0: [[20, 3], [4, 8], [9, 13, 22], [18, 19, 2], [24, 15, 7], [1, 17, 6], [11, 16, 10, 12], [28, 23], [29, 14], [5, 25], [21, 26, 27]]
1: [[20, 3], [4, 8], [9, 13], [22, 18], [19, 2, 24], [15, 7, 1], [17, 6, 11], [16, 10, 12], [28, 23], [29, 14], [5, 25], [21, 26, 27]]
2: [[20, 3], [4, 8, 9], [13, 18, 22], [19, 2], [24, 15, 7], [1, 17], [6, 11], [16, 10, 12], [28, 23], [29, 14], [5, 25], [21, 26, 27]]
3: [[20, 3], [4, 8], [9, 13], [22, 18, 19], [2, 24, 15], [7, 1], [17, 6, 11], [16, 10, 12], [28, 23], [29, 14], [5, 25], [21, 26, 27]]
4: [[20, 3], [4, 8], [9, 13, 22], [18, 19], [2, 24], [15, 7], [1, 17, 6], [11, 16, 10], [12, 23], [28, 29, 14], [5, 25], [21, 26, 27]]
5: [[20, 3], [4, 8], [9, 13], [22, 18], [19, 2], [24, 15, 7], [1, 17], [6, 11, 16], [10, 12], [28, 23], [29, 14], [5, 25], [21, 26, 27]]
6: [[20, 3], [4, 8], [9, 13, 22], [18, 19], [2, 24, 15], [7, 1], [17, 6], [11, 16, 10], [12, 28, 23], [29, 14], [5, 25], [21, 26, 27]]
7: [[20, 3], [4, 8], [9, 13], [18, 19], [2, 24], [15, 7, 1], [17, 6, 11], [16, 12, 28], [10, 22], [23, 29, 14], [5, 25], [21, 26, 27]]
8: [[20, 3], [4, 8], [9, 13, 22], [18, 19, 2], [24, 15, 7], [1, 17], [6, 11], [16, 10, 12], [28, 23, 29], [14, 5, 25], [21, 26, 27]]
9: [[20, 3], [4, 8], [9, 13, 22], [18, 19, 2], [24, 15, 7], [1, 17, 6], [11, 16, 10, 12], [28, 23], [29, 14, 5], [25, 21, 26, 27]]
10: [[20, 3], [4, 8], [9, 13], [22, 18], [19, 2], [24, 15, 7], [1, 17], [6, 11, 16], [10, 12, 23], [28, 29, 14], [5, 25], [21, 26, 27]]
11: [[20, 3], [4, 8, 9], [13, 22, 18], [19, 2, 24], [15, 7, 1], [17, 6, 11], [16, 10, 12], [28, 23], [29], [14, 25, 5], [21, 26, 27]]
12: [[20, 3], [4, 8], [9, 13, 22], [18, 19], [2, 24, 15], [7, 1, 17], [6, 11], [16, 10], [12, 28], [23, 29, 14], [5, 25], [21, 26, 27]]
13: [[20, 3], [4, 8, 9], [13, 22], [18, 19, 2], [24, 15], [7, 1, 17], [6, 11, 16], [10, 12], [23, 28, 29, 14], [5, 25], [21, 26, 27]]
14: [[20, 3], [4, 8], [9, 13], [22, 18, 19], [2, 24, 15], [7, 1, 17], [6, 11], [16, 10], [12, 28], [23, 29, 14], [5, 25], [21, 26, 27]]
15: [[20, 3], [4, 8], [9, 13], [18, 19], [2, 24], [15, 7], [1, 17], [6, 11, 22], [16, 10, 12], [28, 23, 29], [5, 25], [21, 14], [26, 27]]
16: [[20, 3], [4, 8], [9, 13], [18], [19, 2, 24], [15, 7, 1, 17], [6, 11, 16, 12, 22], [28, 23, 29, 10], [5, 25], [21, 26, 27, 14]]
17: [[20, 3], [4, 8], [9, 13], [22, 18, 19], [2, 24, 15], [7, 1, 17], [6, 11], [16, 10, 12], [28, 23, 29], [14, 5, 25], [21, 26, 27]]
18: [[20, 3], [4, 8], [9, 13], [22, 18, 19], [2, 24, 15], [7, 1, 17], [6, 11], [16, 10, 12], [28, 23, 29], [14, 5, 25], [21, 26, 27]]
19: [[20, 3], [4, 8], [9, 13], [18, 19], [2, 24], [15, 7], [1, 17, 6], [11, 16, 22], [28, 10], [12, 23, 29], [14, 5, 25], [21, 26, 27]]
20: [[20, 3], [4, 8], [9, 13, 22], [18, 19, 2], [24, 15, 7], [1, 17, 6], [11, 16], [28, 23, 29, 10, 12], [5, 25], [21, 26, 27, 14]]
21: [[20, 3], [4, 8], [9, 13], [22, 18], [19, 2], [24, 15, 7], [1, 17, 6], [11, 16, 10], [12, 28, 23], [29, 5, 25], [14, 21], [26, 27]]
22: [[20, 3], [4, 8, 9], [13, 22, 18], [19, 2, 24, 15], [7, 1, 17], [6, 11], [16, 10, 12], [28, 23, 29], [14, 5, 25], [21, 26, 27]]
23: [[20, 3], [4, 8], [9, 13], [22, 18, 19], [2, 24, 15], [7, 1, 17], [6, 11, 16], [10, 12], [28, 23, 29], [14, 5, 25], [21, 26, 27]]
24: [[20, 3], [4, 8], [9, 13, 22], [18, 19, 2], [24, 15, 7], [1, 17], [6, 11], [16, 10], [12, 28, 23], [29, 14], [5, 25, 21], [26, 27]]
25: [[20, 3], [4, 8, 9], [13, 22, 18], [19, 2, 24], [15, 7], [1, 17, 6], [11, 16], [10, 12, 23], [28, 29], [14, 5, 25], [21, 26, 27]]
26: [[20, 3], [4, 8], [9, 13, 22], [18, 19, 2], [24, 15, 7], [1, 17], [6, 11], [16, 10, 12], [28, 23, 29], [14, 5, 25, 21], [26, 27]]
27: [[20, 3], [4, 8, 9], [13, 22, 18], [19, 2, 24], [15, 7], [1, 17, 6], [11, 16, 10], [12, 28, 23], [29, 14, 5], [25, 21, 26, 27]]
28: [[20, 3], [4, 8], [9, 13], [22, 18, 19], [2, 24], [15, 7], [1, 17, 6], [11, 16, 10], [12, 28, 23], [29, 14, 5], [25, 21, 26, 27]]
29: [[20, 3], [4, 8], [9, 13], [22, 18, 19], [2, 24], [15, 7], [1, 17, 6], [11, 16, 10], [12, 28, 23], [29, 14, 5], [25, 21, 26, 27]]
30: [[20, 3], [4, 8], [9, 13], [18], [19, 2], [24, 15], [7, 1], [17, 6], [11, 16, 22], [28, 23, 10, 12], [29], [5, 25, 14], [21, 26, 27]]
31: [[20, 3], [4, 8, 9], [13, 22, 18], [19, 2, 24], [15, 7, 1, 17, 6, 11, 16, 10, 12, 28, 23, 29, 14, 5], [25, 21, 26, 27]]
32: [[20, 3], [4, 8, 9], [13, 22], [18, 19], [2, 24], [15, 7, 1], [17, 6, 11], [16, 10, 12], [28, 23, 29], [14, 5, 25, 21], [26, 27]]
33: [[20, 3], [4, 8], [9, 13, 18], [19, 2, 24], [22, 15], [7, 1], [17, 6, 11], [16, 10, 12], [28, 23], [29, 14], [5, 25, 21], [26, 27]]
34: [[20, 3], [4, 8], [9, 13], [22, 18], [19, 2, 24], [15, 7], [1, 17], [6, 11, 16], [10, 12], [28, 23], [29, 14], [5, 25, 21], [26, 27]]
35: [[20, 3], [4, 8, 9], [13, 22], [18, 19, 2], [24, 15, 7], [1, 17, 6], [11, 16], [10, 12], [28, 23, 29], [14, 5, 25, 21], [26, 27]]
36: [[20, 3], [4, 8], [9, 13], [22, 18, 19], [2, 24, 15], [7, 1, 17], [6, 11, 16], [10, 12, 28], [23, 29], [14, 5, 25], [21, 26, 27]]
37: [[20, 3], [4, 8], [9, 13], [22, 18, 19], [2, 24, 15], [7, 1], [17, 6, 11], [16, 10], [12, 23, 28], [29, 14], [5, 25, 21], [26, 27]]
38: [[20, 3], [4, 8], [9, 13, 22], [18, 19, 2], [24, 15], [7, 1], [17, 6], [11, 16], [10, 12, 28], [23, 29, 14], [5, 25, 21], [26, 27]]
39: [[20, 3], [4, 8], [9, 13, 22], [18, 19], [2, 24, 15], [7, 1, 17], [6, 11], [16, 10, 12], [28, 23], [29, 14, 5, 25, 21, 26, 27]]
40: [[20, 3], [4, 8], [9, 13, 18], [19, 2], [24, 15, 7], [1, 17, 6], [11, 16, 22], [28, 10], [12, 23, 29], [14, 5, 25, 21, 26, 27]]
41: [[20, 3], [4, 8], [9, 13], [22, 18, 19], [2, 24, 15], [7, 1, 17], [6, 11, 10], [28, 23, 12, 16], [29, 5, 25, 14, 21, 26, 27]]
42: [[20, 3, 4], [8, 9, 13], [22, 18, 19], [2, 24, 15, 7], [1, 17, 6], [11, 16, 10], [12, 28, 23], [29, 14, 5], [25, 21, 26], [27]]
43: [[20, 3], [4, 8, 9], [13, 22, 18], [19, 2], [24, 15, 7], [1, 17, 6], [11, 10, 28, 23], [12, 16, 29, 14, 5, 25, 21, 26, 27]]
44: [[20, 3], [4, 8], [9, 13], [18, 19], [2, 24], [15, 7], [1, 17, 6], [11, 16], [22, 28, 23], [29, 10], [12, 5, 25], [21, 26], [27, 14]]
45: [[20, 3], [4, 8], [9, 13, 22], [18, 19], [2, 24], [15, 7], [1, 17, 6], [11, 16, 10], [12, 23, 28, 29, 5, 25, 14, 21, 26, 27]]
46: [[20, 3], [4, 8], [9, 13], [22, 18, 19, 2, 24, 15, 7, 1], [17, 6, 11, 16, 10, 12, 28, 23, 29, 14, 5, 25, 21, 26, 27]]
47: [[20, 3], [4, 8], [9, 13, 22], [18, 19, 2], [24, 15, 7], [1, 17], [6, 11, 16], [10, 12, 28, 23, 29, 14, 5, 25, 21, 26, 27]]
