0: [[13, 7, 11, 5, 12, 8, 2], [3, 1], [4, 6, 9, 10]]
1: [[13, 7, 2, 11, 5, 12, 8], [3, 1], [4, 6, 9, 10]]
2: [[13, 7, 2, 11, 5, 12, 8], [3, 1], [4, 6, 9, 10]]
3: [[13, 7, 2, 11, 5, 12, 8], [3, 1], [4, 6, 9, 10]]
4: [[13, 7, 2, 11, 5, 12, 8], [3, 1], [4, 6, 9, 10]]
5: [[13, 7, 2, 11, 5, 12, 8], [3, 1], [4, 6, 9, 10]]
6: [[13, 7, 2, 11, 5, 12, 8], [3, 1], [4, 6, 9, 10]]
7: [[13, 7, 2, 11, 5, 12, 8], [3, 1], [4, 6, 9, 10]]
8: [[13, 7, 2, 11, 5, 12, 8], [3, 1], [4, 6, 9, 10]]
9: [[13, 7, 2, 11, 5, 12, 8], [3, 1], [4, 6, 9, 10]]
10: [[13, 7, 2, 11, 5, 12, 8], [3, 1], [4, 6, 9, 10]]
11: [[13, 7, 2, 11, 5, 12, 8], [3, 1], [4, 6, 9, 10]]
12: [[13, 7, 2, 11, 5, 12, 8], [3, 1], [4, 6, 9, 10]]
13: [[13, 7], [2, 11, 5, 12, 8], [3, 1, 4, 6, 9, 10]]
14: [[13, 7], [2, 11, 5, 12, 8, 3, 1], [4, 6, 9, 10]]
15: [[13, 7], [2, 11, 5, 12, 8, 3, 1], [4, 6, 9, 10]]
16: [[13, 7], [2, 11, 5, 12, 8, 3], [1, 4, 6, 9, 10]]
17: [[13, 7], [2, 11, 5, 12, 8, 3], [1, 4, 6, 9, 10]]
18: [[13, 7], [2, 11, 5, 12, 8, 3], [1, 4, 6, 9, 10]]
19: [[13, 7], [2, 11, 5, 12, 8, 3], [1, 4, 6, 9, 10]]
20: [[13, 7, 2, 11, 5, 12, 8, 3], [1, 4], [6, 9, 10]]
21: [[13, 7, 2, 11, 5, 12, 8, 3], [1, 4], [6, 9, 10]]
22: [[13, 7], [2, 11, 5, 12, 8, 3, 1, 4], [6, 9, 10]]
23: [[13, 7, 2, 11, 5], [12, 8], [3, 1, 4, 6, 9, 10]]
24: [[13, 7, 2, 11, 5], [12, 8], [3, 1, 4, 6, 9, 10]]
25: [[13, 7, 2, 11, 5], [12, 8], [3, 1, 4, 6, 9, 10]]
26: [[13, 7, 2, 11, 5, 12], [8, 3], [1, 4, 6, 9, 10]]
27: [[13, 7, 2, 11, 5, 12], [8, 3], [1, 4, 6, 9, 10]]
