0: [[3, 1, 2, 6, 4, 9], [5, 10, 7, 8], [11, 13, 12], [14, 15, 16], [18, 17, 19, 20]]
1: [[3, 1, 2, 6, 9, 4], [5, 10, 7, 8], [11, 13, 12], [14, 15, 16], [18, 17, 19, 20]]
2: [[3, 1, 2, 6, 9, 4], [5, 10, 7, 8], [11, 13, 12], [14, 15, 16], [18, 17, 19, 20]]
3: [[3, 1, 9, 4], [2, 6, 5, 10, 7, 8], [11, 13, 12], [14, 15, 16], [18, 17, 19, 20]]
4: [[3, 1, 9], [2, 6, 5, 10, 7, 8, 4], [11, 13, 12], [14, 15, 16], [18, 17, 19, 20]]
5: [[3, 1, 9], [2, 6, 5, 10, 7, 8, 4], [11, 13, 12], [14, 15, 16], [18, 17, 19, 20]]
6: [[3, 1, 9], [2, 6, 5, 10, 7, 8, 4], [11, 13, 12], [14, 15, 16], [18, 17, 19, 20]]
7: [[3, 1, 9, 4], [2, 6, 5, 10, 7, 8], [11, 13, 12], [14, 15, 16], [18, 17, 19, 20]]
8: [[3, 1, 9, 4], [2, 6, 5, 10, 7, 8], [11, 13, 12], [14, 15, 16], [18, 17, 19, 20]]
9: [[3, 1, 9, 4], [2, 6, 5, 10, 7, 8], [11, 13, 12], [14, 15, 16], [18, 17, 19, 20]]
10: [[3, 1, 9, 4], [2, 6, 5, 10, 7, 8], [11, 13, 12], [14, 15, 16], [18, 17, 19, 20]]
11: [[3, 1, 2, 9, 4], [6, 5, 10, 7, 8], [11, 13, 12], [14, 15, 16], [18, 17, 19, 20]]
12: [[3, 1, 9], [2, 6, 5, 10, 7, 4], [8, 11, 13, 12], [14, 15, 16], [18, 17, 19, 20]]
13: [[3, 1, 2, 6, 9, 4], [5, 10, 7, 8], [11, 13, 12, 14], [15, 16], [18, 17, 19, 20]]
14: [[3, 1, 2, 6, 9, 4], [5, 10, 7, 8], [11, 13, 12, 14], [15, 16], [18, 17, 19, 20]]
15: [[3, 1, 2, 6, 9, 4], [5, 10, 7, 8], [11, 13, 12, 14], [15, 16], [18, 17, 19, 20]]
16: [[3, 1, 9, 4], [2, 6, 5, 10, 7], [8, 11, 13, 12], [14, 15, 16], [18, 17, 19, 20]]
17: [[3, 1, 9, 4], [2, 6, 5, 10, 7, 8], [11, 13, 12], [14, 15], [16, 18, 17, 19, 20]]
18: [[3, 1, 9, 4], [2, 6, 5, 10, 7, 8], [11, 13, 12, 14], [15, 16], [18, 17, 19, 20]]
19: [[3, 1, 9, 4], [2, 6, 5, 10, 7, 8], [11, 13, 12, 14], [15, 16], [18, 17, 19, 20]]
20: [[1, 9, 3], [4, 2, 6], [5, 10, 7, 8], [11, 13, 12, 14, 15, 16], [18, 17, 19, 20]]
21: [[1, 9, 3], [4, 2, 6], [5, 10, 7, 8], [11, 13, 12, 14, 15, 16], [18, 17, 19, 20]]
22: [[1, 9, 3], [4, 2, 6], [5, 10, 7, 8], [11, 13, 12, 14, 15, 16], [18, 17, 19, 20]]
23: [[1, 9, 3], [4, 2, 6], [5, 10, 7, 8], [11, 13, 12, 14, 15, 16], [18, 17, 19, 20]]
24: [[3, 1, 9], [2, 6, 5, 10, 7, 4], [8, 11, 13, 12], [14, 15], [16, 18, 17, 19, 20]]
25: [[3, 1, 2, 6, 9, 4], [5, 10, 7, 8], [11, 13], [12, 14, 15, 16], [18, 17, 19, 20]]
26: [[3, 1, 2, 6, 9, 4], [5, 10, 7, 8], [11, 13], [12, 14, 15, 16], [18, 17, 19, 20]]
27: [[3, 1, 9], [2, 6, 4], [5, 10, 7], [8, 11, 13, 12, 14, 15, 16], [18, 17, 19, 20]]
28: [[3, 1, 9, 4], [2, 6, 5, 10, 7, 8], [11, 13, 12, 14], [15, 16, 18], [17, 19, 20]]
29: [[3, 1, 9, 4], [2, 6, 5, 10, 7, 8], [11, 13], [12, 14, 15, 16], [18, 17, 19, 20]]
30: [[3, 1, 9], [2, 6, 5, 4], [10, 7, 8, 11, 13, 12], [14, 15, 16], [18, 17, 19, 20]]
31: [[3, 1, 9, 4], [2, 6, 5, 10, 7], [8, 11], [13, 12, 14, 15, 16], [18, 17, 19, 20]]
32: [[3, 1, 9], [2, 6, 4], [5, 10, 7, 8, 11, 13, 12], [14, 15, 16], [18, 17, 19, 20]]
33: [[3, 1, 2, 9, 4], [6, 5, 10, 7, 8], [11, 13, 12, 14], [15, 16, 18], [17, 19, 20]]
34: [[1, 4, 9, 3], [2, 6, 5], [10, 7, 8], [11, 13, 12, 14, 15, 16], [18, 17, 19, 20]]
35: [[3, 1, 9, 4], [2, 6, 5, 10, 7], [8, 11, 13], [12, 14, 15, 16], [18, 17, 19, 20]]
36: [[3, 1, 9], [2, 6, 4], [5, 10, 7, 8, 11, 13], [12, 14, 15, 16], [18, 17, 19, 20]]
37: [[3, 1, 9], [2, 6, 5, 4], [10, 7, 8, 11, 13], [12, 14, 15, 16], [18, 17, 19, 20]]
38: [[3, 1, 2, 6, 9, 4], [5, 10, 7], [8, 11, 13], [12, 14, 15], [16, 18, 17, 19, 20]]
39: [[3, 1, 9], [2, 6, 5, 10, 7, 4], [8, 11, 13], [12, 14, 15], [16, 18, 17, 19, 20]]
40: [[3, 1, 9], [2, 6, 5, 4], [10, 7, 8, 11, 13], [12, 14, 15], [16, 18, 17, 19, 20]]
41: [[3, 9], [1, 2, 6, 4], [5, 10, 7, 8, 11, 13], [12, 14, 15], [16, 18, 17, 19, 20]]
