0: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12, 5], [14, 10], [15, 6, 8], [11, 13], [29, 24, 18], [16, 17, 19], [23, 20], [27, 21], [25, 28, 26], [30, 31, 33, 32, 34], [37]]
1: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12, 5], [14, 10], [15, 6, 8], [11, 13], [29, 24, 18], [16, 17, 19], [23, 20], [27, 21], [25, 28, 26], [30, 31, 33, 32, 34], [37]]
2: [[35, 22, 2], [36, 7, 3], [1, 9], [4, 12, 5], [14, 10], [15, 6, 8], [11, 13, 29], [24, 18], [16, 17], [19, 23], [20, 27, 21], [25, 28, 26], [30, 31, 33], [32, 34, 37]]
3: [[35, 22, 2], [36, 7, 3], [1, 9], [4, 12, 5], [14, 10], [15, 6, 8], [11, 13, 29], [24, 18], [16, 17], [19, 23], [20, 27, 21], [25, 28, 26], [30, 31, 33], [32, 34, 37]]
4: [[35, 22, 2], [36, 7, 3], [1, 9], [4, 12, 5], [14, 10], [15, 6, 8], [11, 13, 29], [24, 18], [16, 17], [19, 23], [20, 27, 21], [25, 28, 26], [30, 31, 33], [32, 34, 37]]
5: [[35, 22, 2, 36], [7, 3, 1], [9, 4], [12, 5], [14, 10, 15], [6, 8], [11, 13, 29], [24, 18], [16, 17], [19, 23, 20], [27, 21], [25, 28, 26], [30, 31, 33], [32, 34, 37]]
6: [[35, 22], [2, 36, 7], [3, 1, 9], [4, 12, 5], [14, 10], [15, 6, 8], [11, 13, 29], [24, 18], [16, 17], [19, 23], [20, 27, 21], [25, 28, 26], [30, 31, 33], [32, 34, 37]]
7: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12, 5], [14, 10], [15, 6, 8], [11, 13], [29, 24, 18], [16, 17, 19], [23, 20, 27], [21, 25, 28, 26, 30, 31, 33, 32, 34, 37]]
8: [[35, 22], [2, 36, 7], [3, 1, 9], [4, 12, 5], [14, 10], [15, 6, 8], [11, 13, 29], [24, 18], [16, 17], [19, 23], [20, 27, 21], [25, 28, 26], [30, 31, 33], [32, 34, 37]]
9: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12, 5], [14, 10, 15], [6, 8], [11, 13, 29], [24, 18, 16], [17, 19, 23], [20, 27, 21], [25, 28, 26], [30, 31, 33], [32, 34, 37]]
10: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12, 5], [14, 10, 15], [6, 8, 11], [13, 29, 24], [18, 16, 17], [19, 23, 20], [27, 21], [25, 28], [26, 30, 31, 33], [32, 34, 37]]
