0: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 17, 18, 19, 20, 4]]
1: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 19, 17, 20, 18, 4]]
2: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 19, 17, 20, 18, 4]]
3: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 19, 17, 20, 18, 4]]
4: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 17, 19, 20, 18, 4]]
5: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 19, 17, 20, 18, 4]]
6: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 19, 18, 17, 20, 4]]
7: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 19, 17, 18, 20, 4]]
8: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 18, 17, 20, 19, 4]]
9: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 19, 17, 18, 20, 4]]
10: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 19, 18, 17, 20, 4]]
11: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 17, 18, 20, 19, 4]]
12: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 17, 20, 18, 19, 4]]
13: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 18, 17, 19, 20, 4]]
14: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 17, 18, 20, 19, 4]]
15: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 18, 17, 19, 20, 4]]
16: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 18, 17, 19, 20, 4]]
17: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 18, 19, 20, 17, 4]]
18: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 17, 19, 18, 20, 4]]
19: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 19, 17, 20, 18, 4]]
20: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 17, 19, 20, 18, 4]]
21: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 19, 20, 17, 18, 4]]
22: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 17, 18, 19, 20, 4]]
23: [[5, 3, 1, 2], [14, 7, 16, 6], [8, 10], [13, 11, 12, 9], [15, 17, 18, 19, 20, 4]]
24: [[5, 3, 1, 2], [14, 7], [16, 6, 8, 10], [13, 11, 12, 9], [19, 17, 18, 20, 4, 15]]
25: [[5, 3, 1, 2], [14, 7], [16, 6, 8, 10], [13, 11, 12, 9], [19, 17, 20, 18, 4, 15]]
26: [[5, 3, 1, 2], [14, 7], [16, 6, 8, 10], [13, 11, 12, 9], [19, 17, 20, 18, 4, 15]]
27: [[5, 3, 1, 2], [14, 7], [16, 6, 8, 10], [13, 11, 12, 9], [19, 17, 20, 18, 4, 15]]
28: [[5, 3, 1, 2], [14, 7], [16, 6, 8, 10], [13, 11, 12, 9], [18, 17, 20, 19, 4, 15]]
29: [[5, 3, 1, 2], [14, 7], [16, 6, 8, 10], [13, 11, 12, 9], [17, 18, 19, 20, 4, 15]]
30: [[5, 3, 1, 2], [14, 7], [16, 6, 8, 10], [13, 11, 12, 9], [17, 19, 20, 18, 4, 15]]
31: [[5, 3, 1, 2], [14, 7], [16, 6, 8, 10], [13, 11, 12, 9], [19, 18, 17, 20, 4, 15]]
32: [[5, 3, 1, 2], [14, 7], [16, 6, 8, 10], [13, 11, 12, 9], [19, 17, 18, 20, 4, 15]]
33: [[5, 3, 1, 2], [14, 7], [16, 6, 8, 10], [13, 11, 12, 9], [19, 17, 18, 20, 4, 15]]
34: [[5, 3], [1, 2, 14, 7], [16, 6, 8, 10], [13, 11, 12, 9], [17, 18, 19, 20, 4, 15]]
35: [[5, 3], [1, 2, 14, 7], [16, 6, 8, 10], [13, 11, 12, 9], [19, 17, 20, 18, 4, 15]]
36: [[5, 3], [1, 2, 14, 7], [16, 6, 8, 10], [13, 11, 12, 9], [18, 17, 20, 19, 4, 15]]
37: [[5, 3], [1, 2, 14, 7], [16, 6, 8, 10], [13, 11, 12, 9], [19, 17, 18, 20, 4, 15]]
38: [[5, 3], [1, 2, 14, 7], [16, 6, 8, 10], [13, 11, 12, 9], [18, 17, 20, 19, 4, 15]]
39: [[5, 3], [1, 2, 14, 7], [16, 6, 8, 10], [13, 11, 12, 9], [19, 17, 18, 20, 4, 15]]
40: [[5, 3], [1, 2, 14, 7], [16, 6, 8, 10], [13, 11, 12, 9], [17, 19, 20, 18, 4, 15]]
41: [[5, 3], [1, 2, 14, 7], [16, 6, 8, 10], [13, 11, 12, 9], [17, 18, 20, 19, 4, 15]]
