0: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
1: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
2: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
3: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
4: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
5: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
6: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
7: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
8: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
9: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
10: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
11: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
12: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
13: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
14: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
15: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
16: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
17: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
18: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
19: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
20: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
21: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
22: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
23: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
24: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
25: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
26: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
27: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
28: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
29: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
30: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
31: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
32: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
33: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
34: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
35: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
36: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
37: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
38: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
39: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
40: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
41: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
42: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
43: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
44: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
45: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
46: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
47: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
48: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
49: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
50: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
51: [[26, 14, 25], [27, 21, 10], [7, 11, 18], [20, 37, 8], [6, 1, 33, 24], [9, 4, 17], [28, 19, 5, 12], [13, 15, 3], [2, 29, 22], [34, 23, 30, 31], [32, 16, 35, 36]]
