0: [[22, 4, 5, 3, 6], [8, 14, 7, 11, 10], [9, 1, 2, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
1: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
2: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
3: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
4: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
5: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
6: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
7: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
8: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
9: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
10: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
11: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
12: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
13: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
14: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
15: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
16: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
17: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
18: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
19: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
20: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
21: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
22: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
23: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
24: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
25: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
26: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
27: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10, 9], [1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
28: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10, 9], [1, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
29: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1], [13, 12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
30: [[2, 5, 22, 6, 4], [8], [14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20, 3], [21, 23, 24]]
31: [[3, 6, 2, 5], [22, 4], [8, 14, 7, 11, 10], [9, 1, 13, 12], [15, 19, 16, 17, 18, 20], [21, 23, 24]]
32: [[2, 5], [22, 4], [8, 14, 7, 11], [10, 9, 1, 13, 3, 6], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
33: [[3, 6, 2, 5], [22, 4], [8, 14, 7, 11, 10, 9], [1, 13, 12], [15, 19, 16, 17, 18, 20], [21, 23, 24]]
34: [[2, 5, 22, 6, 4], [8], [14, 7, 11, 10, 9], [1, 13], [12, 15, 19, 16, 17, 18, 20, 3], [21, 23, 24]]
35: [[2, 5, 22, 6, 4], [8], [14, 7, 11, 10, 9], [1, 13], [12, 15, 19, 16, 17, 18, 20, 3], [21, 23, 24]]
36: [[2, 6, 5], [22], [4, 8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20, 3], [21, 23, 24]]
