0: [[3, 8, 4, 12], [5, 6, 7], [19, 2, 9, 1], [15, 11], [20, 25], [18, 17, 14], [13, 23, 22], [16, 28, 24, 10], [26, 21, 27], [29]]
1: [[3, 8, 4, 12], [5, 6, 7], [19, 2, 9, 1], [15, 11], [20, 25], [18, 17, 14], [13, 23, 22], [16, 28, 24, 10], [26, 21, 27], [29]]
2: [[3, 8, 4, 12], [5, 6, 7], [19, 2, 9, 1], [15, 11], [20, 25], [18, 17, 14], [13, 23, 22], [16, 28, 24, 10], [26, 21, 27], [29]]
3: [[3, 8, 4, 12], [5, 6], [9, 19, 1, 11, 15, 2, 10, 7, 29, 13], [28, 16], [18, 14, 22, 17, 21, 20, 24, 25, 23], [26, 27]]
4: [[3, 8, 4, 12], [5, 6], [9, 19, 1, 2], [7, 10, 13, 14, 11, 15, 16, 17, 21, 20, 18, 22, 23, 26, 25], [27, 29, 24, 28]]
5: [[3, 8, 4, 12], [5, 6], [1, 19, 2, 9], [7, 13, 14, 10, 15, 11, 18, 16, 21, 20, 17, 22, 23, 25, 26], [24, 27, 29, 28]]
6: [[3, 8, 4, 12], [5, 6, 1, 19], [2, 9, 7, 15], [10, 14], [25, 11, 20], [13, 16, 22, 18, 29, 17], [21, 27, 23, 26], [24, 28]]
7: [[3, 8, 4, 12], [5, 6], [9, 19, 1, 11, 7, 10, 2, 14, 25, 13], [15, 16], [21, 22, 17, 20, 23, 24, 18], [28, 29, 27, 26]]
8: [[3, 8, 4, 12], [5, 6], [2, 19, 1, 9], [7, 11, 10, 15], [29, 13, 20, 22], [18, 14, 16, 21], [26, 27, 24], [17, 23, 25], [28]]
9: [[3, 8, 4, 12], [5, 6], [13, 19, 1, 11, 2, 10, 9, 15, 25], [14, 18, 20], [22, 7, 23], [17, 28, 16, 26], [24, 21, 27], [29]]
10: [[3, 8, 4, 12], [5, 6], [2, 19], [7, 14, 15], [10, 13, 9, 1, 16], [11, 22, 18, 23], [17, 20, 24, 26, 27, 28, 29, 21, 25]]
11: [[3, 8, 4, 12], [5, 6], [9, 19, 1], [15, 7, 11, 10, 2, 13, 14, 21, 18, 20, 16, 22, 17, 23, 28, 25, 24, 27, 26, 29]]
12: [[3, 8], [4, 12], [5, 6], [9, 19, 1], [15, 23, 2, 10], [11, 14, 13, 20, 25, 28], [7, 16, 29, 17], [22, 24, 26, 18], [21, 27]]
13: [[3, 8, 4, 12], [5, 6], [15, 19, 1, 9, 11, 2, 10, 13, 7, 14, 16, 20, 28, 17, 23, 22, 18, 24, 27, 26, 29, 21, 25]]
14: [[3, 8, 4, 12], [5, 6], [1, 19, 9, 11], [7, 13, 2, 14, 26, 15, 10, 16, 21, 20, 17, 22, 23, 24, 18], [25, 27, 29, 28]]
15: [[3, 8, 4, 12], [5, 6], [1, 19, 9, 11], [15, 2, 10, 7, 13, 14, 17, 16, 18], [20, 23], [21, 22, 28, 24, 25, 26, 27, 29]]
16: [[3, 8, 4, 12], [5, 6, 1, 19, 2, 10, 18], [11, 9, 14, 28, 13, 17, 15, 7, 16], [20, 21, 23, 22, 26, 24, 27, 29, 25]]
17: [[3, 8, 4, 12], [5, 6, 1], [19, 2, 9, 7], [11, 10, 13, 15], [14, 16, 17, 22, 20, 18, 29, 24, 21, 26], [27, 23, 25, 28]]
18: [[3, 8, 4, 12], [5, 6], [9, 19, 1], [2, 22, 13, 7], [10, 14, 11, 16], [17, 15, 21, 20, 18, 23, 24], [25, 26, 27, 28, 29]]
19: [[3, 8, 4, 12], [5, 6], [1, 19, 2, 9, 23, 7, 15], [11, 13, 10, 16, 14, 17, 25, 20, 21, 22, 18, 24, 26], [27, 29, 28]]
20: [[3, 8, 4, 12], [5, 6], [2, 19, 1, 9], [7, 11, 15, 10], [13], [21, 17], [24, 18, 22, 14], [20, 23, 27, 29, 16, 28, 26, 25]]
21: [[3, 8, 4, 12], [5, 6, 1, 19], [2, 11, 23, 15, 9, 22, 14], [13, 16, 10], [7, 20, 18, 21, 17], [29, 25, 26, 27], [24, 28]]
22: [[3, 8, 4, 12], [5, 6], [1, 19, 10, 11], [23, 7, 2, 13, 9, 15], [14, 17, 16, 18, 21, 26, 22], [20, 24, 27, 25], [29, 28]]
23: [[3, 8, 4, 12], [5, 14], [1, 19, 2], [6, 7, 9, 11], [10, 24, 13, 17, 28, 21], [16, 15, 22, 23, 18, 26], [27, 25, 20, 29]]
24: [[3, 8, 4, 12], [5, 14], [7, 19, 1], [2, 6, 10], [13, 11, 9], [15, 16, 17, 26, 21, 18, 22, 23], [28, 20, 25, 24, 29, 27]]
25: [[3, 8, 4, 12], [5, 6], [1, 19, 2, 11], [7, 14, 9, 15], [10, 13, 16], [21, 23, 22], [18, 20, 17], [25, 24, 26, 27], [29, 28]]
26: [[3, 8, 4, 12], [5, 6], [1, 19], [7, 9], [2, 11, 10, 28, 14, 18, 17], [15, 13, 16, 22, 20], [21, 23, 24, 26, 25], [27], [29]]
27: [[3, 8], [4, 12, 5, 6], [1, 19, 9, 2], [7, 10, 11, 13], [29, 14, 17, 15, 26, 18, 16], [20, 24, 21, 25], [27, 22, 23, 28]]
28: [[3, 8, 4, 12], [5, 6, 13], [19, 2, 9, 7], [1, 11, 14, 10, 27, 16, 20, 17], [15, 18, 21, 23, 29, 26, 22, 24, 25, 28]]
29: [[3, 8], [4, 12, 5, 6, 1], [19, 2, 11, 7, 10, 14, 13, 9, 15, 17, 16, 20, 22, 18, 21, 23, 29, 25], [26, 27, 24, 28]]
