0: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14, 5, 12, 22], [8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
1: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
2: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
3: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
4: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
5: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
6: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
7: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
8: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
9: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
10: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
11: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
12: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
13: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
14: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
15: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
16: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
17: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
18: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14, 5, 12, 22], [8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
19: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14, 5, 12, 22], [8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
20: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14, 5, 12, 22], [8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
21: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10], [14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
22: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10], [14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
23: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10], [14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
24: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10], [14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
